"","Original_taxa"
"1102","Urtica undiff."
"1103","Pteridophyta (monolete) undiff."
"1104","Cistus undiff."
"1105","Cupressaceae undiff."
"1106","Genista"
"1107","Indeterminable undiff."
"1108","Quercus ilex/Q. coccifera-type"
"1109","Pteridophyta (trilete) undiff."
"1110","Arbutus unedo"
"1111","Valerianaceae undiff."
"1112","Osmunda regalis-type"
"1113","Vitex agnus-castus"
"1114","Fraxinus undiff."
"1115","Alchemilla"
"1116","Linaria-type"
"1117","Typha angustifolia/Sparganium"
"1118","Scrophularia-type"
"1119","Plantago maritima/P. alpina"
"1120","Poaceae (Cerealia) undiff."
"1121","Phlomis"
"1122","Daphne/Thymelaea"
"1123","Prunus undiff."
"1124","Paeonia"
"1126","Androsace-type"
"1127","Butomus"
"1128","Aesculus (2 especes)"
"1129","Aethusa"
"1130","Anacardiaceae (2 especes)"
"1131","Bryophytes"
"1132","Caryophyllacees"
"1133","Composee liguliflore"
"1134","Composees"
"1135","Cyperus conglomeratus"
"1136","Entada"
"1137","Euphorbiacees"
"1138","Filicales"
"1139","Indetermines (4 types polliniques)"
"1141","Monocotyledones"
"1142","Oleacees"
"1143","Ombellifere"
"1144","Papilionacees"
"1145","Picae cf. Orientalis"
"1146","Pinus (2 especes)"
"1147","Platanus cf. Orientalis"
"1148","Pterocarya cf. fraxinifolia"
"1149","Quercus (2/3 esp dont Q. mirbeckii)"
"1150","Renonculacees"
"1151","Rosaceae (non Neurada)"
"1152","Rosacees"
"1153","Sapindaceae"
"1154","Sapotacee (1)"
"1155","Sphagnuum"
"1156","Syringa"
"1157","Taxus baccata"
"1158","Tilia cf. rubra"
"1159","Urticacees"
"1160","Valerianacees"
"1161","Zelkova"
"1162","cf.Betula"
"1163","cf.Pterocarya (non P. fraxinifolia)"
"1164","cf.Spiraca"
"1165","cf.Taxus"
"1166","Carthamus"
"1167","Rhus/Cotinus"
"1168","Onobrychis-type"
"1169","Cephalaria"
"1170","Urtica pilulifera-type"
"1171","Saxifragaceae"
"1172","Maianthemum"
"1173","Persicaria amphibia"
"1174","Rubia"
"1175","Hagenia abyssinica"
"1177","Combretaceae/Melastomataceae"
"1178","Chenopodium"
"1179","Paronychieae"
"1180","Macaranga capensis"
"1181","Araliaceae"
"1182","Anthospermum"
"1183","Dendrosenecio"
"1184","Myrsine"
"1185","Mimulopsis"
"1186","Dombeya"
"1187","Rapanea"
"1188","Lobelia"
"1189","Stoebe"
"1190","Aerva javanica-type"
"1191","Aeschynomene afraspera-type"
"1192","Aizoaceae"
"1193","Anacardium"
"1194","Boscia-type"
"1195","Calligonum polygonoides"
"1196","Capparis fascicularis-type"
"1197","Centaurea perrotettii"
"1198","Chenopodiaceae-Amaranthaceae"
"1199","Cleome"
"1200","Cocculus pendulus-type"
"1201","Combretum aculeatum-type"
"1202","Combretum molle-type"
"1203","Commelina forskalei-type"
"1204","Compositae liguliflorae"
"1205","Compositae tubuliflorae"
"1207","Cynomorium"
"1208","Euphorbia grande taille"
"1209","Euphorbia petite taille"
"1210","Grewia"
"1211","Gynandropsis gynandra"
"1213","Ixoratype brachypoda"
"1214","Maytenus-type"
"1215","Mimosaceae"
"1216","Moltiokpsis-type"
"1217","Olea africana-type"
"1218","Oxalis"
"1219","Pavetta-type"
"1220","Phyllanthus niruri-type"
"1221","Salacia-type"
"1222","Sesbania sesban"
"1223","Suaeda-type"
"1224","Teucrium-type"
"1225","Tinospora bakis"
"1226","Unknown type 1"
"1227","Unknown type 2"
"1228","Unknown type 3"
"1229","Zaleya-type"
"1230","Convolvulus arvensis-type"
"1231","Daphne gnidium-type"
"1232","Glomus cf. G. fasciculatum"
"1233","Rumex acetosella-type"
"1234","Erica-type"
"1235","Polypodiophyta (trilete)"
"1236","Cardueae"
"1237","Cistus ladanifer"
"1238","Polypodiophyta (monolete)"
"1239","Cercophora undiff."
"1240","Fungi (type 55, HdV)"
"1241","Pinus halepensis/P. pinea-type"
"1242","Chaetomium undiff."
"1243","Coniochaeta cf. C. ligniaria"
"1244","Pinus pinaster"
"1245","Ilex"
"1246","Lycium"
"1247","Cosentinia"
"1248","Withania"
"1249","Atriplex-type"
"1250","Zea mays"
"1251","Portulaca/Montia"
"1252","Dianthus-type"
"1253","Prosopis"
"1254","Papaver"
"1255","Anchusa/Pulmonaria"
"1256","Filago"
"1257","Aesculus"
"1258","Astragalus-type"
"1259","Linum mucronatum-type"
"1260","Lycium-type"
"1261","Centaurium"
"1262","Ulex-type"
"1263","Erica scoparia-type"
"1264","Samolus"
"1265","Radiola"
"1266","Apium inundatum-type"
"1267","Frankenia"
"1268","Mercurialis-type"
"1269","Indeterminable (unknown)"
"1270","Zygnemataceae"
"1271","Spergula-type"
"1272","Cicendia filiformis"
"1273","Spiniferites undiff."
"1274","Rumex undiff."
"1275","Serratula-type"
"1276","Lamiaceae (hexacolpate)"
"1277","Riccia"
"1279","Typha/Sparganium"
"1280","Arnoseris"
"1281","Quercus (deciduous-type)"
"1283","Cistus ladanifer-type"
"1284","Erica umbellata-type"
"1285","Cistus monspeliensis-type"
"1286","Quercus suber-type"
"1287","Erica australis-type"
"1288","Myriophyllum alterniflorum"
"1289","Cistaceae undiff."
"1290","Lingulodinium machaerophorum"
"1291","IsoÃ«tes undiff."
"1292","Poaceae (>37 Âµm)"
"1293","Selaginella denticulata"
"1294","Tuberaria guttata"
"1295","Halimium halimifolium-type"
"1296","Eryngium"
"1297","Anagallis tenella-type"
"1298","Linum undiff."
"1299","Pilularia globulifera"
"1300","Helianthemum croceum-type"
"1301","Pentapharsodinium dalei (cyst)"
"1302","Fumaria officinalis-type"
"1303","Operculodinium centrocarpum"
"1304","Operculodinium israelianum"
"1305","Alchemilla-type"
"1306","Gynandriris sisyrinchium"
"1307","Lythrum salicaria-type"
"1308","Polysphaeridium zoharyi"
"1309","Jasione montana-type"
"1310","Hypecoum"
"1311","Polypodium vulgare-type"
"1312","Hedera helix"
"1313","Sambucus ebulus"
"1314","Coronilla-type"
"1316","Chamaerops"
"1317","Viburnum tinus"
"1318","Halimium/Tuberaria"
"1320","Detarioideae"
"1321","Calycobolus"
"1322","Quassia silvestris"
"1323","Nesogordonia"
"1324","Trilepisium madagascariense"
"1325","Arecaceae"
"1326","Syzygium guineense"
"1327","Illigera"
"1328","Triplochiton scleroxylon"
"1329","Gilbertiodendron"
"1330","Grewioideae"
"1331","Alstonia boonei"
"1332","Indeterminable (degraded)"
"1333","cf. Dasylepis"
"1334","Unknown (monolete, type A)"
"1335","Uncaria"
"1336","Morelia senegalensis"
"1337","Palisota"
"1338","Moraceae"
"1339","Hannoa"
"1340","Peperomia"
"1341","Meliaceae"
"1342","Annonaceae"
"1343","Ipomoea"
"1344","cf. Corchorus"
"1345","Psydrax subcordata"
"1346","Panda oleosa"
"1347","Chytranthus macrobotrys"
"1348","Trichilia"
"1349","Ceiba pentandra"
"1350","Tieghemella"
"1351","Menispermaceae"
"1352","Homalium"
"1353","Salicaceae"
"1354","Melochia"
"1355","Cleistanthus"
"1356","Rinorea"
"1357","Lippia"
"1358","Capparaceae"
"1359","Passifloraceae"
"1360","Dichapetalum"
"1361","Thomandersia hensii"
"1362","Securinega"
"1363","Strombosia"
"1364","Xyris"
"1365","Piptostigma"
"1366","Holoptelea grandis"
"1367","Vigna"
"1368","Cynometra"
"1369","Sterculioideae"
"1370","Drypetes"
"1371","Borassus"
"1372","Scytopetalum"
"1373","Cercestis"
"1374","Leptaulus daphnoides"
"1375","mimosoid clade"
"1376","Vepris"
"1377","Commelinaceae"
"1378","Premna"
"1379","Quercus canariensis"
"1380","Quercus cerris"
"1381","Elodea"
"1382","Aegilops"
"1383","Hydrocharis"
"1384","Sagittaria"
"1385","Fumaria"
"1386","Cerastium"
"1387","Arceuthobium"
"1388","Humulus"
"1389","Thymus/Mentha-type"
"1390","Cirsium/Gundelia-type"
"1391","Scabiosa palestina-type"
"1392","Cladium"
"1393","Arctium-type/Jurinea"
"1394","Moltkia"
"1395","Amaranthus-type"
"1396","Liquidambar"
"1397","Hippuris"
"1398","Andrachne"
"1399","Leontice"
"1400","Scrophularia/Verbascum-type"
"1401","Fontanesia"
"1402","Gentiana"
"1403","Adonis"
"1404","Rheum"
"1405","Lilium"
"1406","Hedysarum/Ebenus"
"1407","Reseda"
"1408","Digitalis"
"1409","Hottonia"
"1410","Cytisus sect. Spartopsis"
"1411","Bongardia"
"1412","Ceratocephala-type"
"1413","Roemeria"
"1414","Caltha"
"1415","Paliurus"
"1416","Menyanthes"
"1418","Hibiscus"
"1419","Huperzia selago"
"1420","Homogyne/Tussilago-type"
"1421","Tulipa-type"
"1422","Hypericum assyrianum-type"
"1423","Primula veris"
"1424","Sisyrinchium"
"1425","Iris"
"1426","Myricaria germanica"
"1427","Thelypteris palustris"
"1428","Bryonia"
"1430","Datisca cannabina"
"1431","Chardinia/Onopordum"
"1432","Juglandaceae"
"1433","Salvadoraceae"
"1434","Acacia groupe II"
"1435","Ambrosia"
"1436","Blepharis"
"1437","Borreria"
"1438","Boscia"
"1439","Cadaba"
"1440","Commicarpus"
"1441","Corchorus"
"1442","Fenestrae"
"1443","Hyphaene"
"1444","Lannea"
"1445","Merremia"
"1446","Oldenlandia"
"1447","Peristrophe"
"1448","Piliostigma"
"1449","Ruellia"
"1450","Salvadora"
"1451","Sterularia"
"1452","Bistorta officinalis"
"1453","Platanus orientalis"
"1454","Plantago indeterminata"
"1455","Cirsium/Carduus-type"
"1456","Casuarina"
"1457","Plantago lanceolata"
"1458","Polygonum oxyspermum"
"1459","Chelidonium-type"
"1460","Quercus indet."
"1461","Solanum"
"1462","Fraxinus syriaca"
"1463","Polygonum indeterminata"
"1464","Ebenus-type"
"1465","Anchusa"
"1466","Agrostemma"
"1467","Cannabis"
"1468","Alisma plantago-aquatica"
"1469","Papaver-type"
"1470","Salvia-type"
"1471","Adonis-type"
"1472","Ranunculus aquatilis-type"
"1473","Carthamus-type"
"1474","Ephedra distachya"
"1475","Secale-type"
"1476","Armeria-type"
"1477","Linum bienne-type"
"1478","Linum austriacum-type"
"1479","Cannabis sativa"
"1480","Sambucus nigra"
"1481","Silenoideae-type"
"1482","Urtica membranacea-type"
"1483","Ruppia"
"1484","Liliaceae-type"
"1485","Rumex acetosella"
"1486","Amaranthaceae-type"
"1487","Chamaerops humilis"
"1488","Agrostemma githago"
"1489","Borago officinalis"
"1490","Celtis australis"
"1491","Pteris cretica"
"1492","Caltha-type"
"1493","Cerinthe"
"1494","Juglans regia"
"1495","Citrus"
"1496","Buxus sempervirens"
"1497","Anthoceros laevis"
"1498","Trifolium pratense-type"
"1499","Anthoceros punctatus"
"1500","Rumex obtusifolius-type"
"1501","Cheilanthes-type"
"1502","Lygeum spartum"
"1504","Linum usitatissimum"
"1505","Ornithogalum-type"
"1506","Gladiolus-type"
"1507","Pinus subg. Pinus"
"1508","Daucus"
"1509","Calendula"
"1510","Ammi-type"
"1511","Glomus"
"1512","Peucedanum-type"
"1513","Sporormiella"
"1514","Anemone hortensis-type"
"1515","Rubus"
"1516","Polygonatum"
"1517","Ranunculus sect. Batrachium"
"1518","Limonium"
"1519","Luzula"
"1520","Phragmites-type"
"1521","Pimpinella major-type"
"1522","Medicago falcata-type"
"1523","Gelasinospora"
"1524","Pinus subg. Strobus"
"1525","Anthyllis"
"1526","Bituminaria bituminosa"
"1527","Nerium oleander"
"1528","Mercurialis perennis"
"1529","Chaerophyllum hirsutum-type"
"1530","Carlina"
"1531","Euphrasia-type"
"1532","Sideritis"
"1533","Diporotheca"
"1534","Ustulina deusta"
"1535","Spirogyra-type"
"1536","Onopordum"
"1537","Falcaria-type"
"1538","Matthiola-type"
"1539","Smyrnium-type"
"1540","Odontites-type"
"1541","Ornithopus"
"1542","Gypsophila arrostii"
"1543","Humulus lupulus"
"1544","Eupatorium"
"1545","Polygala vulgaris-type"
"1546","Turgenia latifolia"
"1547","Anemone nemorosa-type"
"1548","Ficus carica"
"1549","Alnus viridis"
"1550","Galanthus-type"
"1551","Ribes"
"1552","Tuberaria"
"1553","Jasione"
"1554","Solanum nigrum-type"
"1555","Hydrocotyle"
"1556","Scutellaria-type"
"1557","Rhynchospora"
"1558","Legumineuses"
"1559","Ammannia"
"1560","Amaryllidaceae"
"1561","Berlinia"
"1562","Christiana"
"1563","Filicinees"
"1564","Hyptis"
"1565","Mitracarpum"
"1566","Podostemaceae"
"1567","Trema"
"1570","Celosia trigyna*"
"1571","Asteraceae echinate*"
"1572","cf. Atriplex"
"1573","Combretum* molle"
"1574","Acacia* Group I"
"1575","Albizia*"
"1576","Mimosa pigra*"
"1577","Prosopis africana"
"1578","cf. Embelia*"
"1579","Maesa lanceolata*"
"1580","Rapanea melanophloeos*"
"1581","Syzygium* guineense"
"1582","Olea capensis"
"1583","Potamogeton thunbergii"
"1584","Monolete spore, psilate"
"1585","Polypodiaceae, monolete"
"1586","Pteridium* aquilinum"
"1587","Trilete spore, foveolate"
"1588","Rhamnaceae undiff."
"1589","Psychotria*"
"1590","Stemodia* serrata"
"1591","Triumphetta*"
"1592","Zygophyllum*"
"1593","Unidentified"
"1594","Unidentifiable"
"1595","Quercus pubescens/Q. robur-type"
"1596","Geranium-type (reticulate)"
"1597","Polypodium vulgare"
"1599","Knautia arvensis-type"
"1600","Ostrya/Carpinus orientalis-type"
"1601","Dryopteris"
"1602","Erodium-type"
"1603","Aspiromitus punctatus"
"1604","Geranium-type (striate)"
"1605","Plantago sp."
"1606","Fungi (type 18, HdV)"
"1607","Sordaria"
"1608","Cytisus/Genista-type"
"1609","Byssothecium circinans"
"1610","Lupinus"
"1611","Pteropyrum"
"1612","Arnebia-type"
"1613","Psylliostachys"
"1614","Gladiolus"
"1615","Plantago cylindrica-type"
"1616","Punica granatum"
"1617","Phaseolus"
"1618","Centaurea nemecii-type"
"1619","Lomelosia olivieri"
"1620","Hypericum hirtellum var. assyriacum-type"
"1621","Umbilicus-type"
"1622","Myriophyllum alterniflorum-type"
"1623","Trapa"
"1624","Smilax aspera"
"1625","Asplenium-type"
"1626","Iris pseudacorus-type"
"1627","Thelypteris palustris-type"
"1628","Ludwigia palustris"
"1629","Rumex hydrolapathum-type"
"1630","Odontites"
"1631","Fedia"
"1632","Ruscus"
"1633","Fraxinus xanthoxyloides-type"
"1634","Simethis"
"1635","Cytinus hypocistis"
"1636","Linum usitatissimum-type"
"1637","Polycarpon-type"
"1638","Borago"
"1639","Linum maritimum-type"
"1640","Solanum linnaeanum"
"1641","Colchicum"
"1642","Sorbus"
"1643","cf. Centaurea"
"1644","Silybum-type"
"1645","Rhabdocoela"
"1646","Phaeoceros laevis-type"
"1647","Matricaria"
"1648","Foraminifera"
"1649","Parietaria"
"1650","Ulmaceae"
"1651","Aconitum group"
"1652","Malva sylvestris-type"
"1653","Cuscuta-type"
"1654","Littorella-type"
"1655","Sporormiella undiff."
"1656","Sordaria undiff."
"1657","Reseda luteola-type"
"1658","Sixalix atropurpurea-type"
"1659","Typha angustifolia"
"1660","Helleborus foetidus"
"1661","Bryophyta (trilete)"
"1662","Juncus"
"1663","Spirogyra (psilate)"
"1664","Lamiaceae (tricolpate)"
"1665","Riccia cf. R. sorocarpa (type 165, HdV)"
"1666","Spirogyra (type 132, HdV)"
"1667","Fungi undiff."
"1668","Polyadosporites"
"1669","Zygnema"
"1670","Fallopia convolvulus/F. dumetorum"
"1671","Pinus nigra-type"
"1672","Pteridophyta (monolete)"
"1673","Fungi"
"1674","Pedicularis"
"1675","Unknown (type 128, HdV)"
"1676","Ephedra major subsp. major"
"1677","Adiantum capillus-veneris"
"1678","Pistacia terebinthus"
"1679","Lavandula stoechas-type"
"1680","Juniperus oxycedrus-type"
"1681","Neurospora undiff."
"1682","Corrigiola telephiifolia"
"1683","Drosera"
"1684","Platanus Ã acerifolia"
"1685","Paronychia polygonifolia-type"
"1686","Saxifraga spathularis"
"1687","Juniperus communis"
"1688","Trifolium repens"
"1689","Arnoseris minima"
"1690","Arenaria"
"1691","Solidago"
"1692","Senecio"
"1693","Gentiana lutea/G. pneumonanthe"
"1694","Montia fontana"
"1695","Saxifraga granulata-type"
"1696","Plantago subulata-type"
"1697","Campanula"
"1698","Sorbus aucuparia"
"1699","Silene foetida-type"
"1700","Spergula"
"1701","Pedicularis sylvatica"
"1702","Scleranthus annuus"
"1703","Dianthus lusitanus-type"
"1704","Carum verticillatum"
"1705","Minuartia recurva"
"1706","Armeria"
"1707","Angelica palustris-type"
"1708","Torilis arvensis-type"
"1709","Portulaca"
"1710","Asphodelus albus"
"1711","Asplenium"
"1712","Colchicum montanum"
"1713","Gagea nevadensis"
"1714","Athyrium filix-femina"
"1715","Narcissus pseudonarcissus-type"
"1716","Sagina"
"1717","Anthriscus sylvestris"
"1718","Lavandula"
"1719","Vicia"
"1720","Conopodium majus"
"1721","Aquilegia"
"1722","Mentha"
"1723","Scirpus-type"
"1724","Reseda/Sesamoides"
"1725","Chaerophyllum temulum"
"1726","Vaccinium"
"1727","Physospermum cornubiense"
"1728","Dryopteris dilatata"
"1729","Narcissus bulbocodium"
"1731","Scilla"
"1732","Sanicula europaea"
"1733","Fritillaria lusitanica"
"1734","Pimpinella saxifraga-type"
"1735","Rhinanthus/Veronica"
"1736","Veratrum album"
"1737","Jurinea"
"1738","Silene ciliata-type"
"1739","Bellis"
"1740","Ammi"
"1741","Sesamum"
"1742","Noaea"
"1743","Spermatophyta indet."
"1744","Polygonum-type sensu lato"
"1745","Lavandula-type"
"1746","Chrysosplenium"
"1747","Thapsia maxima-type"
"1748","Bidens"
"1749","Meum-type"
"1753","Aconitum"
"1754","Anemone sect. Hepatica"
"1755","Angelica archangelica-type"
"1756","Angelica sylvestris"
"1757","Anthemis-type (small)"
"1758","Apium nodiflorum"
"1759","Asteroideae undiff."
"1760","Astrantia"
"1761","Berula erecta"
"1762","Centaurea cyanus"
"1763","Cichorioideae undiff."
"1764","Cicuta virosa"
"1765","Conium maculatum"
"1766","Cornus sanguinea"
"1767","Cytisus grandiflorus"
"1768","Gentianella campestris-type"
"1769","Gypsophila repens-type"
"1770","Heracleum"
"1771","Hydrocotyle vulgaris"
"1772","Lamium"
"1773","Laserpitium"
"1774","Lathyrus"
"1775","Lonicera periclymenum"
"1778","Lythrum undiff."
"1779","Medicago"
"1780","Oenanthe"
"1782","Plantago coronopus sensu stricto"
"1783","Radiola linoides"
"1784","Sanguisorba officinalis-type"
"1785","Scrophulariaceae undiff."
"1786","Selinum carvifolia"
"1787","Silaum silaus-type"
"1788","Silene"
"1790","Stellaria"
"1791","Trinia glauca-type"
"1792","Ulex"
"1793","Valeriana officinalis"
"1795","Achyranthes-type aspera"
"1796","Caryophyllaceae/Chenopodiaceae"
"1797","Centaurea perrottetii"
"1798","Euphorbia hypericifolia-type"
"1799","Farsetia-type"
"1801","Jussiaea-type"
"1802","Justicia flava-type"
"1803","Maerua/Ritchiea"
"1804","Mimosoideae"
"1805","Nucularia-type"
"1806","Ormocarpum-type"
"1807","Polycarpon"
"1808","Pupalia lappacea"
"1809","Vahlia"
"1811","Reseda lutea-type"
"1812","Crataegus monogyna-type"
"1813","Pinus sylvestris/P. nigra-type"
"1814","Illecebraceae"
"1815","Nuxia congesta"
"1816","Justicia 2-porate"
"1817","Pterolobium"
"1818","Fagara"
"1819","Mercurialis annua-type"
"1820","Rumex spinosus"
"1821","Unknown (trilete, non-psilate)"
"1822","Casuarina/Corylus"
"1823","Quercus infectoria subsp. veneris-type"
"1824","Centaurea scabiosa"
"1825","Rubiaceae (hexacolpate)"
"1826","Cannabaceae/Urticaceae"
"1827","Unknown (trilete, psilate)"
"1828","Unknown (monolete, psilate)"
"1829","Lomelosia argentea-type"
"1830","Echinops-type"
"1831","Calicotome villosa"
"1832","Ricinus"
"1833","Centaurea collina-type"
"1834","Lygeum"
"1835","Unknown (monolete, non-psilate)"
"1836","Blepharisma"
"1837","Aerva-type javanica"
"1839","Rananculus oreophytus-type"
"1840","Olea africana"
"1841","Euphorbia hypericifolia"
"1842","Clematis"
"1843","Plantago africana-type"
"1844","Uebelinia-type"
"1845","Celtis africana-type"
"1846","Barbeyaceae"
"1847","Euclea"
"1848","Juniperus procera"
"1849","Olea hochstetteri-type"
"1850","Ilex mitis"
"1852","Schefflera volkensii"
"1853","Cerastium octandrum"
"1854","Macaranga kilimandscharica"
"1855","Cussonia"
"1856","Pappea capensis"
"1857","Myrica salicifolia"
"1858","Prunus africana"
"1859","Celosia-type trigyna"
"1860","Basilicum-type polystachyon"
"1861","Celosia-type argentea"
"1862","Trifolium-type acaule"
"1863","Crepis-type"
"1864","Cerastium afromontanum-type"
"1865","Ricinus communis"
"1866","Digera-type muricata"
"1867","Commiphora africana-type"
"1868","Myrsine africana"
"1869","Apodytes dimidiata"
"1870","Swertia lastii-type"
"1871","Rubus pinnatus-type"
"1872","Pentanisia-type ouranogyne"
"1873","Hebenstreitia dentata"
"1874","Polyscias fulva"
"1875","Laurembergia tetrandra"
"1876","Silene-type burchellii"
"1877","Nuxia"
"1879","Triglochin"
"1880","Trapa natans"
"1883","Boswellia sacra"
"1884","Boscia/Cadaba-type"
"1885","Catha"
"1886","Delonix"
"1887","Flacourtia"
"1888","Klainanthus"
"1889","Klaineanthus-type"
"1890","Lepisanthes"
"1891","Musanga"
"1892","Ormocarpum"
"1893","Tamarindus"
"1894","Senegalia I"
"1895","Senegalia II (gemmate)"
"1896","Senegalia III (reticulate)"
"1897","Maesa"
"1898","Abutilon/Pavonia"
"1899","Acanthaceae-type"
"1900","Aeschynomene"
"1901","Aizoaceae- small type"
"1902","Aloe"
"1903","Apocynaceae"
"1904","Asclepiadaceae"
"1905","Barleria"
"1906","Bosquia (3P)"
"1907","Capparaceae undiff"
"1908","Cissus"
"1909","Crotolaria"
"1910","Croton"
"1911","Desmodium-type"
"1912","Lamiaceae (3c)"
"1913","Lamiaceae (6c)"
"1914","Kickxia/Acridocarpus"
"1915","Pavonia"
"1916","Salsola"
"1917","Sapindaceae-type"
"1918","Anticharis"
"1919","Boerhavia erecta"
"1920","Celosia"
"1921","Grass"
"1922","Kohautia"
"1923","Phyllanthus materspatensis"
"1924","Phyllanthus rivae-type"
"1925","Polycarpon-type (Reseda)"
"1926","Polycarpon-type 2"
"1927","Pupalia"
"1928","Striga"
"1929","Broken"
"1931","Contaminant"
"1934","1as"
"1935","2as"
"1936","3as"
"1937","4as"
"1938","5as"
"1939","6as"
"1940","8as"
"1941","Large 1as"
"1942","Large 3as"
"1943","poly"
"1944","echinate"
"1945","large echinate"
"1946","polyechinate"
"1947","parasite egg"
"1948","spormiella"
"1950","Acacia groupe i"
"1951","Acacia groupe iii"
"1952","Acanthaceae"
"1953","Asystasia-type gangetica"
"1954","Caesalpinioideae"
"1955","Cayratia-type"
"1956","Ceiba"
"1957","Commelina benghalensis"
"1958","Dichrostachys"
"1959","Erythrococca"
"1960","Laurembergia"
"1962","Phyllanthus reticularus"
"1963","Priva-type"
"1964","Salvinia"
"1965","Schrebera"
"1966","Spores indeterminees"
"1967","Tapinanthus-type"
"1968","Tiliaceae"
"1969","Treculia"
"1970","Triumfetta-type"
"1971","Vitaceae"
"1972","Ximenia"
"1973","Achyranthes aspera"
"1974","Adansonia digitata"
"1975","Adenia-type"
"1976","Ambrosia maritima"
"1977","Ammannia-type"
"1978","Anthocleista"
"1980","Aphania senegalensis"
"1981","Capparis tomentosa-type"
"1982","Celosia argentea"
"1983","Cochlospermum"
"1984","Cordia"
"1985","Crossopteryx-type"
"1986","Dichrostachys cinerea"
"1987","Eriocaulon-type"
"1988","Erythrococca africana"
"1989","Galiniera-type"
"1990","Harungana madagascariensis"
"1991","Hemizygia bracteosa"
"1992","Ixora brachypoda-type"
"1993","Landolphia-type"
"1994","Lannea/Sclerocarya"
"1995","Laurembergia villosa"
"1996","Monocotyledonae"
"1997","Pancovia bijuga"
"1998","Phyllanthus amarus-type"
"1999","Phyllanthus reticulatus-type"
"2000","Pteridophyta indeterminees"
"2001","Salacia senegalensis"
"2002","Sapium"
"2003","Securinega virosa"
"2004","Sphenoclea"
"2005","Tabernaemontana-type"
"2006","Tamarix senegalensis"
"2007","Treculia africana"
"2008","Vitex doniana"
"2009","Ximenia americana"
"2010","Xyris-type"
"2011","Damasonium"
"2012","Quercus faginea"
"2013","Calluna"
"2014","Typha sp."
"2015","Artemisia monosperma"
"2016","Sparganium sp."
"2017","Pinus halepensis"
"2018","Gundelia"
"2019","Potamogeton sp."
"2020","Asphodelus microcarpus"
"2021","Bellevalia-type"
"2022","Asperula"
"2023","Populus sp."
"2025","Indigofera*"
"2026","Entada*"
"2027","Justicia flava*"
"2028","Rhus* natalense"
"2029","Pteridophyte trilete"
"2030","Hymenodictyon floribundum"
"2031","Hallea* rubrostipulata"
"2032","Dombeya*"
"2033","Shirakia* elliptica"
"2034","Maerua*"
"2035","Justicia* odora"
"2036","Cornulacca"
"2037","Thymeleaceae"
"2038","Erhetia"
"2039","Acacia III"
"2040","Aphania* senegalensis"
"2041","Lannea*"
"2042","Nyctaginaceae"
"2043","Ekebergia*"
"2044","Aerva* lanata"
"2045","Acanthus*"
"2046","Helioptropium steudneri*"
"2047","Croton*"
"2048","Pteridophyte trilete botrychium"
"2049","Acacia I"
"2050","Balanites aegyptiaca*"
"2051","Achyranthes* aspera"
"2052","Hirpicium*"
"2053","Asteraceae cichoriae"
"2054","Phyllanthus* amarus"
"2055","Nuxia/Dobera"
"2056","Sterculia"
"2057","Digera muricata"
"2058","Faidherbia albida"
"2059","Cyphostemma*"
"2060","Borassus* includes Hyphaene"
"2061","Capparis fascicularis*"
"2062","Albizia"
"2063","Olea europaea ssp. africana"
"2064","Celosia* trigyna"
"2065","Abutilon*"
"2066","Cissus* quadrangularis"
"2067","Cyathula* orthocantha"
"2068","Chrystiana africana"
"2069","Suada* monoÃ¯ca"
"2070","Paronychia*"
"2071","Bridelia ferruginea"
"2072","Caucanthus"
"2073","Commelina* benghalensis"
"2074","Ipomoea*"
"2075","Hypoestes*"
"2076","Convolvulus*"
"2077","Justicia* anselliana"
"2078","Asteraceae tubuliflorae"
"2079","Aloe*"
"2080","Zanthoxylum* usambarense"
"2081","Pentadesma"
"2082","Pteridophyte monolete"
"2083","Asystasia"
"2084","Buxus hildebrandtii"
"2085","Plantago africana*"
"2086","Polycarpaea*"
"2087","Stoebe kilimandscharica"
"2088","Phoenix reclinata"
"2089","Not determined"
"2090","Salvadora* persica"
"2091","Lantana* ukambensis"
"2092","Loranthaceae"
"2093","Vepris* nobilis"
"2094","Boscia*"
"2095","Pavetta"
"2096","Delonix elata"
"2097","Anogeissus"
"2098","Polygala*"
"2099","Pteridophyte Lygodium"
"2100","Cassia didymobotrya"
"2101","Mallotus* oppositifolius"
"2102","Carduus*"
"2103","Centaurea*"
"2104","Cf Batopedina"
"2105","Cf Cordia"
"2106","Cf Crudia"
"2107","Cf Maesa"
"2108","Cf Oligocodon"
"2109","Cf Syzygium"
"2110","Ebenaceae"
"2111","Gomphrena"
"2112","Hymenodictyon"
"2113","Ipomaea"
"2114","Malpighiaceae"
"2115","Peristrophe/Hypoestes"
"2116","Phyllantus"
"2117","Pteridophytae"
"2118","Vernonia"
"2119","Xeromphis"
"2120","Helleborus"
"2121","Typha angustifolia-type"
"2122","Quercus ithaburensis-type"
"2125","Undetectable"
"2126","Spores"
"2130","Clumps of Chenopodiaceae"
"2131","Asteraceae Asteroideae type (aster-like)"
"2132","Asteraceae Cichorioideae type (dandelion-like)"
"2133","Cupressus/Juniperus"
"2134","Noaea type"
"2135","Poaceae (cereals)"
"2136","Poaceae (grasses)"
"2137","Erica lusitanica"
"2138","Corema album"
"2139","Lactuca"
"2140","Loeflingia"
"2141","Rumex crispus-type"
"2142","Vicia sylvatica-type"
"2143","Pimpinella"
