Pollen_type_SM_morphological,Family,Genus,taxa,url_source,project_pi,project_pi_contact,whole_plant_height_m,seed_mass_mg,leaf_area_mm2,longest_whole_plant_longevity_years,plant_flowering_begin_month,plant_flowering_begin_date,leaf_dry_mass_g,leaf_life_span_months,leaf_nitrogen_content_per_leaf_dry_mass_mg_g_1,whole_plant_dispersal_syndrome,whole_plant_vegetative_phenology,whole_plant_growth_form_diversity,whole_plant_sexual_system,flower_pollination_syndrome,Leaf_dry_mass_per_area_g_mm_2,Try_dataset,Leaf_type,Try_reference
Coriaria,Coriariaceae,Coriaria,Coriaria,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Angela Moles; Maire V; Zanne AE; Engemann, K",sid@kew.org ; a.moles@unsw.edu.au; vmaire@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,,0.600833333,,24,,,,,23.881935,,evergreen,Shrub,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Coris,Primulaceae,Coris,Coris,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2,Zanne AE,aezanne@gmail.com,,,,,,,,,,,evergreen,,,,,,,
Cornus,Cornaceae,Cornus,Cornus,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Dana Royer; Angela Moles; Steven Travers; Price CA; Zanne AE; Engemann, K",sid@kew.org ; droyer@wesleyan.edu; a.moles@unsw.edu.au; steven.travers@ndsu.edu; charles.price@uwa.edu.au; aezanne@gmail.com; engemann@bios.au.dk,7.113243892,75.55000541,4201.756343,125,,5.25,0.087177755,5.8,18.02546457,,deciduous,Shrub_Tree,,,2.07E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Corydalis,Papaveraceae,Corydalis,Corydalis,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; D.K. Kunzmann; Steven Travers; Cyrille Violle/Brian Enquist ; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; dkunzmann@gmx.de; steven.travers@ndsu.edu; cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu; engemann@bios.au.dk,0.1455,8.5,3654.365,,4,,0.0774805,,56.69933333,,,Herb,,,2.12E-05,,,
Corylus,Betulaceae,Corylus,Corylus,http://datadryad.org/resource/doi:10.5061/dryad.hf5rh; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.12b0h; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Dalponte M; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Price CA; Steven Travers; Ameztegui A; Zanne AE; Engemann, K",michele.dalponte@fmach.it; sid@kew.org ; charles.price@uwa.edu.au; steven.travers@ndsu.edu; ameztegui@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,4.870280519,913.1565181,3278.275,,3.75,,,5.5,21.49945571,,deciduous,Shrub,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Cotinus coggygria,Anacardiaceae,Cotinus,Cotinus coggygria,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://www.ufz.de/biolflor/index.jsp; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Ingolf Kuhn; Zanne AE; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; ingolf.kuehn@ufz.de; aezanne@gmail.com; engemann@bios.au.dk,2,9.088282444,,,6,,,,,,deciduous,Shrub,,,,Leaf Nitrogen and Phosphorus for China's Terrestrial Plants,broad-leaved,"Yahan Chen , Wenxuan Han , Luying Tang , Zhiyao Tang and Jingyun Fang 2011 Leaf nitrogen and phosphorus concentrations of woody plants differ in responses to climate, soil and plant growth form. Ecography 34, doi: 10.1111/j.1600-0587.2011.06833.x"
Crassulaceae,Crassulaceae,Sedum,Crassulaceae,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.m88g7; http://www.ufz.de/biolflor/index.jsp; doi: 10.1111/j.1469-8137.2006.01704.x; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Marx HE; Angela Moles; Ingolf Kuhn; J.-S. He; Bezeng BS; Zanne AE; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; h.marx.h@gmail.com; a.moles@unsw.edu.au; ingolf.kuehn@ufz.de; jshe@pku.edu.cn; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,0.11661157,0.053157562,342.2841844,1.666666667,6.633333333,,0.02505817,,29.78666667,biotic,evergreen,Herb,Hermaphrodite,biotic,7.32E-05,,,
Crateva,Capparidaceae,Crateva,Crateva,http://datadryad.org/resource/doi:10.5061/dryad.d87v7; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Letcher SG; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Zanne AE; Engemann, K",susan.letcher@purchase.edu; sid@kew.org ; aezanne@gmail.com; engemann@bios.au.dk,15,116.625,,,,,,,,,deciduous,Tree,,,,,,
Crossandra,Acanthaceae,Crossandra,Crossandra,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Shrub,,,,,,
Crossopteryx,Rubiaceae,Crossopteryx,Crossopteryx,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Bezeng BS; Zanne AE; Engemann, K",bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,,,,,11,,,,,biotic,deciduous,Tree,Hermaphrodite,biotic,,,,
Crudia,Fabaceae-Caesalpinoideae,Crudia,Crudia,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Zanne AE; Engemann, K",aezanne@gmail.com; engemann@bios.au.dk,,,,,,,,,,,evergreen,Vine_Tree,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Cucumis,Curcubitaceae,Cucumis,Cucumis,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; engemann@bios.au.dk,1.75,16.85112058,,,,,,,,,,Herb,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Cucurbitaceae undif.,Cucurbitaceae,Cucurbitaceae,Cucurbitaceae,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.ck585; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Steendam; Angela Moles; Steven Travers; Balzotti CS; Zanne AE; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; R.m.bekker@rug.nl; a.moles@unsw.edu.au; steven.travers@ndsu.edu; cbalzotti@carnegiescience.edu; aezanne@gmail.com; engemann@bios.au.dk,0.757352941,184.523626,9128.333333,5,6.666666667,,0.406176934,,21.6,,deciduous,Herb,,,4.45E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Cupressaceae,Cupressaceae,Callitris,Cupressaceae,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.12b0h; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Price CA; Angela Moles; Steven Travers; Y.F. Bai; Ameztegui A; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; charles.price@uwa.edu.au; a.moles@unsw.edu.au; steven.travers@ndsu.edu; yfbai@ibcas.ac.cn; ameztegui@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,10.43341549,26.9854681,133.5038692,775.4307143,4.629032258,,0.144247333,49.93166667,15.64550793,biotic,evergreen,Tree,Hermaphrodite,biotic,0.001080473,,,
Cuscuta,Convolvulaceae,Cuscuta,Cuscuta,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Steven Travers; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; steven.travers@ndsu.edu; engemann@bios.au.dk,0.5,1.162333333,,,,7.142857143,,,,,,Parasite,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Cussonia,Araliaceae,Cussonia,Cussonia,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Bezeng BS; Zanne AE; Engemann, K",bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,,,,,8.6,,,,,biotic,evergreen,Shrub,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Cyclamen,Primulaceae,Cyclamen,Cyclamen,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://www.ufz.de/biolflor/index.jsp; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Ingolf Kuhn; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; ingolf.kuehn@ufz.de; engemann@bios.au.dk,0.085,4.6,,,7,,,,,,,Herb,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Cynometra,Fabaceae-Caesalpinoideae,Cynometra,Cynometra,http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Price CA; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Zanne AE; Engemann, K",charles.price@uwa.edu.au; sid@kew.org ; aezanne@gmail.com; engemann@bios.au.dk,30,5902.499664,1309.5,,,,,,14.89536,,evergreen,Tree,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Cynomorium,Cynomoriaceae,Cynomorium,Cynomorium,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Herb,,,,,,
Cyperaceae,Cyperaceae,Ascolepis,Cyperaceae,http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; doi: 10.1111/j.1469-8137.2006.01704.x; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"J. P. Grime, J. G. Hodgson and R. Hunt; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Steendam; Angela Moles; Steven Travers; Michael Kleyer; Price CA; J.-S. He; Engemann, K",j.p.grime@sheffield.ac.uk; sid@kew.org ; R.m.bekker@rug.nl; a.moles@unsw.edu.au; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; charles.price@uwa.edu.au; jshe@pku.edu.cn; engemann@bios.au.dk,0.407993328,10.43507808,1248.917331,6.12,,5.367088608,0.072891948,6.8,15.84779887,,,Herb,,,5.84E-05,Plant Traits from Fynbos Forests in the Cape Region,broad-leaved,"Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331ñ340 DOI:10.1016/j.ppees.2014.08.002"
Cytinus,Cytinaceae,Cytinus,Cytinus,,,,,,,,,,,,,,,,,,,,,
Dalechampia,Euphorbiaceae,Dalechampia,Dalechampia,http://datadryad.org/resource/doi:10.5061/dryad.nb675; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"P√©labon C; Engemann, K",christophe.pelabon@ntnu.no; engemann@bios.au.dk,,32.40917213,,,,,,,,,,Vine,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Daniellia,Fabaceae-Caesalpinoideae,Daniellia,Daniellia,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Zanne AE; Engemann, K",aezanne@gmail.com; engemann@bios.au.dk,,,,,,,,,,,evergreen,Tree,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Datisca cannabina,Datiscaceae,Datisca,Datisca cannabina,http://www.kew.org/data/sid ; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Engemann, K",sid@kew.org ; engemann@bios.au.dk,,0.1,,,,,,,,,,Herb,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Delonix,Fabaceae-Caesalpinoideae,Delonix,Delonix,http://www.americanforests.org/resources/bigtrees/register.php; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,9.398,345.4814286,,,10,,,,,biotic,deciduous,Tree,Hermaphrodite,biotic,,,,
Desmodium,Fabaceae-Faboideae,Desmodium,Desmodium,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Steven Travers; Maire V; Zanne AE; Engemann, K",sid@kew.org ; steven.travers@ndsu.edu; vmaire@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,0.75,9.66329894,,,6.428571429,,,,33.05666667,,evergreen,Vine_Herb,,,,Leaf Physiology Database,broad-leaved,"Kattge, J., W. Knorr, T. Raddatz, and C. Wirth. 2009. Quantifying photosynthetic capacity and its relationship to leaf nitrogen content for global-scale terrestrial biosphere models. Global Change Biology 15:976-991."
Detarium,Fabaceae-Caesalpinoideae,Detarium,Detarium,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Zanne AE; Engemann, K",aezanne@gmail.com; engemann@bios.au.dk,,,,,,,,,,,deciduous,Tree,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Dialium,Fabaceae-Caesalpinoideae,Dialium,Dialium,http://datadryad.org/resource/doi:10.5061/dryad.51p4f; http://datadryad.org/resource/doi:10.5061/dryad.d87v7; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.ck585; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Kleinschroth F; Letcher SG; Price CA; Bezeng BS; Balzotti CS; Zanne AE; Engemann, K",fritz.kln@gmail.com; susan.letcher@purchase.edu; charles.price@uwa.edu.au; bezengsimmy@gmail.com; cbalzotti@carnegiescience.edu; aezanne@gmail.com; engemann@bios.au.dk,24.80952381,250,2605.15,,9,,,,19.9,biotic,deciduous,Tree,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Dichrostachys,Fabaceae-Mimosoideae,Dichrostachys,Dichrostachys,http://datadryad.org/resource/doi:10.5061/dryad.f2b52; http://datadryad.org/resource/doi:10.5061/dryad.v240b; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,Ploton P; Wigley BJ; Bezeng BS,p.ploton@gmail.com; benwigley@gmail.com; bezengsimmy@gmail.com,4.4,,1955,,10,,,,27.5,biotic,,,Hermaphrodite,biotic,,,,
Dictyandra,Rubiaceae,Dictyandra,Dictyandra,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2,Zanne AE,aezanne@gmail.com,,,,,,,,,,,evergreen,,,,,,,
Diodia,Rubiaceae,Diodia,Diodia,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Shrub,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Dioscorea,Dioscoreaceae,Dioscorea,Dioscorea,http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://www.ufz.de/biolflor/index.jsp; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.ck585; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"J. P. Grime, J. G. Hodgson and R. Hunt; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; K. Thompson; Angela Moles; Ingolf Kuhn; Michael Kleyer; Balzotti CS; Bezeng BS; Zanne AE; Engemann, K",j.p.grime@sheffield.ac.uk; sid@kew.org ; ken.thompson@sheffield.ac.uk; a.moles@unsw.edu.au; ingolf.kuehn@ufz.de; michael.kleyer@uni-oldenburg.de; cbalzotti@carnegiescience.edu; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,2.75,14.74333333,6124,305,5,,0.22004255,,21.9,abiotic,evergreen,Liana_Vine,,biotic,3.59E-05,Leaf Biomechanics Database,broad-leaved,"Onoda, Y., M. Westoby, P. B. Adler, A. M. F. Choong, F. J. Clissold, J. H. C. Cornelissen, S. Diaz, N. J. Dominy, A. Elgart, L. Enrico, P. V. A. Fine, J. J. Howard, A. Jalili, K. Kitajima, H. Kurokawa, C. McArthur, P. W. Lucas, L. Markesteijn, N. Perez-Harguindeguy, L. Poorter, L. Richards, L. S. Santiago, Jr. E. Sosinski, S. Van Bael, D. I. Warton, I. J. Wright, S. J. Wright, and N. Yamashita. 2011 . Global patterns of leaf mechanical properties. Ecology Letters 14:301-312."
Diospyros/Euclea t.,Ebenaceae,Diospyros,Diospyros; Euclea,http://datadryad.org/resource/doi:10.5061/dryad.h9083; http://datadryad.org/resource/doi:10.5061/dryad.rr4pm; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract; http://datadryad.org/resource/doi:10.5061/dryad.v240b; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Paine CET; Spasojevic MJ; Angela Moles; Bezeng BS; Dana Royer; Zanne AE; Engemann, K; Wigley BJ; Bezeng BS; Zanne AE; Engemann, K",c.e.t.paine@stir.ac.uk; mspaso@gmail.com; a.moles@unsw.edu.au; bezengsimmy@gmail.com; droyer@wesleyan.edu; aezanne@gmail.com; engemann@bios.au.dk; benwigley@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,9.962223506,611.180002,6178.33923880597; 382,80,8.04761904761905; 7.3,,0.141666667,,21.7320361993103; 12.5333333333333,abiotic; abiotic,evergreen; evergreen,Tree; Tree,Dioecious; Dioecious,biotic; biotic,2.29E-05,The China Plant Trait Database; Plant Traits from Fynbos Forests in the Cape Region,broad-leaved; broad-leaved,"Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819; Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331ñ340 DOI:10.1016/j.ppees.2014.08.002"
Dipsacaceae,Dipsacaceae,Scabiosa,Dipsacaceae,,,,,,,,,,,,,,,,,,,,,
Dipterygium glaucum,Capparidaceae,Dipterygium,Dipterygium glaucum,,,,,,,,,,,,,,,,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Dodonaea,Sapindaceae,Dodonaea,Dodonaea,http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.m41f1; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Price CA; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Angela Moles; Bezeng BS; Grootemaat S; Zanne AE; Engemann, K",charles.price@uwa.edu.au; sid@kew.org ; a.moles@unsw.edu.au; bezengsimmy@gmail.com; saskia.grootemaat@mq.edu.au; aezanne@gmail.com; engemann@bios.au.dk,4.08112,6.91807959,351.7428571,30,4,,0.039,9.05,18.815932,biotic,evergreen,Herb_Tree_Shrub,Hermaphrodite,biotic,0.000110876,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Dombeya,Malvaceae-Dombeyioideae,Dombeya,Dombeya,http://datadryad.org/resource/doi:10.5061/dryad.f2b52; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Ploton P; Bezeng BS; Zanne AE; Engemann, K",p.ploton@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,14.75,,,,4,,,,,abiotic,evergreen,Tree,Hermaphrodite,biotic,,Global Dataset of Maximum Rooting Depth,broad-leaved,"Fan Y, Gonzalo Miguez-Macho, Esteban G. Jobb·gy, Robert B. Jackson, Carlos Otero-Casal (2017) Hydrologic regulation of plant rooting depth. Proceedings of the National Academy of Sciences 114 (40) 10572-10577; DOI: 10.1073/pnas.1712381114"
Dracaena,Liliaceae-Asphodelaceae,Dracaena,Dracaena,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.4b95c.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Bezeng BS; Szefer P; Engemann, K",sid@kew.org ; bezengsimmy@gmail.com; szefer85@gmail.com; engemann@bios.au.dk,7.3152,344.83,,,6.666666667,,,,25.1,biotic,,Shrub_Tree,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Drosera,Droseraceae,Drosera,Drosera,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://harvardforest.fas.harvard.edu:8080/exist/xquery/data.xq?id=hf112; http://www.ufz.de/biolflor/index.jsp; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; J.D. Karagatzides, A. Ellison; Angela Moles; Ingolf Kuhn; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; aellison@fas.harvard.edu; a.moles@unsw.edu.au; ingolf.kuehn@ufz.de; engemann@bios.au.dk,0.068333333,0.037143743,131.6284615,0.5,7,,0.002142222,,13.99374822,,,Herb,,,1.63E-05,Plant Traits from Fynbos Forests in the Cape Region,broad-leaved,"Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331ñ340 DOI:10.1016/j.ppees.2014.08.002"
Drypetes,Putranjivaceae,Drypetes,Drypetes,http://datadryad.org/resource/doi:10.5061/dryad.51p4f; http://datadryad.org/resource/doi:10.5061/dryad.d87v7; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.j2r53; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Kleinschroth F; Letcher SG; Dana Royer; Bezeng BS; Uma√±a MN; Zanne AE; Engemann, K",fritz.kln@gmail.com; susan.letcher@purchase.edu; droyer@wesleyan.edu; bezengsimmy@gmail.com; maumana@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,6.351179817,559,9444.666667,,10.5,,,,21.51013194,abiotic,evergreen,Tree,Dioecious,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
