References pollen records,References pollen taxonomy,Reference phytogeographical affinity,References habit,References plant functional types
"Bottema, S. 1988. A reconstruction of the Halos environment on the basis of palynological information. Pages 216-226 in H.R. Reinders, editor. New Halos: a Hellenistic town in Thessalía, Greece. H&S Publishers, Utrecht, The Netherlands.","Kubitzki, M. (1965) Palynologia Madagassica et Mascarenica Familles 147-154. Pollen et Spores 8(3) 492-508,","Grey-Wilson, C. (1980). Impatiens of Africa. CrC Press.","Farag, S., & Kayser, O. (2017). The Cannabis Plant: Botanical Aspects. In Handbook of Cannabis and Related Pathologies: Biology, Pharmacology, Diagnosis, and Treatment (pp. 3–12). https://doi.org/10.1016/B978-0-12-800756-3.00001-6",
"Bottema, S. 1990. Holocene environment of the Southern Argolid: a pollen core from Kiladha Bay. Pages 117-138 in T.J. Wilkinson and S.T. Duhon, editors. Franchthi Paralia: the sediments, stratigraphy, and offshore investigations. Volume 6. Excavations at Franchthi Cave. Indiana University Press, Bloomington, Indiana, USA.","Lattar, E. C., Bóbeda, G., & Zini, L. M. (2020). Pollen morphological and morphometric analysis in species of the Aeschynomeneae and Adesmieae tribes (Faboideae: Fabaceae). Palynology, 44(1), 187-194.","Grimm, G. W., & Denk, T. (2008). ITS evolution in Platanus (Platanaceae): homoeologues, pseudogenes and ancient hybridization. Annals of Botany, 101(3), 403-419.","Friis, I. (1991). Urticaceae Flora Zambesiaca 9 (6). Includes a picture, 81-83.",
"Bottema, S., and H. Woldring. 1984. Late Quaternary vegetation and climate of southwestern Turkey. Part II. Palaeohistoria 26:123-149.","Lens, F., Jansen, S., Huysmans, S., Robbrecht, E., & Smets, E. (2000). Pollen morphological variation in Vanguerieae (Ixoroideae Rubiaceae). Grana, 39(2-3), 90-102.","Gustafsson, C., & Persson, C. (2002). Phylogenetic relationships among species of the neotropical genus Randia (Rubiaceae, Gardenieae) inferred from molecular and morphological data. Taxon, 51(4), 661-674.","Funk, V., Susanna, A., Stuessy, T., & Bayer, R. (2009). Systematics, Evolution, and Biogeography of Compositae. Vienna: International Association for Plant Taxonomy. ISBN: 978-3-9501754-3-1.",
"Bottema, S., and H. Woldring. 1990. Anthropogenic indicators in the pollen record of the Eastern Mediterranean. Pages 231-264 in S. Bottema, G. Entjes-Nieborg, and W. van Zeist, editors. Man's Roles in the Shaping of the Eastern Mediterranean Landscape. Balkema, Rotterdam, Netherlands.","Lézine, A. M., Watrin, J., Vincens, A., & Hély, C. (2009). Are modern pollen data representative of west African vegetation?. Review of Palaeobotany and Palynology, 156(3-4), 265-276.","Harley, R. M., et al. (2004). Labiatae. In K. Kubitzki (Ed.), The Families and Genera of Vascular Plants (Vol. VI, pp. 167-275). Springer-Verlag.","García, M. A., Costea, M., Kuzmina, M., & Stefanovi?, S. (2014). Phylogeny, character evolution, and biogeography of Cuscuta (dodders; Convolvulaceae) inferred from coding plastid and nuclear sequences. American journal of botany, 101(4), 670-690.",
"Bottema, S., and W. van Zeist. 1981. Palynological evidence for the climatic history of the near East: 50,000-6000 BP. Pages 111-132 in Préhistoire du Levant. Colloques Internationaux du CNRS, 598. Editions CNRS.","Lobreau-Callen, D. (1983). Analyse de la repartition géographique des Malphigiaceae d’apres les caractêres du pollen et de la pollinisation. Bothalia, 14(3/4), 871-881.","Hawksworth, F. G., & Wiens, D. (1972). Biology and classification of dwarf mistletoes (Arceuthobium) (No. 401). US Forest Service.","Garg, S., Anvar Hussain, N. A., Syed, I., Asaithambi, N., & Mundhada, S. (2020). Water Chestnut (Trapa natans). Antioxidants in Vegetables and Nuts-Properties and Health Benefits, 453-465.",
"Bottema, S., H. Woldring, and B. Aytu?. 1993. Late Quaternary vegetation history of northern Turkey. Palaeohistoria 35/36:13-72. http://rjh.ub.rug.nl/Palaeohistoria/article/view/25071.","Maury, G., Muller, J., & Lugardon, B. (1975). Notes on the morphology and fine structure of the exine of some pollen types in Dipterocarpaceae. Review of Palaeobotany and Palynology, 19(4), 241-289.","Hearn, D. J. (2007). Novelties in Adenia (Passifloraceae): Four new species, a new combination, a vegetative key, and diagnostic characters for known Madagascan species. Brittonia, 59(4), 308-327.","Ghazanfar, S. A., & Edmondson, J. R. (Eds.). (2016). Flora of Iraq (Vol. 5, Pt. 1: Elatinaceae to Sphenocleaceae). Royal Botanic Gardens.",
"Bottema, S., H. Woldring, and B. Aytu?. 1994. Late Quaternary vegetation history of northern Turkey. Palaeohistoria 36:13-72.

","Merville M., (1965) Le pollen des Sapindacées d'Afrique Orientale. Pollen et Spores 8(3) 465-487","Heitzman, M. E., Neto, C. C., Winiarz, E., Vaisberg, A. J., & Hammond, G. B. (2005). Ethnobotany, phytochemistry and pharmacology of Uncaria (Rubiaceae). Phytochemistry, 66(1), 5-29.","Ghazanfar, S. A., Raven, P. H., Townsend, C. C., Taylor, P., & Mobayen, S. (2013). Flora of Iraq (Vol. 5, Part 2, pp. xi, 1-349). In S. A. Ghazanfar & J. R. Edmondson (Eds.), Kew, UK: Royal Botanic Gardens, Kew. Published on behalf of the Ministry of Agriculture, Republic of Iraq by Royal Botanic Gardens, Kew. ISBN 978-1-84246-493-9.",
"Bottema, Sytze (UNPUBLISHED?)","Merville M., (1965) Le pollen des Sapindacées d'Afrique Orientale. Pollen et Spores 8(3) 465-488","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014","Gimingham, C. H., & Birse, E. M. (1957). Ecological studies on growth-form in bryophytes: I. Correlations between growth-form and habitat. The Journal of Ecology, 533-545.",
Bouimetarhan et al. 2009 Dinoflagellate cysts and pollen distribution of marine surface sediments off West Africa. PANGEA. https://doi.pangaea.de/10.1594/PANGAEA.743064,"Merville M., (1965) Le pollen des Sapindacées d'Afrique Orientale. Pollen et Spores 8(3) 465-489","Henkin, Z., Rosenzweig, T., Yaniv, Z. (2014). Sarcopoterium spinosum . In: Yaniv, Z., Dudai, N. (eds) Medicinal and Aromatic Plants of the Middle-East. Medicinal and Aromatic Plants of the World, vol 2.","Graham, S. A. (1985). A revision of Ammannia (Lythraceae) in the Western Hemisphere. Journal of the Arnold Arboretum, 66(4), 395-420.",
Bouimetarhan I.; Dupont l.; Schefuss E.; Mollenhauer G.; Mulitza S.; Zonneveld K. 2009 Palynological evidence for climatic and oceanic variability off NW Africa during the late Holocene. Quaternary Research.,"Mitra, K. (1975). Contribution to the pollen morphology of the family Capparaceae. Nelumbo-The Bulletin of the Botanical Survey of India, 7-31.","Hoek, C., Mann, D. G., & Jahns, H. M. (1995). Algae: an introduction to phycology. Cambridge university press.","Grey-Wilson, C. (1980). Impatiens of Africa. CrC Press.",
"Bouimetarhan, I.; Groeneveld, J.; Dupont, L.; Zonneveld, K. 2013 Low- to high- productivity pattern within Heinrich stadial 1: Inferrences from dinoflagellate cyst records off Senegal. Global and Planetary Change","Moore, P. D., Webb, J. A., & Collison, M. E. (1991). Pollen analysis. Blackwell scientific publications.","Hoffmann, P., Kathriarachchi, H., & Wurdack, K. J. (2006). A phylogenetic classification of Phyllanthaceae (Malpighiales; Euphorbiaceae sensu lato). Kew Bulletin, 37-53.","Grimm, G. W., & Denk, T. (2008). ITS evolution in Platanus (Platanaceae): homoeologues, pseudogenes and ancient hybridization. Annals of Botany, 101(3), 403-419.",
"Brauer, A., J.R.M. Allen, J. Mingram, P. Dulski, S. Wulf, and B. Huntley. 2007. Evidence for last interglacial chronology and environmental change from Southern Europe. Proceedings of the National Academy of Sciences of the United States of America 104(2):450-455. [DOI: 10.1073/pnas.0603321104]","Nilsson, S. (1990). Taxonomic and evolutionary significance of pollen morphology in the Apocynaceae. In Morphology, development, and systematic relevance of pollen and spores (pp. 91-102). Springer Vienna.","Hoggard, R. K., Kores, P. J., Molvray, M., Hoggard, G. D., & Broughton, D. A. (2003). Molecular systematics and biogeography of the amphibious genus Littorella (Plantaginaceae). American Journal of Botany, 90(3), 429-435.","Grímsson, F., Ulrich, S., Coiro, M., Graham, S. A., Jacobs, B. F., Currano, E. D., ... & Zetter, R. (2021). Hagenia from the early Miocene of Ethiopia: Evidence for possible niche evolution?. Ecology and Evolution, 11(10), 5164-5186.",
"Brisset, E., J. Revelles, I. Expósito, J. Bernabeu Aubán, and F. Burjachs. 2020. Socio-Ecological Contingencies with Climate Changes over the Prehistory in the Mediterranean Iberia. Quaternary 3(3):1-22. [DOI: 10.3390/quat3030019]","Nowicke, J. W. (1981). Pollen morphology and the phylogenetic realtionships of the Berberidaceae. Smithsonian Contributions to Botany.","Ibarra-Morales, A., Muñíz, M. E., & Valencia, S. (2015). The Genus Anthoceros (Anthocerotaceae, Anthocerotophyta) in Central Mexico. Phytotaxa, 205(4), 215-228.","Gustafsson, C., & Persson, C. (2002). Phylogenetic relationships among species of the neotropical genus Randia (Rubiaceae, Gardenieae) inferred from molecular and morphological data. Taxon, 51(4), 661-674.",
"Brook, G.A., D.A. Burney, and J.B. Cowart. 1990. Desert paleoenvironmental data from cave speleothems with examples from the Chihuahuan, Somalia-Chalbi, and Kalahari deserts. Palaeogeography, Palaeoclimatology, Palaeoecology 76:311-329.

","Nowicke, J. W. (1994). A palynological study of Crotonoideae (Euphorbiaceae). Annals of the Missouri Botanical Garden, 245-269.","Ihlenfeldt, H. D. (2004). Pedaliaceae. In Flowering Plants· Dicotyledons: Lamiales (except Acanthaceae including Avicenniaceae) (pp. 307-322). Berlin, Heidelberg: Springer Berlin Heidelberg.","Guzmán, B., Fedriani, J. M., Delibes, M., & Vargas, P. (2017). The colonization history of the Mediterranean dwarf palm (Chamaerops humilis L., Palmae). Tree Genetics & Genomes, 13, 1-10.",
"Burjachs Casas, F. 1996. La secuencia palinológica de La Cruz (Cuenca, España). Pages 31-36 in M.B. Ruiz-Zapata, editor. Estudios palinológicos. Servicio de Publicaciones de la Universidad de Alcalá, Alcalá de Henares, Madrid, Spain.","Nowicke, J. W., & Ridgway, J. E. (1973). Pollen studies in the genus Cordia (Boraginaceae). American Journal of Botany, 60(6), 584-591.","Inocencio, C., Rivera, D., Obón de Castro, C., Alcaraz, F., & Barreña, J. (2006). A systematic revision of Capparis section Capparis (Capparaceae). Annals of the Missouri Botanical Garden, 93(1), 122-149.","Hadidi, M. N. (1985). Flora of tropical East Africa-Zygophyllaceae (1985) (No. 95). CRC Press.",
"Burjachs Casas, F. 2006. Palinología y restitución paleoecológica. Ecosistemas 15(1):7-16.","Oliveira, A. C. D. S., De Borges, R. L. B., Perez, A. P. F., Lewis, G. P., & Silva, J. S. (2019). Characteristics of the exine and aperture of pollen grains of Eriosema and Rhynchosia (Leguminosae–Papilionoideae–Phaseoleae). Grana, 58(4), 292-307.","Jepson, W. L. (1975). A manual of the flowering plants of California (illustrated, reprint ed.). University of California Press. ISBN: 0520006062, 9780520006065.






","Happi, G. M., Tiani, G. L. M., Gbetnkom, B. Y. M., Hussain, H., Green, I. R., Ngadjui, B. T., & Kouam, S. F. (2020). Phytochemistry and pharmacology of Harungana madagascariensis: mini review. Phytochemistry Letters, 35, 103-112.",
"Burjachs Casas, F., and I. Expósito. 2009. Descobrint els paisatges del passat. Pages 19-40 in M. Marí, editor. Vila i Ses Feixes, Els camins de l'aigua, GEN-GOB Eivissa edition. Eivissa, Spain.","Osman, A., Al-Ghamdi, F., & Guetat, A. (2014). Pollen morphology of some species of genus Astragalus L.(Fabaceae) in Northern region of Saudi Arabia. Life Science Journal, 11(11), 1006-1019.","Jiang, M., Cui, B. W., Wu, Y. L., Nan, J. X., & Lian, L. H. (2021). Genus Gentiana: A review on phytochemistry, pharmacology and molecular mechanism. Journal of Ethnopharmacology, 264, 113391.","Harris, S. A., Maberly, S. C., & Abbott, R. J. (1992). Genetic variation within and between populations of Myriophyllum alterniflorum DC. Aquatic botany, 44(1), 1-21.",
"Burjachs Casas, F., and I. Expósito. 2015. Charcoal and pollen analysis: Examples of Holocene fire dynamics in Mediterranean Iberian Peninsula. Catena 135:340-349.","Patel, V. C., Skvarla, J. J., & Raven, P. H. (1984). Pollen characters in relation to the delimitation of Myrtales. Annals of the Missouri Botanical Garden, 858-969.","Jin, J., Boersch, M., Nagarajan, A., Davey, A. K., & Zunk, M. (2020). Antioxidant properties and reported ethnomedicinal use of the genus Echium (Boraginaceae). Antioxidants, 9(8), 722.","Hawksworth, F. G., & Wiens, D. (1972). Biology and classification of dwarf mistletoes (Arceuthobium) (No. 401). US Forest Service.",
"Burjachs Casas, F., R.P. Pérez-Obiol, L. Picornell-Gelabert, J. Revelles-López, G. Servera-Vives, I. Expósito, and E.I. Yll. 2017. Overview of environmental changes and human colonization in the Balearic Islands (Western Mediterranean) and their impacts on vegetation composition during the Holocene. Journal of Archaeological Science: Reports 12:845-859.","Persson, C. (1993). Pollen morphology of the Gardenieae?Gardeniinae (Rubiaceae). Nordic Journal of Botany, 13(5), 561-582.","Kadereit, J. W. (1987). The taxonomy, distribution and variability of the genus Roemeria Medic.(Papaveraceae). Flora, 179(2), 135-153.","Hearn, D. J. (2006). Adenia (Passifloraceae) and its adaptive radiation: phylogeny and growth form diversification. Systematic Botany, 31(4), 805-821.",
"Burjachs Casas, F., S. Giralt, J.R. Roca, G. Seret, and R. Julià Brugués. 1997. Palinología holocénica y desertización en el Mediterráneo Occidental. Pages 379-394 in J.J. Ibáñez, B.L. Valero, and C. Machado, editors. El paisaje mediterráneo a través del espacio y del tiempo. Implicaciones en la desertificación. Geoforma, Logroño, Spain.","Perveen, A. , & Qaiser, M. (2001). Pollen flora of Pakistan-xxxi Capparidaceae. Turkish Journal of Botany, 25(6), 389-395.","Kadereit, J. W., & Bittrich, V. (Eds.). (2016). Flowering Plants. Eudicots: Aquifoliales, Boraginales, Bruniales, Dipsacales, Escalloniales, Garryales, Paracryphiales, Solanales (except Convolvulaceae), Icacinaceae, Metteniusaceae, Vahliaceae (Vol. 14). Springer.","Hepper, F. N. (1972). Numerical Analysis of the'Flora of West Tropical Africa': II: Angiosperms (Monocotyledons). Kew Bulletin, 305-307.",
"Burjachs Casas, F., S.E. Jones, S. Giralt, and J. Fernández-López de Pablo. 2016. Lateglacial to Early Holocene recursive aridity events in the SE Mediterranean Iberian Peninsula: The Salines playa lake case study. Quaternary International 403:187-200.","Perveen, A. , & Qaiser, M. (2010). Pollen flora of Pakistan—LXVII: Acanthaceae. Pakistan Journal of Botany, 42(SI), 175-191.","Kadereit, J. W., Schwarzbach, A. E., & Jork, K. B. (1997). The phylogeny of Papaver sl (Papaveraceae): polyphyly or monophyly?. Plant Systematics and Evolution, 204, 75-98.","Hepper, F. N., & Keay, R. W. J. (1963). Rubiaceae. In Flora of West Tropical Africa (Vol. 2).",
"Burjachs, F., R.P. Pérez-Obiol, J.M. Roure, and R. Julia. 1994. Dinamica de la vegetation durante el Holoceno en la isla de Mallorca. Pages 199-210 in X Simposio de Palinologia (APLE), Valencia, Spain.","Perveen, A. , & Qaiser, M.(2009). Pollen flora of Pakistan-Malvaceae: Dombeyoideae-Lxii. Pakistan Journal of Botany, 41(2), 491-494.","Kamel, S., Ayed, S., & Cherif, M. (2010). Identification of Tunisian Barley Lines Tolerant to Both Net Botch and Scald in the Adult Stage. Tunisian Plant Science and Biotechnology II. The African Journal of Plant Science and Biotechnology, 4, 77-80.","Heuvel, B. D. V. (2011). Alnus. In Wild Crop Relatives: Genomic and Breeding Resources: Forest Trees (pp. 1-14). Berlin, Heidelberg: Springer Berlin Heidelberg.",
"C.V. Haynes; C.H. Eyles; L.A. Pavlish; J.C. Ritchie; M. Rybak  1989 Holocene palaeoecology of the eastern Sahara, Selima Oasis. Quaternary Science Reviews. Vol. 8: 109-136. https://doi.org/10.1016%2F0277-3791%2889%2990001-2","Perveen, A. N. J. U. M., & Qaiser, M. (2010). Pollen flora of Pakistan—LXVII: Acanthaceae. Pakistan Journal of Botany, 42(SI), 175-191.","Kandemir, N., Çelik, A., Shah, S. N., & Razzaq, A. (2020). Comparative micro-anatomical investigation of genus Heliotropium (Boraginaceae) found in Turkey. Flora, 262, 151495.","Hoek, C., Mann, D. G., & Jahns, H. M. (1995). Algae: an introduction to phycology. Cambridge university press.",
"Calò, C., P.D. Henne, B.B. Curry, M. Magny, E. Vescovi, T. La Mantia, S. Pasta, B. Vannière, and W. Tinner. 2012. Spatio-temporal patterns of Holocene environmental change in southern Sicily. Palaeogeography, Palaeoclimatology, Palaeoecology 323-325:110-112.","Perveen, A., & Qaiser, M. (2007). Pollen flora of Pakistan-LIII. Verbenaceae. Pak J Bot, 39(3), 663-669.","Kaur, N., Kaur, B., & Sirhindi, G. (2017). Phytochemistry and pharmacology of Phyllanthus niruri L.: a review. Phytotherapy research, 31(7), 980-1004.","Hoffmann, P., Kathriarachchi, H., & Wurdack, K. J. (2006). A phylogenetic classification of Phyllanthaceae (Malpighiales; Euphorbiaceae sensu lato). Kew Bulletin, 37-53.",
"Calo, C., P.D. Henne, P. Eugster, J. van Leeuwen, A. Gilli, Y. Hamann, T. La Mantia, S. Pasta, E. Vescovi, and W. Tinner. 2013. 1200 years of decadal-scale variability of Mediterranean vegetation and climate at Pantelleria Island, Italy. The Holocene 23(10):1477-1486.","Perveen, A., Grafström, E., & El-Ghazaly, G. (2004). World Pollen and Spore Flora 23. Malvaceae Adams. Pp Subfamilies: Grewioideae, Tilioideae, Brownlowioideae. Grana, 43(3), 129-155.","Kenicer, G. (2005). Legumes of the World. En G. Lewis, B. Schrire, B. MacKinder & M. Lock (Eds.), Royal Botanic Gardens, Kew. ISBN 1 900 34780 6. £55.00 (hardback). Edinburgh Journal of Botany, 62(3), 195-196. https://doi.org/10.1017/S0960428606190198","Hoggard, R. K., Kores, P. J., Molvray, M., Hoggard, G. D., & Broughton, D. A. (2003). Molecular systematics and biogeography of the amphibious genus Littorella (Plantaginaceae). American Journal of Botany, 90(3), 429-435.",
"Campbell, J.F.E., W.J. Fletcher, S. Joannin, P.D.M. Hughes, M. Rhanem, and C. Zielhofer. 2017. Environmental Drivers of Holocene Forest Development in the Middle Atlas, Morocco. Frontiers in Ecology and Evolution 5(113):1-22.","Polevova, S., Tekleva, M., Neumann, F. H., Scott, L., & Stager, J. C. (2010). Pollen morphology, ultrastructure and taphonomy of the Neuradaceae with special reference to Neurada procumbens L. and Grielum humifusum E. Mey. ex Harv. et Sond. Review of Palaeobotany and Palynology, 160(3-4), 163-171.","Khan, I., Najeebullah, S., Ali, M., & Shinwari, Z. K. (2016). Phytopharmacological and ethnomedicinal uses of the Genus Berberis (Berberidaceae): A review. Tropical Journal of Pharmaceutical Research, 15(9), 2047-2057.","Hutchinson, J. and Dalziel, J.M. (1958) Flora of West Tropical Africa. In: Keay, R.W.J., Ed., 2nd Edition, Vol. 1. Part 2, Published on Behalf of the Governments of Nigeria, Ghana, Sierra Leone & The Gambia by Crown Agents for Overseas Governments and Administrations, Millbank, London.
",
"Caratini et al. 1988 Caractérisation des aérosols désertiques à Niamey (Niger) par leur contenu pollinique. 25, 251-268. Inst. Fr. Pondichéry, trav. sec. sci. tech. Vol 25: 251-268","Praglowski, J. (1970). The pollen morphology of the Haloragaceae with reference to taxonomy. Grana, 10(3), 159-239.","Kim, H., & Heo, K. (2025). Embryology of Menyanthes (Menyanthaceae): its description and taxonomic implications. Nordic Journal of Botany, e04575.","Hutchinson, J., & Dalziel, J. M. (1952). Flora of West Tropical Africa (2nd ed., Vol. 1). Revised by R. W. J. Keay. Revision edited by F. N. Hepper. Published on behalf of the Governments of Nigeria, the Gold Coast, Sierra Leone, and The Gambia by Crown Agents for Overseas Governments and Administrations. Millbank, London. ",
"Carrión, J.S. 2002. Patterns and processes of Lake Quaternary environmental change in a montane region of southwestern Europe. Quaternary Science Reviews 21:2047-2066.","Praglowski, J. (1973) The pollen morphology of the Theligonaceae with reference to taxonomy. Pollen et Spores 15: 3","Kim, K. J. (1998). A new species of Fontanesia (Oleaceae) from China and taxonomic revision of the genus. Journal of Plant Biology, 41, 142-145.","Hutchinson, J., & Dalziel, J. M. (1954). Flora of West Tropical Africa.",
"Carrión, J.S., A. Andrade, K.D. Bennett, C. Navarro, and M. Munuera-Giner. 2001. Crossing forest thresholds: inertia and collapse in a Holocene sequence from south-central Spain. The Holocene 11(6):635-653.","Punt, W. (1962). Pollen morphology of the Euphorbiaceae with special reference to taxonomy. Wentia, 7(1), 1-116.","Kim, K. J., & Jansen, R. K. (1998). A chloroplast DNA phylogeny of lilacs (Syringa, Oleaceae): plastome groups show a strong correlation with crossing groups. American Journal of Botany, 85(9), 1338-1351.","Hutchinson, J., & Dalziel, J. M. (1958). Flora of West Tropical Africa. In R. W. J. Keay (Ed.), 2nd ed. (Vol. 1, Part 2). Published on behalf of the Governments of Nigeria, Ghana, Sierra Leone, & The Gambia by Crown Agents for Overseas Governments and Administrations. Millbank, London.",
"Carrión, J.S., and B. van Geel. 1999. Fine-resolution Upper Weichselian and Holocene palynological record from Navarrés (Valencia, Spain) and a discussion about factors of Mediterranean forest succession. Review of Palaeobotany and Palynology 106:209-236.","Punt, W., & Malotaux, M. (1984). Cannabaceae, moraceae and urticaceae. Review of Palaeobotany and Palynology, 42(1-4), 23-44.","Knapp, S., & Vorontsova, M. S. (2013). From introduced American weed to Cape Verde Islands endemic: the case of Solanum rigidum Lam. (Solanaceae, Solanum subgenus Leptostemonum). PhytoKeys, 25, 35-46. https://doi.org/10.3897/phytokeys.25.4692","Ithnin, M., Serdari, N. M., Abdullah, N., Kushairi, A., & Singh, R. (2017). Biodiversity and conservation of Elaeis species. Biodiversity and Conservation of Woody Plants, 245-272.",
"Carrión, J.S., and M. Dupré. 1996. Late Quaternary vegetational history of Navarrés, eastern Spain. A two core approach. New Phytologist 134:177-191.","Punt, W., Bos, J. A., & Hoen, P. P. (1991). The northwest European pollen flora, 45. Oleaceae.","Kool, A., Perrigo, A., & Thulin, M. (2012). Bristly versus juicy: Phylogenetic position and taxonomy of Sphaerocoma (Caryophyllaceae). Taxon, 61(1), 67-75.","Itokawa, H., & Lee, K. H. (Eds.). (2003). Taxus: the genus Taxus. CRC Press.",
"Carrión, J.S., E.I. Yll, K.J. Willis, and P. Sánchez-Gómez. 2004. Holocene forest history of the eastern plateaux in the Segura Mountains (Murcia, southeastern Spain). Review of Palaeobotany and Palynology 132:219-236.","Qaiser, M. , & Perveen, A. (2004). Pollen Flora of Pakistan-XXXVII. Tamaricaceae. Pakistan Journal of Botany, 36(1), 1-18.","Krakau, U. K., Liesebach, M., Aronen, T., Lelu-Walter, M. A., & Schneck, V. (2013). Scots pine (Pinus sylvestris L.). In Forest tree breeding in Europe: Current state-of-the-art and perspectives (pp. 267-323). Dordrecht: Springer Netherlands.","Jacobs, M. (1964). The genus Crateva (Capparaceae). Blumea: Biodiversity, Evolution and Biogeography of Plants, 12(2), 177-208.",
"Carrión, J.S., M. Munuera-Giner, M. Dupré, and A. Andrade. 2001. Abrupt vegetation changes in the Segura Mountains of southern Spain throughout the Holocene. Journal of Ecology 83:783-797.","Quijano-Abril, M. A., Castaño-López, M. D. L. Á., Marín-Henao, D., Sánchez-Gómez, D., Rojas-Villa, J. M., & Sierra-Escobar, J. (2021). Functional traits of invasive species Thunbergia alata (Acanthaceae) and its importance in the adaptation to Andean forests. Acta botánica mexicana, (128).","Kramer, K. U., Green, P. S., & Green, P. S. (Eds.). (1990). Pteridophytes and gymnosperms (Vol. 1). Springer Science & Business Media.","Johnson, O. O., Adeyemi, D. K., Abiodun, G., Ayoola, S. G. B., & Madayath, H. (2022), The phytochemistry and pharmacological potentials of Flabellaria paniculata cav.(malpighiaceae): A review of an unexplored medicinal plant. International Journal of Pharmacognosy and Life Science.",
"Carrión, J.S., N. Fuentes, P. González-Sampériz, L. Sánchez Quirante, J.C. Finlayson, S. Fernández, and A. Andrade. 2007. Holocene environmental change in a montane region of southern Europe with a long history of human settlement. Quaternary Science Review 26:1455-1475.","Raj, B. (1983). A contribution to the pollen morphology of Verbenaceae. Review of Palaeobotany and Palynology, 39(3-4), 343-422.","Kubitzki, K. (2003). Moringaceae. In Flowering Plants· Dicotyledons: Malvales, Capparales and Non-betalain Caryophyllales (pp. 312-314). Berlin, Heidelberg: Springer Berlin Heidelberg.","Kadereit, J. W. (1987). The taxonomy, distribution and variability of the genus Roemeria Medic.(Papaveraceae). Flora, 179(2), 135-153.",
"Carrión, J.S., P. Sánchez-Gómez, J.F. Mota, R. Yll, and C. Chaín. 2003. Holocene vegetation dynamics, fire and grazing in the Sierra de Gádor, southern Spain. The Holocene 13(6):839-849.","Reille, M. (1967) Contribution a l'etude palynologique de la famille des Vitaceés. Pollen et spores 9(2) 282-363.","Kubitzki, K. (2010). Coriariaceae. In Flowering Plants. Eudicots: Sapindales, Cucurbitales, Myrtaceae (pp. 105-108). Berlin, Heidelberg: Springer Berlin Heidelberg.","Kadereit, J. W., Schwarzbach, A. E., & Jork, K. B. (1997). The phylogeny of Papaver sl (Papaveraceae): polyphyly or monophyly?. Plant Systematics and Evolution, 204, 75-98.",
"Cerrillo-Cuenca, E., A. González-Cordero, and L.-S. J.A. 2007. El proyecto de investigación de Garganta Canaleja: aproximación al análisis del Epipaleolítico y el Neolítico en el valle interior del Tajo. Los Primeros Campesinos de la Raya. Actas de las jornadas de arqueología del Museo de Cáceres. p.13-27.","Reille, M. (1967). Contribution à l'étude palynologique de la famille des Vitaceae. Pollen et Spores, 9(2), 282-363.","Kujawska, M., & Svanberg, I. (2019). From medicinal plant to noxious weed: Bryonia alba L.(Cucurbitaceae) in northern and eastern Europe. Journal of ethnobiology and ethnomedicine, 15, 1-12.","Kamel, S., Ayed, S., & Cherif, M. (2010). Identification of Tunisian Barley Lines Tolerant to Both Net Botch and Scald in the Adult Stage. Tunisian Plant Science and Biotechnology II. The African Journal of Plant Science and Biotechnology, 4, 77-80.",
"Cerrillo-Cuenca, E., and A. González-Cordero. 2011. Burial prehistoric caves in the interior basin of river Tagus: the complex at Canaleja gorge (Romangordo, Caceres, Spain). BAR International Series 2219:21-42..","Reille, M. (1992). Pollen et spores d'Europe et d'Afrique du Nord. Marseille: Laboratoire de Botanique Historique et Palynologie.","Lammers, T. G. (2011). Revision of the Infrageneric Classification of Lobelia L. (Campanulaceae: Lobelioideae). Annals of the Missouri Botanical Garden, 98(1), 37-62. https://doi.org/10.3417/2007150","Katinas, L., Tellería, M. C., Susanna de la Serna, A., & Ortiz, S. (2008). Warionia (Asteraceae): a relict genus of Cichorieae?.",
"Chateauneuf, J.J.; Faure, H.; Lézine, A.M. 1986 Facteurs contrôlant la genèse et la destruction des tourbes tropicales du littoral ouest africain. Document du Bureau de Recherches Géologiques et Minières. Vol. 110: 77-91","Reille, M. (1995). Pollen et Spores d'Europe et d'Afrique du Nord, supplément 1, Marseille: Laboratoire de Botanique Historique et Palynologie.","Larridon, I., Tanaka, N., Liang, Y., Phillips, S. M., Barfod, A. S., Cho, S. H., ... & Ito, Y. (2019). First molecular phylogenetic insights into the evolution of Eriocaulon (Eriocaulaceae, Poales). Journal of plant research, 132, 589-600.","Kessler, P.J.A. (1993). Annonaceae. In: Kubitzki, K., Rohwer, J.G., Bittrich, V. (eds) Flowering Plants · Dicotyledons. The Families and Genera of Vascular Plants, vol 2. Springer, Berlin, Heidelberg. https://doi.org/10.1007/978-3-662-02899-5_9",
