Pollen_type_SM_morphological,African_coast,Madagascar,South_Africa,Eastern_Tropical_Africa,Zambezian,Guineo-Congolian,Sudanian,Sahel,Sahara,Mediterranean,Temperate,Asia,Arabia,America,Australia,Exotic_Introduced,Cosmopolitan,Widespread,Reference #1,Reference #2,Reference #3,Reference #4,Reference #5,Reference #6,Reference #7,Reference #8,Observations
Chrysobalanus t.,,,,,,x,,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Cichorieae,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Tremetsberger, K., Gemeinholzer, B., Zetzsche, H. et al. (2012) Org Divers Evol",,,,,,,,
Cissampelos,,,x,x,,x,x,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Cissus t.,,,x,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,"According to Hely (2014) is in the sudanian area, an according to White (1983) is in the Guineo-Congolian zone"
Cistaceae,,,,,,,,,x,x,,,,,,,,,"Milliken, W., Klitgaard, B., & Baracat, A. (Eds.). (2010). Neotropikey: Interactive key and information resources for flowering plants of the Neotropics. Retrieved from http://www.kew.org/science/tropamerica/neotropikey.htm","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Cistaceae undif.,,,,,,,,,x,x,,,,,,,,,"Milliken, W., Klitgaard, B., & Baracat, A. (Eds.). (2010). Neotropikey: Interactive key and information resources for flowering plants of the Neotropics. Retrieved from http://www.kew.org/science/tropamerica/neotropikey.htm","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Citrullus,,,x,x,x,,x,x,x,x,,,x,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,Cultivated in the whole world. According to Hély (2014): Saharan-Sahel-Sudanian
Citrus,,,,,,,,,,,,x,,,,x,,,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,"Cultivated in the whole world: About 30 wild species with a native range that covers Asia, Malesia, Australia and the Pacific, plus numerous hybrids and cultivars that are cultivated worldwide. About five native species in New Guineo, plus several cultivated ones."
Clausena,,,,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Clematis-type,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,Chawla et al. (2012) Journal of Ethnopharmacology,,,,,,,,"According to Hely (2014) in Sudanian-Sahel-Saharan, according to White (1983) in the Mediterranean and Saharan regions"
Cleome,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,According to Hely (2014) in Sudanian-Sahel-Saharan. In Quézel (1978): Cleome is amongs the Saharan genera that have a north-south tropical distribution in Africa
Clerodendrum,x,x,x,x,x,x,x,x,,,,x,,x,x,,,,"Harley, R.M. et al. (2004). Labiatae, in The Families and Genera of Vascular Plants (K. Kubitzki, ed. in chief) VI: 167-275. Springer-Verlag, Berlin, Heidelberg, New York.",,,,,,,,"Mostly paleotropical but some neotropical and a few temperate species (Harley, R.M. et al. 2004)"
Clusiaceae undif.,,,x,x,,x,x,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Clutia,,,x,x,,,,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,According to Hély (2014) found in the Sahara and Sahel and sudan
Coccinia,,,x,x,,x,x,x,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Cocculus,,,,x,,,,x,x,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,According to Watrin (2009) is Tropical-Sahelian
Cochlospermum,,,,,,x,x,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Cocos nucifera,,,,,,,,,,,,x,,,x,x,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,"According to White (1983): Coconut {Cocos nucífera) groves. Introduced by man, locally naturalized"
Cola,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Combretaceae,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,
Commelina,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,According to Hély (2014): Sudanian-Sahel-Saharan
Commiphora,,,x,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,
Connaraceae,,,,x,,x,,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Convolvulaceae,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,According to Hely (2014) only present in Sudanian-Sahel-Saharan
Cordia,,,,x,,x,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to Hely (2014) only present in Sahel-Sudanian-Guineo-Congolian
Coriaria,,,,,,,,,,x,,,,,,,,,"Kubitzki, K. (2010). Coriariaceae. In: Kubitzki, K. (eds) Flowering Plants. Eudicots. The Families and Genera of Vascular Plants, vol 10.; Yokoyama et al. (2000) Molecular Phylogenetics and Evolution",,,,,,,,
Coris,,,,,,,,,,x,,,,,,,,,Carrión et al. (1992) Plant Systematics and Evolution,,,,,,,,
Cornus,,,x,x,,,,,,x,x,,,,,,,,Lindelof et al. 2020 Journal of Systematics and Evolution,,,,,,,,
Corydalis,,,,x,,,,,,x,x,x,x,x,,,,,Lucas G. L . (1962) (East African Herbarium). Flora of Tropical East Africa. Fumariaceae; Chen et al. 2023 Journal of Integrative Plant Biology,,,,,,,,
Corylus,,,,,,,,,,x,x,x,,x,,,,,"Molnar, T.J. (2011). Corylus. In: Kole, C. (eds) Wild Crop Relatives: Genomic and Breeding Resources. Springer, Berlin, Heidelberg",,,,,,,,
Cotinus coggygria,,,,,,,,,,x,x,x,,,,,,,Mati? et al. (2016) Saudi Journal of Biological Sciences,,,,,,,,
Crassulaceae,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,
Crateva,,,,,,x,x,x,,,,,,,,,,,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,According to Hely (2014) the species Crateva adansonii is present in Sudanian-Sahel-Sahara. According to Timothy et al. (2022) is present in the Tropics.
CRETACEOUS FOSSIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA
Crossandra,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Leistner, O.A. (2005) Seed plants of southern tropical Africa: families and genera SABONET Report No. 26 SABONET, Pretoria",,,,,,,"According to is present in southern tropical Africa: Angola, Zambia, Zimbabwe, Malawi, Mozambique, and south Africa"
Crossopteryx,,,,,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Crudia,,,,,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Cucumis,,,x,x,x,x,x,x,,,,x,x,,,,,,"Chen, JF., Zhou, XH. (2011). Cucumis. In: Kole, C. (eds) Wild Crop Relatives: Genomic and Breeding Resources. Springer, Berlin, Heidelberg.; George R. Proctor (2012). Flora of the Cayman Isands (Second Edition). Royal Botanic Gardens, Kew",,,,,,,,"Cultivated worldwide. According to Chen et al. (2011) the origin is in Ethiopia, Kenya, Somalia, South Africa, and Tanzania"
Cucurbitaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Cupressaceae,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Page, C.N. (1990). Cupressaceae. In: Kramer, K.U., Green, P.S. (eds) Pteridophytes and Gymnosperms. The Families and Genera of Vascular Plants, vol 1. Springer, Berlin, Heidelberg.",,,,,,,,According to Hely (2014) in the Sahara
Cuscuta,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS","García, M. A., Costea, M., Kuzmina, M., & Stefanovi?, S. (2014). Phylogeny, character evolution, and biogeography of Cuscuta (dodders; Convolvulaceae) inferred from coding plastid and nuclear sequences. American journal of botany, 101(4), 670-690.",,,,,,,According to Hely (2014) Sudanian-Sahel-Saharan
Cussonia,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to Hely (2014) only Sudanian
Cyclamen,,,,,,,,,,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Cynometra,,,,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Cynomorium,,,,,,,,,x,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Cyperaceae,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,
Cytinus,,,,,,,,,,x,,,,,,,,,Nickrent 2020 TAXON,,,,,,,,Also in South Africa (Nickrent 2020 TAXON)
Dalechampia,,,x,x,,x,x,x,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Damaged pollen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
Daniellia,,,,,x,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Datisca cannabina,,,,,,,,,,x,,,,,,,,,"Davidson, Christopher (1973) A Journal of Systematic and Floristic Botany",,,,,,,,
Delonix,,,,x,,,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,Twelve species from E Africa to India and seven in Madagascar (one widely cultivated) (Thulin et al. 2008)
Desmodium,,,x,x,,x,x,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Detarium,,,,,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Dialium,,,x,,x,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Dichrostachys,,,,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Dictyandra,,,x,x,,x,x,,,,,,,,,,,,"Neuba, D.F.R., Malan, D.F. and Kouadio, Y.L., 2014. Adansonia, 36(1), pp.121-153.",,,,,,,,
Diodia,,,,x,,x,,,,,,,,,,,,,Sadiq Wada et al. 2022 Egyptian Journal of Basic and Applied Sciences,,,,,,,,
Dioscorea,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Bhattacharjee, R. et al. (2011). Dioscorea. In: Kole, C. (eds) Wild Crop Relatives: Genomic and Breeding Resources. Springer, Berlin, Heidelberg",,,,,,,,"Cultivated worldwide. According to Bhattacharjee, R. et al. (2011): Yams are also believed to have originated in the tropical areas of three separate continents: Africa (mainly West Africa for D. rotundata, D. cayenensis and D. dumetorum), Southeast Asia (for D. alata and D. esculenta), and South America (for D. trifida)"
Diospyros/Euclea t.,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,
Dipsacaceae,,,,,,,,,,x,,,,,,,,,"Carlson, S. E. (2010). Morphological innovation, dispersal, and diversification in the plant clade Dipsacaceae (Dipsacales). Yale University.",,,,,,,,
Dipterygium glaucum,,,,x,,,,,,,,,x,,,,,,Kamel et al. (2010) The African Journal of Plant Science and Biotechnology,,,,,,,,"According to Kamel et al. (2010) The African Journal of Plant Science and Biotechnology: General distribution: Egypt, Sudan, Ethiopia, Somalia, Djibouti, Saudi Arabia, Iran"
Dodonaea,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,"About 70 species mainly in Australia, a few pantropical and one in Madagascar."
Dombeya,,,x,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,"According to White (1983) in Sahel region, and according to Hely (2014) only in Guineo-Congolian-Sudanian region"
Dracaena,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Drosera,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"GONELLA, Paulo Minatel. Systematics of Drosera sect. Drosera s.s. (Droseraceae) São Paulo : Instituto de Biociências, University of São Paulo, 2017. Doctoral Thesis in Botânica.",,,,,,,,
Drypetes,,,,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Echinops,,,,x,,x,x,x,,x,x,,,,,,,,Montazerolghaem et al. (2017) Phytotaxa,,,,,,,,"According to MONTAZEROLGHAEM ET AL (2017) Phytotaxa: is present in Central Asia, Mongolia and north-eastern China to the 
 Mediterranean basin, temperate regions of Eurasia, reaching tropical Africa"
Echium t.,,,,,,,,,x,x,,,,,,,,,"Quézel, P. (1978). Analysis of the flora of Mediterranean and Saharan Africa. Annals of the Missouri Botanical Garden, 479-534.","White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014","Jin, J., Boersch, M., Nagarajan, A., Davey, A. K., & Zunk, M. (2020). Antioxidant properties and reported ethnomedicinal use of the genus Echium (Boraginaceae). Antioxidants, 9(8), 722.",,,,,"Jin, J., Boersch, M., Nagarajan, A., Davey, A. K., & Zunk, M. (2020). Antioxidants: The genus Echium L. (Boraginaceae) consists of 67 recognised species, which are native to North Africa, mainland Europe, and the Macaronesia region (the Azores, Madeira, Canary Islands, and Cape Verde), where they are found to be annual, biennial, or perennial flowering plants [1]. Interestingly, 70% of species endemic to the Macaronesian archipelagos are found to be woody shrubs [2], while continental species are mostly herbaceous. Numerous species belonging to Echium L. have been introduced into North America and Australia as ornamental and garden plants"
Ekebergia,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Elaeagnus,,,,,,,,,,x,,x,,x,,,,,Sun and Lin (2010) Journal of Sustematics and Evolution,,,,,,,,
Elaeis,,,,,x,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Elatine,,x,,,,,,,,x,x,x,,x,x,,,,Sramkó et al. (2023) Acta Bot. Croat,,,,,,,,
Embelia,,,x,x,,x,x,,,,,,,,,,,,"Atlabachew, M., Mehari, B., Combrinck, S., & McCrindle, R. (2017). Single?step isolation of embelin using high?performance countercurrent chromatography and determination of the fatty acid composition of seeds of Embelia schimperi. Biomedical Chromatography, 31(12), e4018.",,,,,,,,
Enicostema,,,,x,,x,x,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Entada,,,x,,x,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,"According to Hely (2014) only Sudanian, according to White (1983) also in Guineo-Congolian zone"
Ephedra,,,,,,,,,x,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,
Erica t.,,,x,x,,,,,x,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
