taxon.name,Proposed_harmonised_names,FAMILIES,APD_presynon_update
Merremia,Merremia-type,CONVOLVULACEAE,
Mesembryanthemoideae,[ignore],AIZOACEAE,
Micrococca mercurialis,Micrococca-type mercurialis,EUPHORBIACEAE,
Mimosa,Mimosa,FABACEAE,
Mimulopsis,Mimulopsis-type,ACANTHACEAE,
Mimusops,Mimusops-type,SAPOTACEAE,
Mitracarpus,Mitracarpus hirtus,RUBIACEAE,
Mitracarpus hirtus,Mitracarpus hirtus,RUBIACEAE,
Mitragyna,Mitragyna-type inermis,RUBIACEAE,
Mitragyna inermis,Mitragyna-type inermis,RUBIACEAE,
Mitragyna (M. rubrostipulata),Hallea-type rubrostipulata,RUBIACEAE,
Molinaea,Mitragyna-type inermis,SAPINDACEAE,
Monimia,Monimia,MONIMIACEAE,
Moraceae,Moraceae undiff.,MORACEAE,
Morelia senegalensis,Morelia senegalensis,RUBIACEAE,
Morella,[ignore],MYRICACEAE,
Morus,Morus-type mesozygia,MORACEAE,
Musanga,Musanga-type,MORACEAE,
Mussaenda,Mussaenda,RUBIACEAE,
Myrianthus,Myrianthus-type,MORACEAE,
Myrianthus arboreus,Myrianthus-type,MORACEAE,
Myrianthus holstii,Myrianthus-type,MORACEAE,
Myrica,Myrica,MYRICACEAE,
Myrsine,Myrsine africana,PRIMULACEAE,
Myrsine africana,Myrsine africana,PRIMULACEAE,
Myrtaceae,Myrtaceae undiff.,MYRTACEAE,
Myrtus,Myrtus-type,MYRTACEAE,
Myrtus communis,Myrtus-type,MYRTACEAE,
Nauclea,Nauclea-type,RUBIACEAE,
Neoboutonia,Neoboutonia-type,EUPHORBIACEAE,
Noronhia,Noronhia,OLEACEAE,
Nuxia,Nuxia-type,STILBACEAE,
Nuxia (N. congesta),Nuxia-type,STILBACEAE,
Nuxia verticillata,Nuxia-type,STILBACEAE,
Nuxia/Dobera,Nuxia/Dobera,STILBACEAE/SALVADORACEAE,
Nuxia/Ficalhoa,Nuxia/Ficalhoa,STILBACEAE/SLADENIACEAE,
Ocimum,Ocimum-type,LAMIACEAE,
Ocotea,Ocotea,LAURACEAE,
Oldenlandia,Oldenlandia-type,RUBIACEAE,
Olea,Olea,OLEACEAE,
Olea capensis,Olea capensis-type,OLEACEAE,
Olea europaea,Olea europaea-type,OLEACEAE,
Olea europaea Subsp. cuspidata,Olea europaea-type,OLEACEAE,
Oleaceae,Oleaceae undiff.,OLEACEAE,
Onagraceae,Onagraceae undiff.,ONAGRACEAE,
Operculicarya,Operculicarya-type,ANACARDIACEAE,
Ormocarpum,Ormocarpum-type,FABACEAE,
Ormocarpum (O. trichocarpum),Ormocarpum-type,FABACEAE,
Osbeckia (O. tubulosa),Osbeckia-type,MELASTOMATACEAE,
Osyris,Osyris,SANTALACEAE,
Oxalis,Oxalis,OXALIDACEAE,
Oxygonum,Oxygonum,POLYGONACEAE,
Ozoroa,Ozoroa-type,ANACARDIACEAE,
Pachypodium,Pachypodium,APOCYNACEAE,
Pancovia,Pancovia-type,SAPINDACEAE,
Pandanus,Pandanus,PANDANACEAE,
"Pandanus (Mauritius type 131, de Boer)",Pandanus,PANDANACEAE,
Pappea capensis,Pappea capensis,SAPINDACEAE,
Parinari,Parinari-type,CHRYSOBALANACEAE,
Parkinsonia,Parkinsonia,FABACEAE,
Paronychieae,[ignore],CARYOPHYLLACEAE,
Passerina,Passerina montana,THYMELAEACEAE,
Paullinia,Paullinia pinnata,SAPINDACEAE,
Pausinystalia,Pausinystalia-type,RUBIACEAE,
Pavetta,Pavetta,RUBIACEAE,
Pentaclethra macrophylla,Pentaclethra macrophylla,FABACEAE,
Pentas,Pentas-type,RUBIACEAE,
Pentzia,Pentzia,ASTERACEAE,
Periploca,Periploca,APOCYNACEAE,
Peristrophe,Peristrophe-type,ACANTHACEAE,
Persicaria,Persicaria,POLYGONACEAE,
Persicaria maculosa,[ignore],POLYGONACEAE,
Persicaria nepalensis,[ignore],POLYGONACEAE,
Persicaria senegalensis,[ignore],POLYGONACEAE,
Peucedanum,Peucedanum,APIACEAE,
Phaulopsis,Phaulopsis-type,ACANTHACEAE,
Phillyrea,Phillyrea,OLEACEAE,
Phillyrea angustifolia,[ignore],OLEACEAE,
Phoenix,Phoenix,ARECACEAE,
Phoenix reclinata,Phoenix reclinata-type,ARECACEAE,
Phyllanthus,Phyllanthus-type,EUPHORBIACEAE,
Phyllanthus fraternus,Phyllanthus-type fraternus,EUPHORBIACEAE,
Phyllanthus (P. muellerianus),Phyllanthus-type muellerianus,EUPHORBIACEAE,
Phyllanthus (P. nummulariifolius),Phyllanthus-type nummulariifolius,EUPHORBIACEAE,
Phyllanthus (P. reticularus),Phyllanthus-type reticulatus,EUPHORBIACEAE,
Phyllanthus (P. rivae),Phyllanthus-type,EUPHORBIACEAE,
Phyllanthus amarus,Phyllanthus-type amarus,EUPHORBIACEAE,
Phyllanthus niruri,Phyllanthus-type fraternus,EUPHORBIACEAE,
Phyllanthus reticulatus,Phyllanthus-type reticulatus,EUPHORBIACEAE,
Phyllanthus rivae,Phyllanthus-type leucanthus,EUPHORBIACEAE,
Phytolaccaceae,Phytolaccaceae undiff.,PHYTOLACCACEAE,
Pilea (P. bambuseti),Pilea-type bambuseti,URTICACEAE,
Pilea bambuseti,Pilea-type bambuseti,URTICACEAE,
Pimpinella,Diplolophium/Pimpinella,APIACEAE,
Pinus,Pinus,PINACEAE,
Pinus halepensis,Pinus,PINACEAE,
Pistacia,Pistacia,ANACARDIACEAE,
Pistacia lentiscus,Pistacia lentiscus-type,ANACARDIACEAE,
Plantago,Plantago,PLANTAGINACEAE,
Plantago africana,Plantago africana-type,PLANTAGINACEAE,
Plantago coronopus,Plantago coronopus-type,PLANTAGINACEAE,
Plantago lanceolata,Plantago lanceolata-type,PLANTAGINACEAE,
Plantago major,[ignore],PLANTAGINACEAE,
Plantago major /media,[ignore],PLANTAGINACEAE,
Plantago pro parte,Plantago,PLANTAGINACEAE,
Plectranthus,Plectranthus-type,LAMIACEAE,
Plectranthus (P. otostegioides),Plectranthus-type,LAMIACEAE,
Plumbaginaceae,Plumbaginaceae undiff.,PLUMBAGINACEAE,
Poaceae,Poaceae undiff.,POACEAE,
Poaceae (<40 µm),Poaceae undiff.,POACEAE,
Poaceae (<50 µm),Poaceae undiff.,POACEAE,
Poaceae (>40 µm),Poaceae undiff.,POACEAE,
Poaceae (>50 µm),Poaceae undiff.,POACEAE,
Poaceae (Cerealia-type),Cerealia,POACEAE,
Podocarpus,Podocarpus,PODOCARPACEAE,
Polycarpaea,Polycarpaea-type,CARYOPHYLLACEAE,
Polycarpon,Polycarpon-type,CARYOPHYLLACEAE,
Polydora serratuloides,Polydora serratuloides-type,ASTERACEAE,
Polygala,Polygala-type,POLYGALACEAE,
Polygalaceae,Polygalaceae undiff.,POLYGALACEAE,
Polygonum aviculare,Polygonum aviculare-type,POLYGONACEAE,
Polyscias,Polyscias,ARALIACEAE,
Polyscias fulva,Polyscias fulva-type,ARALIACEAE,
Populus,Populus,SALICACEAE,
Portulaca,Portulaca-type,PORTULACACEAE,
Portulacaceae,Portulacaceae undiff.,PORTULACACEAE,
Poupartia,Poupartia-type,ANACARDIACEAE,
Pouteria,Pouteria-type,SAPOTACEAE,
Primulaceae,Primulaceae undiff.,PRIMULACEAE,
Priva,Priva,VERBENACEAE,
Prosopis/Entada,Entada/Prosopis,FABACEAE,
Protea,Protea-type,PROTEACEAE,
Proteaceae,Proteaceae undiff.,PROTEACEAE,
Protium obtusifolium,[ignore],BURSERACEAE,
Prunus,Prunus,ROSACEAE,
Prunus africana,Prunus africana-type,ROSACEAE,
Pseudospondias,Pseudospondias-type,ANACARDIACEAE,
Psidium cattleianum,[ignore],MYRTACEAE,
Psiloxylon mauritianum,[ignore],MYRTACEAE,
Psorospermum,Psorospermum,HYPERICACEAE,
Psydrax (P. subcordata),Psydrax-type subcordata,RUBIACEAE,
Psydrax schimperiana,Psydrax-type schimperiana,RUBIACEAE,
Psydrax subcordata,Psydrax-type subcordata,RUBIACEAE,
Ptaeroxylon,Ptaeroxylon obliquum ,RUTACEAE,
Pterygota,[ignore],MALVACEAE,
Pycnanthus,Pycnanthus,MYRISTICACEAE,
Quercus canariensis,Quercus,FAGACEAE,
Quercus cerris,[ignore],FAGACEAE,
Quercus Q. canariensis,Quercus,FAGACEAE,
Quercus rotundifolia ,Quercus,FAGACEAE,
Quercus coccifera,[ignore],FAGACEAE,
Quercus faginea,[ignore],FAGACEAE,
Quercus ilex,Quercus ilex-type,FAGACEAE,
Quercus suber,Quercus suber-type,FAGACEAE,
Randia,Rubiaceae undiff.,RUBIACEAE,
Ranunculaceae,Ranunculaceae undiff.,RANUNCULACEAE,
Ranunculus,Ranunculus-type,RANUNCULACEAE,
Rapanea,Rapanea,PRIMULACEAE,
Rapanea melanophloeos,Rapanea melanophloeos-type,PRIMULACEAE,
Ravenea,Ravenea-type,ARECACEAE,
Reseda,Reseda-type,RESEDACEAE,
Restio,Restio,RESTIONACEAE,
Restionaceae,Restionaceae undiff.,RESTIONACEAE,
Rhamnaceae,Rhamnaceae undiff.,RHAMNACEAE,
Rhamnus,Rhamnus-type,RHAMNACEAE,
Rhopalopilia,Rhopalopilia,OPILIACEAE,
Rhus,Rhus-type,ANACARDIACEAE,
Rhynchosia,Rhynchosia-type,FABACEAE,
Ricinus,Ricinus communis,EUPHORBIACEAE,
Ricinus communis,Ricinus communis,EUPHORBIACEAE,
Ritchiea,Ritchiea-type,CAPPARACEAE,
Rorippa insularis,[ignore],BRASSICACEAE,
Rosaceae,Rosaceae undiff.,ROSACEAE,
Rubia,Rubia-type,RUBIACEAE,
Rubiaceae,Rubiaceae undiff.,RUBIACEAE,
"Rubiaceae (Mauritius type 121, de Boer)",Rubiaceae undiff.,RUBIACEAE,
"Rubiaceae (Mauritius type 164, de Boer)",Rubiaceae undiff.,RUBIACEAE,
"Rubiaceae (Mauritius type 67, de Boer)",Rubiaceae undiff.,RUBIACEAE,
"Rubiaceae (Mauritius type 70, de Boer)",Rubiaceae undiff.,RUBIACEAE,
Rubus,Rubus,ROSACEAE,
Rubus pinnatus,Rubus pinnatus-type,ROSACEAE,
Ruellia,Ruellia,ACANTHACEAE,
Rumex,Rumex,POLYGONACEAE,
Ruschia,Ruschia,AIZOACEAE,
Ruscus,Ruscus-type,ASPARAGACEAE,
Rutaceae,Rutaceae undiff.,RUTACEAE,
Salacia,Salacia,CELASTRACEAE,
Salicaceae,Salicaceae undiff.,SALICACEAE,
Salicornia,Salicornia,AMARANTHACEAE,
Salix,Salix,SALICACEAE,
Salix subserrata,Salix subserrata-type,SALICACEAE,
Salvadora,Salvadora,SALVADORACEAE,
Sambucus,[ignore],VIBURNACEAE,
Santalaceae,Santalaceae undiff.,SANTALACEAE,
Santiria,Santiria-type,BURSERACEAE,
Sapindaceae,Sapindaceae undiff.,SAPINDACEAE,
Sapium,Euphorbiaceae undiff.,EUPHORBIACEAE,
Sapotaceae,Sapotaceae undiff.,SAPOTACEAE,
Satureja,[ignore],LAMIACEAE,
Sauvagesia erecta,Sauvagesia erecta,OCHNACEAE,
Saxifragaceae,Saxifragaceae undiff.,SAXIFRAGACEAE,
Scabiosa,Scabiosa-type,CAPRIFOLIACEAE,
Schefflera,Schefflera,ARALIACEAE,
Schefflera abyssinica,Schefflera abyssinica-type,ARALIACEAE,
Schefflera myriantha,Schefflera myriantha-type,ARALIACEAE,
Schrebera,Schrebera,OLEACEAE,
Scrophulariaceae,Scrophulariaceae undiff.,SCROPHULARIACEAE,
Searsia (S. natalensis),Searsia-type natalensis,ANACARDIACEAE,
Searsia (S. tripartita),Searsia-type tripartita,ANACARDIACEAE,
Sebaea,Sebaea,GENTIANACEAE,
Sebaea brachyphylla,Sebaea brachyphylla-type,GENTIANACEAE,
Securinega,Flueggea,EUPHORBIACEAE,
Securinega (S. virosa),Flueggea virosa-type,EUPHORBIACEAE,
Securinega virosa,Flueggea virosa-type,EUPHORBIACEAE,
Selago,Selago-type,SCROPHULARIACEAE,
Sericocomopsis,Sericocomopsis-type,AMARANTHACEAE,
Sericostachys (S. scandens),Sericostachys-type scandens,AMARANTHACEAE,
Sericostachys scandens,Sericostachys-type scandens,AMARANTHACEAE,
Seriphium kilimandscharicum,Seriphium kilimandscharica-type,ASTERACEAE,
Sesbania,Sesbania,FABACEAE,
Sesuvium,Sesuvium,AIZOACEAE,
Sherbournia,Sherbournia,RUBIACEAE,
Shirakiopsis (S. elliptica),[ignore],EUPHORBIACEAE,
Shirakiopsis elliptica,[ignore],EUPHORBIACEAE,
Sideroxylon,Sideroxylon-type,SAPOTACEAE,
Sideroxylon S. grandiflorum,Sideroxylon-type,SAPOTACEAE,
Sideroxylon S. sessiliflorum,Sideroxylon-type,SAPOTACEAE,
Silene (S. burchellii),Silene-type burchellii,CARYOPHYLLACEAE,
Silene burchellii,Silene-type burchellii,CARYOPHYLLACEAE,
Silene/Uebelinia,Silene-type,CARYOPHYLLACEAE,
Smilax,Smilax,SMILACACEAE,
Smithia elliotii,Smithia elliotii-type,FABACEAE,
Solanaceae,Solanaceae undiff.,SOLANACEAE,
Solanecio (S. mannii),Solanecio-type mannii,ASTERACEAE,
Solanecio mannii,Solanecio-type mannii,ASTERACEAE,
Solanum,Solanum-type,SOLANACEAE,
Solanum nigrum,Solanum-type,SOLANACEAE,
Sorindeia,Sorindeia-type,ANACARDIACEAE,
Spermacoce,Spermacoce-type,RUBIACEAE,
Spermacoce radiata,Spermacoce-type radiata,RUBIACEAE,
Sphenoclea,Sphenoclea,SPHENOCLEACEAE,
Stellaria mannii,Stellaria mannii-type,CARYOPHYLLACEAE,
Stemodia,Stemodia-type serrata,SCROPHULARIACEAE,
Stephania,Stephania-type,MENISPERMACEAE,
Stephania (S. abyssinica),Stephania-type,MENISPERMACEAE,
Stephania abyssinica,Stephania-type,MENISPERMACEAE,
Sterculia,Sterculia-type,MALVACEAE,
Malvaceae,Malvaceae undiff.,MALVACEAE,
Stereospermum,Stereospermum-type,BIGNONIACEAE,
Stoebe,Stoebe-type,ASTERACEAE,
Streptocarpus,[ignore],GESNERIACEAE,
Striga,Striga-type,SCROPHULARIACEAE,
Strombosia,Strombosia,OLACACEAE,
Strychnos,Strychnos,LOGANIACEAE,
Suaeda,Suaeda,AMARANTHACEAE,
Suaeda monoica,Suaeda monoica-type,AMARANTHACEAE,
Swertia,Swertia-type,GENTIANACEAE,
Swertia (S. abyssinica),Swertia usambarensis-type,GENTIANACEAE,
Swertia (S. kilimandscharica),Swertia-type kilimandscharica,GENTIANACEAE,
Swertia usambarensis,Swertia-type usambarensis,GENTIANACEAE,
Symphonia globulifera,Symphonia globulifera,CLUSIACEAE,
Syncolostemon bracteosus,Syncolostemon bracteosa-type,LAMIACEAE,
Syzygium,Syzygium-type,MYRTACEAE,
Talipariti tiliaceum,Talipariti tiliaceus-type,MALVACEAE,
Tamarindus,Tamarindus-type indica,FABACEAE,
Tamarindus indica,Tamarindus-type indica,FABACEAE,
Tamarix,Tamarix,TAMARICACEAE,
Tambourissa purpurea,[ignore],MONIMIACEAE,
Tapinanthus,Tapinanthus-type,LORANTHACEAE,
Tapura fischeri,Tapura fischeri-type,DICHAPETALACEAE,
Tarchonanthus,Tarchonanthus-type,ASTERACEAE,
Tarenna,Tarenna-type,RUBIACEAE,
Taxus baccata,Taxus baccata-type,TAXACEAE,
Teclea,Teclea-type,RUTACEAE,
Telephium,Telephium oligospermum,AIZOACEAE,
Terminalia,Terminalia-type,COMBRETACEAE,
Terminalia benzoin,Terminalia-type,COMBRETACEAE,
Tetracera,Tetracera,DILLENIACEAE,
Tetracera alnifolia,Tetracera alnifolia-type,DILLENIACEAE,
Tetradenia,[ignore],LAMIACEAE,
Tetrapleura tetraptera,Tetrapleura tetraptera-type,FABACEAE,
Tetrorchidium,Tetrorchidium,EUPHORBIACEAE,
Thecacoris,Thecacoris-type,EUPHORBIACEAE,
Thunbergia,Thunbergia,ACANTHACEAE,
Thymelaeaceae,Thymelaeaceae undiff.,THYMELAEACEAE,
Tiliacora,Tiliacora-type,MENISPERMACEAE,
Tiliacora funifera,Tiliacora-type,MENISPERMACEAE,
Tilioideae,[ignore],MALVACEAE,
Tinospora bakis,Tinospora bakis-type,MENISPERMACEAE,
Toddalia (T. asiatica),Toddalia asiatica,RUTACEAE,
Toddalia asiatica,Toddalia asiatica,RUTACEAE,
Torilis,Torilis arvensis,APIACEAE,
Treculia,Treculia,MORACEAE,
Trema,Trema-type orientalis,CANNABACEAE,
Trema (T. orientalis),Trema-type orientalis,CANNABACEAE,
Trema orientalis,Trema-type orientalis,CANNABACEAE,
Tribulus,Tribulus,ZYGOPHYLLACEAE,
Trichilia,Trichilia-type,MELIACEAE,
Trichocladus,Trichocladus,HAMAMELIDACEAE,
Trichoscypha,Trichoscypha-type,ANACARDIACEAE,
Trilepisium,Trilepisium-type madagascariensis,MORACEAE,
Trilepisium (T. madagascariense),Trilepisium-type madagascariensis,MORACEAE,
Trilepisium madagascariense,Trilepisium-type madagascariensis,MORACEAE,
Triumfetta,Triumfetta-type,MALVACEAE,
"Trochetia (Mauritius type 146, de Boer)",[ignore],MALVACEAE,
"Trochetia (Mauritius type 174, de Boer)",[ignore],MALVACEAE,
Uapaca,Uapaca,EUPHORBIACEAE,
Uapaca kirkiana,Uapaca kirkiana-type,EUPHORBIACEAE,
Uapaca nitida,Uapaca nitida-type,EUPHORBIACEAE,
Uebelinia (U. abyssinica),Uebelinia-type abyssinica,CARYOPHYLLACEAE,
Uebelinia abyssinica,Uebelinia-type abyssinica,CARYOPHYLLACEAE,
Ulmus,Ulmus,ULMACEAE,
Uncaria africana,Uncaria-type africana,RUBIACEAE,
Urgineeae,[ignore],ASPARAGACEAE,
Urtica,Urtica-type,URTICACEAE,
Urticaceae,Urticaceae undiff.,URTICACEAE,
Urticaceae/Moraceae,Urticaceae/Moraceae undiff.,URTICACEAE/MORACEAE,
Vahlia,Vahlia,VAHLIACEAE,
Valeriana,Valeriana,CAPRIFOLIACEAE,
Valerianoideae,[ignore],CAPRIFOLIACEAE,
Vangueria (V. madagascariensis var. madagascariensis),Vangueria-type madagascariensis,RUBIACEAE,
Vangueria madagascariensis,Vangueria-type madagascariensis,RUBIACEAE,
Vepris,Vepris-type,RUTACEAE,
Vepris (V. nobilis),Vepris-type nobilis,RUTACEAE,
Verbenaceae,Verbenaceae undiff.,VERBENACEAE,
Vernonia,Vernonia-type,ASTERACEAE,
Vernonieae,Vernonieae undiff.,ASTERACEAE,
Viburnum,[ignore],VIBURNACEAE,
Vicia,Vicia-type,FABACEAE,
Vigna luteola,Vigna-type luteola,FABACEAE,
Virectaria,Virectaria,RUBIACEAE,
Vismia,Vismia,HYPERICACEAE,
Vitaceae,Vitaceae undiff.,VITACEAE,
Vitellaria,Vitellaria-type,SAPOTACEAE,
Vitellaria paradoxa,Vitellaria-type paradoxa,SAPOTACEAE,
Vitex,Vitex-type,VERBENACEAE,
Vitex doniana,Vitex-type doniana,VERBENACEAE,
Vitis,Vitex-type grandifolia,VITACEAE,
Wahlenbergia,Wahlenbergia-type,CAMPANULACEAE,
Weinmannia,[ignore],CUNONIACEAE,
Withania,[ignore],SOLANACEAE,
Xerophyta,Xerophyta,VELLOZIACEAE,
Ximenia,Ximenia,OLACACEAE,
Xymalos,Xymalos,MONIMIACEAE,
Xyris,Xyris,XYRIDACEAE,
Zanha,Zanha,SAPINDACEAE,
Zanha golungensis,Zanha golungensis-type,SAPINDACEAE,
Zanthoxylum,Zanthoxylum-type,RUTACEAE,
Zanthoxylum (Z. gilletii),Zanthoxylum-type gilletii,RUTACEAE,
Zanthoxylum (Z. usambarense),Zanthoxylum-type usambarense,RUTACEAE,
Zanthoxylum chalybeum,Zanthoxylum-type chalybeum,RUTACEAE,
Zanthoxylum usambarense,Zanthoxylum-type usambarense,RUTACEAE,
Zanthoxylum zanthoxyloides,Zanthoxylum-type zanthoxyloides,RUTACEAE,
Ziziphus,Ziziphus-type,RHAMNACEAE,
Zygophyllaceae,Zygophyllaceae undiff.,ZYGOPHYLLACEAE,
Zygophyllum,Zygophyllum,ZYGOPHYLLACEAE,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,Rhus-type natalensis
,,,Rhus-type tripartita
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,Hibiscus tiliaceus-type
