"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Azolla/Salvinia","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentianaceae undif.","Geraniaceae undif.","Haplophyllum","Hedera","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Juglans","Juncaginaceae","Lamiaceae undif.","Leontice","Ligustrum","Lonicera","Loranthus","Lotus t.","Lythrum","Matthiola","Mercurialis","Monactinus simplex (type clathratum)","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Pseudopediastrum kawraiskyi","Psoralea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Searsia","Selaginella selaginoides","Solanum","Sparganium","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valeriana t.","Valerianella","Vitis","Ziziphus/Paliurus"
"28450",NA,NA,"  400","    1","    1","    0","    1","    4","  166","    0","    6","   21","   91","    0","   17","    0","    0","    6","    0","   14","    0","    0","    0","    0","    0","    0","    0","   15","    4","   20","    1","    0","    0","    0","    0","   12","   47","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    3","   14","    0","    0","    0","    0","    0","    0","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","   37","    0","    1","    1","    0","   90","    8","   11","    1","    2","    0","    0","    0","    0","  171","   26","    1","    0","    1","    0","    0","    2","    3","    0","    0","    0","    0","    0","    0","    0","    5","    1","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0"
"29138",NA,NA,"  410","    3","    0","    0","    0","    4","  132","    0","    8","    8","   78","    0","   13","    0","    0","    1","    0","    8","    0","    0","    0","    0","    1","    1","    0","   30","    2","   21","    0","    0","    0","    0","    0","   10","   43","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    3","    0","    1","    1","   14","    0","    0","    0","    0","    0","    0","    7","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   74","    0","    1","    3","    0","  103","    9","   10","    0","    0","    0","    0","    0","    0","  231","    4","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    1","    0"
"29826",NA,NA,"  420","    0","    3","    0","    1","    4","  145","    0","    6","   18","  104","    0","   25","    0","    0","    3","    0","   23","    0","    0","    0","    0","    0","    2","    0","   25","    4","   24","    0","    0","    0","    0","    0","   12","   50","    0","    0","    0","    7","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    5","   11","    0","    0","    0","    0","    0","    0","   20","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    1","    1","    0","   49","    4","    2","    7","    1","  100","    2","    1","    0","    2","    1","    0","    0","    0","  335","    4","    1","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    3","    2","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0"
"30514",NA,NA,"  430","    0","    0","    0","    0","    2","  166","    0","   12","   22","   98","    0","   18","    0","    0","    3","    0","   12","    0","    0","    0","    1","    0","    1","    0","    9","    9","   13","    0","    0","    0","    0","    0","    6","   45","    1","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    5","    9","    0","    0","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    1","    0","    0","    0","   43","    0","    2","    1","    0","   98","    1","    8","    1","    2","    0","    0","    0","    0","  236","   18","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    2","    0","    0","    0","    4","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"31546",NA,NA,"  445","    3","    0","    0","    2","    7","  598","    0","   18","   45","  289","    0","   50","    0","    1","    6","    0","   39","    0","    0","    0","    3","    0","    2","    0","   31","   14","   39","    0","    0","    0","    0","    0","   11","  127","    1","    0","    0","   15","    0","    0","    0","    4","    0","    0","    0","    3","    0","    0","    3","   23","    0","    0","    0","    0","    0","    0","   37","    0","    0","    5","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    1","    0","    0","    0","    3","    0","    0","    0","    2","    0","   50","    8","    4","    2","    0","  182","   17","   35","    1","    0","    0","    0","    0","    0","  566","   24","    3","    0","    0","    0","    0","    5","   12","    0","    0","    0","    1","    0","    0","    0","    8","    3","    1","    1","    0","    0","    0","    0","    1","    1","    0","    0","    1","    3","    0"
"32578",NA,NA,"  460","    0","    0","    0","    0","    0","  212","    0","    5","   13","   54","    0","   23","    0","    0","    5","    0","    9","    0","    0","    0","    0","    0","    0","    0","   13","    4","   15","    1","    0","    0","    0","    0","   30","   22","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","   10","   11","    0","    0","    0","    0","    0","    0","    9","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   25","    2","    2","    1","    0","   99","    8","   10","    1","    0","    0","    0","    0","    0","  247","   18","    2","    0","    2","    0","    0","    3","    6","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    5","    0"
"33266",NA,NA,"  470","    0","    1","    0","    1","    2","  290","    0","    6","   21","   79","    0","   22","    0","    2","    2","    1","    9","    0","    0","    0","    1","    0","    2","    0","   18","   10","   13","    0","    0","    0","    0","    0","   15","   49","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    3","   14","    0","    0","    0","    0","    0","    0","   10","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    2","    1","   34","    0","    1","    3","    0","   92","    6","   27","    0","    0","    1","    0","    0","    0","  180","   14","    1","    0","    0","    0","    0","    0","    7","    0","    2","    0","    0","    0","    0","    0","    4","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0"
"33954",NA,NA,"  480","    0","    0","    0","    0","    7","  394","    0","    2","   24","  131","    0","   30","    0","    0","    1","    0","   18","    0","    0","    0","    3","    0","    2","    0","   11","    7","   14","    0","    0","    0","    0","    0","   10","   39","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    1","   17","    0","    0","    0","    0","    0","    1","   11","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    5","    0","    0","    1","   22","    2","    2","    0","    0","   80","    2","   18","    1","    1","    0","    0","    0","    0","  132","    6","    2","    0","    0","    0","    0","    1","    8","    0","    0","    0","    0","    0","    0","    0","   12","    0","    0","    3","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0"
"35192",NA,NA,"  498","    1","    1","    0","    3","    3","  303","    0","    5","   18","   69","    0","   28","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    2","    1","   11","    7","   38","    1","    0","    0","    0","    0","   11","   55","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    6","   10","    0","    0","    0","    0","    0","    0","    6","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   20","    2","    2","    2","    0","   93","    9","   21","    3","    0","    0","    0","    0","    0","  140","    3","    0","    0","    0","    0","    1","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"36706",NA,NA,"  520","    0","    1","    0","    0","    2","  180","    0","    1","   13","  110","    0","   26","    0","    0","    3","    0","   14","    0","    0","    0","    3","    0","    2","    0","   14","    9","   26","    0","    1","    0","    0","    0","   18","   43","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    1","    8","    0","    0","    0","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","   47","    1","    5","    1","    0","  114","    5","    4","    0","    1","    0","    0","    0","    0","  141","    3","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"37394",NA,NA,"  530","    1","    0","    0","    2","    0","   70","    0","    3","   11","  133","    0","   12","    0","    0","    8","    1","    8","    0","    0","    0","    0","    0","    1","    0","   18","    6","   14","    0","    0","    0","    0","    0","   20","   27","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    4","   16","    0","    0","    0","    0","    0","    0","   12","    0","    1","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    1","    0","    1","    1","   41","    0","    3","    2","    0","  174","    6","    2","    1","    2","    0","    0","    0","    0","  271","    8","    3","    0","    0","    0","    0","    2","    1","    0","    1","    0","    0","    0","    0","    0","    9","    0","    1","    1","    0","    1","    0","    1","    1","    2","    0","    0","    0","    0","    0"
"38082",NA,NA,"  540","    0","    0","    0","    1","    2","   97","    0","   11","    6","   67","    0","   13","    0","    0","    3","    0","    4","    0","    0","    0","    0","    0","    1","    0","   37","    3","   15","    1","    0","    0","    0","    0","   17","   44","    0","    0","    0","    8","    0","    0","    1","    0","    0","    0","    0","    2","    0","    1","    1","    5","    0","    0","    0","    0","    2","    1","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","  113","    1","    5","    4","    0","   99","    6","    0","    0","    0","    1","    1","    0","    0","  243","    4","    2","    0","    0","    0","    1","    2","    4","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    1","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0"
"38770",NA,NA,"  550","    2","    0","    0","    0","    1","   86","    0","    6","    7","   51","    0","   10","    0","    0","    4","    0","    7","    0","    0","    0","    0","    0","    0","    0","   14","    0","   11","    0","    0","    0","    0","    0","   79","   34","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    2","    7","    0","    0","    0","    0","    0","    0","    3","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","  110","    1","    6","    2","    0","  119","    3","    1","    0","    0","    0","    0","    0","    0","  204","   10","    4","    0","    0","    0","    0","    0","    1","    0","    0","    1","    1","    0","    0","    0","    6","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0"
"39802",NA,NA,"  565","    3","    1","    0","    0","    3","  335","    0","   13","   28","  222","    0","   41","    0","    0","    9","    0","   39","    0","    0","    0","    1","    0","    2","    0","   39","   11","   35","    0","    0","    0","    0","    0","  135","  112","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","   22","    0","    0","    0","    0","    0","    0","   27","    0","    1","    3","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    4","    0","    1","    0","    6","    0","    1","    0","    2","    1","   58","    4","    7","    5","    1","  202","    7","    6","    0","    0","    0","    0","    0","    0","  447","   26","    5","    0","    0","    0","    0","    4","    7","    0","    0","    0","    0","    0","    0","    0","   27","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    7","    0"
"41178",NA,NA,"  585","    1","    3","    0","    0","    2","  228","    0","    9","   19","  152","    0","   21","    0","    0","    2","    0","   11","    0","    0","    0","    3","    0","    1","    0","   14","    6","   22","    0","    0","    0","    0","    0","   50","   56","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    1","   12","    0","    0","    0","    0","    0","    0","   19","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    3","    0","    0","    2","    2","    0","    0","    0","    2","    0","   42","    5","    5","    3","    0","  115","    3","   11","    0","    0","    0","    0","    0","    0","  308","    8","    4","    0","    1","    0","    1","    1","    3","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    5","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0"
"42348",NA,NA,"  602","    0","    1","    0","    0","    0","  145","    0","    7","   16","  116","    0","   10","    0","    0","    2","    0","   12","    0","    0","    0","    2","    0","    1","    0","    8","    4","   23","    1","    0","    0","    0","    0","   15","   32","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    4","    7","    0","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    1","    0","    1","    0","    0","    0","    1","    0","   43","    1","    5","    1","    0","  113","    2","    1","    0","    0","    0","    0","    0","    0","  261","    1","    1","    0","    0","    0","    0","    4","    3","    0","    0","    0","    1","    0","    0","    0","    9","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0"
"43586",NA,NA,"  620","    0","    0","    0","    0","    4","  159","    0","   10","   16","   82","    0","   19","    0","    1","    5","    0","   14","    0","    0","    0","    0","    0","    0","    1","   11","   13","   13","    0","    0","    0","    0","    0","   52","   55","    0","    1","    0","    3","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    5","   12","    0","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    1","    0","    1","    2","   10","    2","    2","    1","    0","   90","    4","    1","    0","    0","    0","    0","    0","    0","  217","    4","    2","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    1","    0"
"44274",NA,NA,"  630","    0","    0","    0","    2","    1","  296","    0","   10","   19","  208","    1","   16","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    2","    0","    7","    4","   20","    0","    0","    0","    0","    0","    4","   45","    0","    1","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    2","   11","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","   23","    1","    0","    1","    0","  125","    6","   26","    0","    1","    0","    0","    0","    0","  181","    3","    4","    0","    0","    0","    1","    0","    4","    0","    1","    0","    0","    0","    0","    1","   10","    0","    0","    6","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0"
"44962",NA,NA,"  640","    0","    0","    0","    4","    1","  245","    0","    3","   18","  130","    0","   23","    0","    0","    6","    1","    4","    0","    0","    0","    0","    0","    2","    0","    4","    3","   10","    0","    1","    0","    0","    0","    8","   25","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    8","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","   28","    1","    0","    2","    0","   71","    3","    9","    0","    0","    0","    0","    0","    0","  149","    1","    3","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0"
"45650",NA,NA,"  650","    0","    1","    0","    0","    1","  242","    0","    7","   16","  142","    0","   10","    0","    0","    1","    0","    8","    1","    1","    0","    0","    0","    0","    0","   23","    5","    8","    0","    0","    0","    0","    0","    6","   32","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   11","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    1","    1","   33","    2","    0","    1","    0","  123","    7","   11","    0","    0","    0","    0","    0","    0","  195","    2","    1","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"46200",NA,NA,"  658","    1","    1","    0","    1","    2","  168","    0","    3","    8","  102","    0","    5","    0","    1","   12","    0","   11","    0","    0","    0","    0","    0","    1","    0","   44","    1","    9","    0","    0","    0","    0","    0","   25","   30","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    9","    8","    0","    0","    0","    1","    0","    0","   10","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    5","    0","    4","    0","    2","    0","   77","    2","    4","   10","    0","  111","    1","    2","    0","    0","    0","    0","    0","    0","  391","   10","    2","    0","    0","    0","    0","    2","    5","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    1","    0"
"47852",NA,NA,"  682","    2","    0","    0","    1","    2","  256","    0","   18","   22","  164","    0","   18","    0","    0","    7","    0","   18","    0","    0","    1","    0","    0","    3","    0","   45","   18","   21","    0","    0","    0","    0","    0","   36","   33","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    3","    0","    0","    4","    7","    0","    0","    0","    0","    0","    0","   18","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    5","    0","   58","    6","    5","    5","    0","  162","    2","   10","    1","    0","    0","    0","    0","    0","  462","   16","    4","    0","    0","    0","    2","    1","    8","    1","    0","    0","    1","    0","    0","    0","   12","    1","    1","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0"
"49228",NA,NA,"  702","    0","    1","    0","    0","    0","   59","    0","    2","    6","   68","    0","    4","    0","    1","    4","    0","   12","    0","    0","    0","    1","    0","    1","    0","   27","    1","    6","    0","    0","    0","    0","    0","   12","   21","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    6","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   62","    0","    2","    3","    0","   80","    2","    0","    0","    0","    1","    0","    0","    0","  296","    1","    1","    0","    0","    0","    0","    0","    9","    0","    0","    0","    1","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0"
"50466",NA,NA,"  720","    0","    0","    0","    0","    1","   65","    0","    3","    9","   95","    0","    7","    0","    0","    7","    0","    8","    0","    0","    0","    0","    0","    1","    1","   15","    1","    5","    0","    0","    0","    0","    0","   14","   38","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    2","   11","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    1","    0","   64","    0","    3","    4","    1","   99","    0","    1","    0","    0","    0","    0","    0","    0","  226","    3","    1","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0"
"51842",NA,NA,"  740","    0","    0","    0","    0","    0","   83","    0","    5","    5","   69","    0","   13","    0","    0","    7","    0","   13","    0","    0","    0","    0","    0","    0","    2","   19","    1","    4","    0","    0","    0","    0","    0","   34","   32","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    3","    8","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    1","    0","    0","    0","   28","    0","   10","    2","    0","  105","    1","    1","    0","    0","    0","    0","    0","    0","  188","    0","    2","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0"
"53218",NA,NA,"  760","    0","    1","    0","    0","    1","   55","    0","    4","   11","   91","    0","    9","    0","    1","   12","    0","    6","    0","    0","    0","    0","    0","    1","    1","   19","    4","    6","    0","    0","    0","    0","    0","   24","   39","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    3","    6","    0","    0","    0","    0","    0","    0","    6","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","   77","    0","    4","    3","    0","  119","    6","    0","    0","    0","    0","    0","    0","    0","  250","   10","    0","    0","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    1","    0"
"54938",NA,NA,"  785","    2","    0","    0","    0","    2","  187","    0","   16","   16","  160","    0","   30","    0","    0","   23","    0","   26","    0","    0","    1","    0","    0","    6","    1","   37","   13","   26","    0","    0","    0","    0","    0","   76","  165","    0","    0","    0","    3","    0","    0","    0","    2","    0","    0","    0","    3","    0","    1","    5","   19","    0","    0","    0","    0","    0","    0","    6","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    5","    1","  105","    1","   19","    2","    0","  235","   13","    2","    0","    2","    0","    0","    1","    0","  496","   17","    6","    0","    0","    0","    0","    5","    2","    0","    3","    0","    1","    0","    0","    0","   22","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    3","    0"
"56108",NA,NA,"  802","    0","    0","    0","    1","    0","  114","    0","    4","   19","  133","    0","   13","    0","    1","   19","    1","   17","    0","    0","    0","    0","    0","    2","    0","   15","    6","    7","    0","    0","    0","    0","    0","  101","   50","    0","    0","    0","    3","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    5","   17","    0","    0","    0","    0","    0","    0","   13","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    6","    0","    2","    0","    2","    0","   36","    1","    6","    8","    0","  209","    2","    4","    0","    0","    0","    0","    0","    0","  281","   11","   16","    0","    0","    0","    0","    3","    3","    0","    1","    0","    0","    0","    0","    0","   17","    0","    0","    2","    0","    0","    0","    1","    1","    2","    0","    0","    0","    4","    0"
"57346",NA,NA,"  820","    0","    0","    0","    2","    1","  204","    0","    3","   16","  122","    0","   16","    0","    2","   10","    0","   10","    0","    0","    0","    0","    0","    2","    0","   38","    2","    6","    0","    0","    0","    0","    0","   40","   32","    0","    1","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    7","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    2","    0","    1","    0","    1","    1","   24","    2","    0","    2","    0","   98","    6","    0","    0","    0","    0","    0","    0","    0","  184","   34","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    1","    2","    0","    0","    0","    0"
"58653",NA,NA,"  839","    0","    0","    0","    0","    1","  128","    0","    3","    8","  109","    0","    7","    0","    0","    5","    0","   12","    0","    0","    0","    0","    0","    1","    0","   56","    1","   10","    0","    0","    0","    0","    0","   15","   29","    1","    0","    0","    7","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    2","    6","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   35","    1","    3","    3","    0","   91","    6","    3","    0","    0","    0","    0","    0","    0","  204","    3","    0","    0","    0","    1","    0","    4","    6","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    5","    0","    0","    0","    0","    2","    0","    0","    0","    0","    5","    0"
"59410",NA,NA,"  850","    0","    0","    0","    0","    2","   56","    0","   10","   10","   78","    2","   13","    0","    0","    2","    0","    4","    0","    0","    0","    0","    0","    3","    0","   15","    2","   11","    0","    0","    0","    0","    0","    6","   24","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","   13","    0","    0","    0","    0","    0","    1","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","    0","    0","    0","    0","   80","    3","    1","    6","    0","  160","    3","    3","    0","    0","    0","    0","    0","    0","  326","    5","    2","    0","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","   13","    0","    0","    1","    0","    1","    0","    2","    0","    1","    0","    0","    0","    0","    0"
"60373",NA,NA,"  864","    0","    0","    0","    2","    1","   51","    0","    9","   22","  154","    0","   21","    0","    0","   27","    0","    4","    0","    0","    0","    0","    1","    3","    0","   17","    6","    8","    0","    1","    0","    0","    0","   10","   41","    0","    0","    0","    2","    0","    0","    0","   16","    0","    0","    0","    0","    0","    0","    7","   22","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    2","    2","  107","    3","    7","   14","    0","  281","    5","    1","    1","    0","    0","    0","    0","    0","  636","   36","   19","    0","    0","    0","    0","    4","   24","    0","    0","    0","    2","    0","    0","    0","   42","    0","    0","    2","    1","    0","    0","    0","    0","    8","    0","    0","    1","    4","    0"
"61474",NA,NA,"  880","    0","    0","    0","    3","    2","   43","    0","    4","   21","   16","    0","   12","    0","    0","   15","    0","   22","    0","    0","    0","    0","    0","    2","    2","    4","    4","   18","    0","    0","    0","    0","    0","    7","   26","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    3","    0","    0","    1","    8","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   27","    0","    1","    1","    3","    0","    1","    0","    0","    0","  219","   10","   17","   11","    0","  208","    5","    0","    0","    1","    0","    3","    0","    0","  321","   15","  379","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","   50","    1","    0","    1","    0","    0","    0","    2","    0","    8","    1","    0","    0","   11","    0"
