"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Araceae","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Callitriche","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Elaeagnus","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Geranium","Gossypium","Haplophyllum","HippophaÃ«","Hydrocotyle","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lysimachia","Malva","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nuphar","Olea t.","Onagraceae","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prosopis t.","Pseudopediastrum kawraiskyi","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Roemeria","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valeriana t.","Valerianella","Vitex","Vitis","cf. Equisetum","cf. Lycopodium clavatum"
"15736","16155","15374","  490","   24","    0","    0","    0","    0","    3","  110","   11","    0","    0","    0","  136","    0","    5","    5","    0","    0","    4","    0","    0","    0","    0","    0","    1","    3","    3","    0","  532","   13","    4","    2","    0","    0","    1","    0","    6","    1","    0","    0","    3","    1","    0","    3","    0","    0","    1","    2","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   91","    5","    1","   68","   20","    4","    0","    0","    0","    0","    0","    0","   15","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    2","    0","    1","    1","    3","    2","    2","    0","    0","    0","    0","    0","    0","    0"
"16567","17027","16172","  500","    8","    0","    0","    0","    0","    0","   48","    3","    0","    4","    0","   63","    0","    6","    3","    0","    0","    0","    0","    0","    0","    0","    0","    2","    2","    1","    0","  178","    8","    9","    1","    0","    0","    2","    0","    9","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    3","  125","    1","    0","   38","    5","    1","    0","    0","    0","    0","    0","    0","   14","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"17398","17899","16969","  510","    5","    3","    0","    0","    1","    3","  119","   20","    0","    2","    0","  432","    0","   11","   10","    0","    0","    0","    1","    0","    0","    0","    0","    4","    3","    7","    0","  228","   15","    4","    6","    0","    0","    1","    1","   21","    2","    0","    0","    4","    2","    0","    1","    2","    0","    0","    2","    1","    0","    0","    6","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    1","   23","    0","    0","    0","    0","    1","    0","    1","  163","   14","    0","  126","   19","    3","    0","    0","    0","    0","    0","    0","   37","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   15","    0","    0","    0","    2","    0","    3","    0","    0","    0","    0","    0","    0","    0"
"18229","18772","17766","  520","   10","    3","    0","    0","    0","    1","  210","   16","    0","    5","    1","  122","    0","   48","   16","    1","    1","    1","    1","    0","    0","    0","    0","    5","    4","   10","    0","  125","   96","  110","    2","    1","    0","    0","    1","   25","    1","    1","    0","    1","    0","    0","    0","    0","    0","    1","    3","    0","    0","    1","    3","    0","    0","    0","    4","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    3","    2","  133","    5","    0","   38","   11","    4","    0","    0","    2","    0","    0","    0","   76","    5","    0","    0","    3","    1","    0","    3","    0","    1","    0","    5","    0","    0","    0","    2","    0","    0","    0","    5","    8","    1","    0","    0","    0","    0","    1","    0","    0"
"18645","19207","18163","  525","    3","    0","    0","    0","    4","    1","  283","    8","    0","   12","    0","  150","    0","   41","    1","    0","    0","    0","    0","    0","    0","    0","    0","   15","    0","    2","    0","  143","  219","  176","    1","    0","    0","    0","    0","   20","    3","    0","    0","    3","    0","    0","    3","    0","    0","    0","    3","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","  240","    1","    1","   44","   15","    8","    0","    0","    0","    0","    0","    0","    6","   18","    0","    0","    0","    0","    0","    4","    0","    0","    0","    4","    0","    0","    0","    2","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0"
"19060","19643","18561","  530","   10","    0","    0","    0","    1","    1","   87","   24","    0","    4","    0","  402","    0","   15","   14","    0","    0","    1","    3","    0","    0","    1","    0","    2","    6","    7","    0","  197","   22","    8","   14","    0","    0","    0","    1","   31","    1","    0","    0","    6","    1","    0","    1","    2","    0","    0","    1","    0","    0","    0","    8","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  223","   17","    3","  137","   17","    3","    0","    0","    0","    0","    0","    0","   25","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","   10","    1","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"19476","20080","18960","  535","   15","    0","    0","    0","    0","    2","  164","   33","    0","    9","    0","  614","    0","   24","   12","    0","    0","    3","    0","    0","    0","    0","    0","    3","    8","    8","    0","  400","   15","    9","   12","    0","    0","    0","    0","   36","    3","    0","    0","    7","    0","    0","    3","    0","    1","    0","    1","    0","    1","    0","    4","    0","    0","    0","    6","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    1","    0","    0","  142","    5","    1","  151","   17","    4","    0","    1","    0","    0","    0","    0","   39","    3","    0","    0","    0","    0","    0","    0","    0","    2","    0","    6","    0","    0","    0","   15","    0","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"19891","20516","19358","  540","    9","    1","    1","    0","    0","    2","   67","   17","    0","    3","    0","  277","    0","   10","    8","    0","    0","    1","    1","    0","    0","    1","    0","    4","    5","    4","    0","  197","    6","    6","    5","    0","    0","    1","    1","   17","    1","    0","    0","    3","    0","    0","    0","    0","    0","    0","    3","    0","    1","    0","    9","    0","    0","    0","    2","    1","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","  148","    3","    1","  122","   24","    3","    0","    0","    0","    0","    0","    0","   15","    2","    0","    0","    0","    0","    0","    0","    3","    0","    0","    2","    0","    0","    0","    7","    0","    0","    0","    4","    2","    0","    0","    1","    0","    0","    0","    0","    0"
"20307","20953","19756","  545","   13","    0","    0","    0","    2","    3","  218","   44","    0","    6","    0","  600","    0","   33","   26","    0","    0","    2","    0","    0","    0","    0","    0","    7","   10","   12","    0","  363","   27","   18","    6","    0","    0","    1","    0","   49","    0","    0","    0","    6","    0","    0","    2","    0","    0","    0","    2","    0","    0","    0","   13","    0","    0","    0","    6","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","  146","   16","    0","  198","   50","    5","    0","    0","    0","    0","    0","    0","   62","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","   15","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"20722","21389","20154","  550","    3","    1","    0","    0","    0","    2","  116","   21","    0","    2","    0","  447","    0","   21","   17","    0","    0","    1","    0","    0","    0","    0","    0","    2","    2","    8","    0","   94","   23","    6","    7","    0","    0","    0","    0","    5","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","    4","    1","    0","    0","    7","    1","    0","    0","    7","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    2","   56","    6","    0","   97","   26","    8","    0","    0","    0","    0","    0","    0","   56","    2","    0","    0","    1","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    7","    0","    0","    0","    2","    0","    4","    0","    0","    0","    0","    0","    0","    0"
"21138","21825","20552","  555","   21","    0","    0","    0","    3","    2","  154","   66","    0","    7","    0","  907","    0","   38","   22","    0","    0","    1","    3","    0","    0","    0","    0","    6","   14","    8","    0","  375","   32","   20","   19","    0","    0","    3","    0","   33","    4","    0","    0","    7","    0","    0","    4","    0","    0","    0","    1","    2","    0","    0","   14","    0","    0","    0","   22","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","  152","   17","    4","  255","   44","    3","    0","    1","    0","    0","    0","    0","   98","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    1","    0","    0","    0","   21","    0","    0","    0","    3","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"21553","22262","20950","  560","   14","    1","    0","    0","    0","    6","  141","   33","    0","   10","    0","  628","    0","   31","   17","    0","    1","    2","    0","    0","    0","    5","    0","    1","    2","   10","    0","  188","   23","   17","   16","    0","    0","    0","    0","   94","    0","    0","    0","    5","    1","    0","    0","    1","    0","    0","    2","    1","    0","    0","    1","    1","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","   34","    0","    0","   98","   26","    0","  162","   92","    0","    0","    0","    0","    0","    1","    0","   57","    1","    0","    0","    0","    0","    0","    1","    0","    1","    0","    1","    0","    0","    0","   10","    0","    0","    1","   15","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"21969","22698","21348","  565","   13","    0","    0","    0","    0","    1","  145","   35","    0","   15","    0","  631","    0","   34","   18","    0","    0","    7","    2","    0","    0","    1","    0","   10","    7","   13","    0","  285","   35","   14","   15","    0","    0","    3","    0","   35","    0","    0","    0","    9","    0","    0","    3","    2","    0","    0","    2","    1","    0","    0","   18","    0","    0","    0","    7","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    5","    0","    0","  115","   22","    2","  305","   42","    5","    0","    3","    0","    0","    0","    0","   69","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","   14","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"22384","23136","21746","  570","    6","    0","    0","    0","    0","    1","  265","   18","    0","    5","    0","  676","    0","    6","   24","    0","    0","    1","    0","    1","    0","    3","    0","    1","    3","    8","    0","  112","   11","    5","    6","    0","    0","    0","    0","   11","    1","    0","    0","    4","    0","    0","    1","    1","    0","    0","    3","    0","    1","    0","    8","    0","    0","    0","    1","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","   67","   14","    0","  163","   29","    3","    0","    2","    0","    0","    0","    0","   17","   37","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    9","    0","    0","    0","    3","    4","    0","    0","    0","    0","    0","    0","    0","    1"
"23215","24014","22541","  580","    4","    0","    0","    0","    0","    0","  166","   22","    0","    6","    0","  430","    0","    9","   10","    0","    0","    3","    0","    0","    0","    0","    0","    6","    2","    6","    0","   77","    9","    8","    4","    0","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    3","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    3","   56","   11","    0","  134","   30","    3","    0","    0","    0","    0","    0","    0","   17","    9","    0","    0","    0","    2","    0","    1","    0","    0","    0","    5","    0","    0","    0","    5","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0"
"24046","24890","23336","  590","    8","    0","    0","    0","    0","    1","  134","   28","    0","    7","    0","  528","    1","   14","    6","    0","    0","    0","    0","    0","    0","    0","    0","    6","    6","    5","    0","  101","   13","   11","    6","    1","    0","    2","    0","    5","    1","    0","    0","    3","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    4","    1","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","   75","   17","    0","  146","   30","    4","    0","    0","    0","    0","    0","    0","   13","    1","    0","    0","    1","    0","    0","    0","    0","    1","    0","    4","    0","    0","    0","    4","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0"
"24877","25763","24132","  600","    4","    2","    1","    1","    2","    1","  285","   52","    0","    6","    0","  968","    0","   34","    4","    0","    0","    4","    0","    1","    0","    0","    0","    0","    2","    8","    0","   56","   17","   15","    7","    0","    0","    1","    1","   26","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    1","    0","    0","   10","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    1","    0","    0","   47","   21","    0","  156","   19","    3","    0","    2","    0","    0","    0","    0","   26","    4","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    1","    0","   10","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0"
