"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Fern","Filipendula t.","Fraxinus","Gentianaceae undif.","HippophaÃ«","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lythrum","Mercurialis","Myriophyllum undif.","Olea t.","Onagraceae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Taxus","Thalictrum","Thymelaeaceae undif.","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"16270",NA,NA,"  500","    0","    0","    0","   35","    1","    0","    0","   60","    0","    1","    2","    2","    0","    0","    1","    0","    0","    2","    0","    3","  210","    1","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","  125","    0","    4","    0","    0","   46","    0","    0","    0","    0","    0","    5","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0"
"16878",NA,NA,"  510","    0","    0","    0","   38","    1","    0","    0","   50","    0","    2","    0","    3","    0","    0","    0","    0","    0","    1","    0","    1","  200","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   95","    0","    0","    0","    0","   30","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0"
"17548",NA,NA,"  520","    0","    0","    0","    4","    0","    0","    0","   30","    0","    1","    1","    1","    0","    0","    1","    0","    1","    2","    0","    7","  275","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   89","    0","    0","    0","    0","   40","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    3","    0","    0","    0","    0","    0"
"18248",NA,NA,"  530","    0","    0","    0","    3","    0","    0","    0","   27","    0","    1","    0","    3","    0","    1","    1","    0","    0","    2","    0","    5","   27","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   72","    0","    2","    0","    0","   24","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","   55","    0","    0","    0","    0","    0"
"18946",NA,NA,"  540","    0","    0","    0","    0","    1","    0","    0","   22","    0","    4","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  147","    0","    0","    0","    0","    4","    1","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"19628",NA,NA,"  550","    0","    0","    1","   15","    1","    0","    0","   62","    0","    2","    0","    0","    0","    1","    1","    0","    1","    0","    0","    3","   31","    1","    2","    2","    0","    0","    0","    0","    1","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  187","    0","    0","    0","    0","   18","    0","    0","    0","    0","    0","    6","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"20282",NA,NA,"  560","    0","    0","    0","    8","    0","    0","    0","   53","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    1","    1","    5","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","  101","    0","    2","    0","    0","   20","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0"
"20894",NA,NA,"  570","    0","    0","    1","   12","    0","    0","    1","   96","    0","    9","    1","    2","    0","    0","    0","    0","    0","    8","    0","    0","   30","    0","    3","    2","    0","    0","    0","    1","    0","    0","    0","    0","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","  371","    0","    5","    0","    0","   42","    0","    0","    0","    0","    0","   11","   10","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0"
"21946",NA,NA,"  590","    0","    0","    2","   11","    0","    0","    0","   70","    0","    8","    0","    1","    0","    1","    0","    0","    1","    1","    0","    1","   14","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","  230","    0","    2","    0","    0","   40","    0","    0","    0","    0","    0","    7","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0"
"22373",NA,NA,"  600","    0","    0","    1","   12","    0","    0","    0","   58","    0","    9","    0","    0","    0","    0","    0","    0","    2","    5","    0","    0","    8","    1","    2","    6","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  200","    0","    7","    0","    0","   29","    0","    0","    0","    0","    0","   10","    6","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"22564",NA,NA,"  605","    0","    0","    0","    6","    0","    0","    0","   49","    0","    4","    0","    0","    0","    0","    0","    0","    0","    2","    0","    4","   12","    0","    3","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  100","    0","    6","    0","    0","   29","    0","    0","    0","    0","    0","    4","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"22742",NA,NA,"  610","    0","    0","    0","    2","    1","    0","    0","    9","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  205","    0","    2","    0","    1","    2","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"22908",NA,NA,"  615","    0","    0","    1","   14","    1","    0","    1","   30","    0","    3","    0","    0","    0","    0","    0","    0","    1","    2","    0","    2","   80","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  161","    0","    5","    0","    0","   30","    0","    4","    0","    0","    0","    4","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    2","    0","    0","    0"
"23063",NA,NA,"  620","    0","    0","    0","   10","    0","    0","    0","   10","    0","    3","    1","    2","    0","    1","    0","    0","    0","    1","    0","    3","   80","    1","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","  110","    0","    1","    0","    0","   29","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    2","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"23212",NA,NA,"  625","    0","    0","    0","   11","    1","    0","    0","   74","    0","    3","    0","    1","    0","    0","    0","    1","    0","    6","    0","    0","   23","    0","    3","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  121","    0","    2","    0","    0","   30","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    3","    0","    0","    0","    0"
"23357",NA,NA,"  630","    0","    0","    1","   11","    0","    0","    0","   50","    0","    6","    1","    1","    0","    0","    0","    0","    0","    3","    0","    1","   33","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   66","    0","    4","    0","    0","   30","    0","    0","    0","    0","    0","    2","    3","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0"
"23501",NA,NA,"  635","    0","    0","    0","    3","    1","    0","    0","   45","    0","    1","    1","    3","    0","    0","    1","    0","    2","    2","    0","    7","   73","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   56","    0","    1","    0","    0","   23","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"23648",NA,NA,"  640","    0","    0","    0","    4","    0","    0","    0","   22","    0","    4","    1","    1","    0","    0","    0","    0","    0","    1","    0","    2","   30","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   39","    0","    2","    0","    0","   16","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"23963",NA,NA,"  650","    0","    0","    1","   10","    0","    0","    0","   40","    0","   10","    1","    1","    0","    0","    0","    1","    0","    3","    0","    2","  200","    0","    1","    1","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   53","    0","    2","    0","    0","   53","    0","    0","    0","    0","    0","    3","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0"
"24327",NA,NA,"  660","    0","    0","    1","   14","    0","    0","    0","   90","    0","    4","    1","    3","    0","    0","    0","    0","    0","    2","    0","    0","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   24","    0","    1","    0","    0","   15","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"24535",NA,NA,"  665","    0","    0","    1","   20","    0","    0","    0","   65","    0","    4","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","   29","    0","    1","    1","    1","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   87","    0","    1","    0","    0","   14","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"24765",NA,NA,"  670","    0","    0","    0","    4","    0","    0","    0","   42","    0","    4","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   60","    0","    2","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  100","    0","    1","    0","    0","   18","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0"
"25015",NA,NA,"  675","    0","    0","    0","    5","    1","    0","    0","   30","    0","    5","    1","    0","    0","    0","    0","    1","    0","    2","    0","    1","   45","    2","    4","    1","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","  112","    0","    6","    0","    1","   26","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"25284",NA,NA,"  680","    0","    0","    0","    1","    1","    0","    0","   36","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   36","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   30","    0","    2","    0","    0","   19","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"25571",NA,NA,"  685","    0","    0","    1","    6","    1","    0","    0","   27","    0","    9","    0","    0","    0","    0","    0","    1","    1","    2","    0","    2","  100","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","  116","    0","   16","    0","    0","   45","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"25874",NA,NA,"  690","    0","    0","    0","    3","    0","    0","    0","   18","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   22","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   82","    0","    1","    0","    0","    7","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"26192",NA,NA,"  695","    0","    1","    0","   21","    0","    0","    0","   90","    0","    8","    0","    4","    0","    0","    1","    1","    2","    2","    0","    0","   50","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   46","    0","   11","    0","    0","   55","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"26522",NA,NA,"  700","    0","    0","    0","   18","    0","    0","    0","   96","    0","    5","    0","    2","    0","    0","    0","    0","    0","    2","    0","    2","   28","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","   82","    0","    3","    0","    0","   27","    0","    0","    0","    0","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0"
"27214",NA,NA,"  710","    0","    0","    0","   12","    0","    0","    0","   26","    0","    4","    1","    0","    0","    2","    1","    0","    1","    1","    0","    0","  250","    0","    1","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    3","    0","    1","    0","    0","   54","    0","    3","    0","    0","   58","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0"
"27938",NA,NA,"  720","    0","    0","    1","    6","    1","    0","    0","   38","    0","    4","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   64","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   42","    0","    2","    0","    0","  175","    0","    0","    0","    0","    0","    0","    3","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   38","    0","    0","    0","    0","    0"
"29454",NA,NA,"  740","    0","    0","    1","    5","    0","    0","    0","   25","    0","    1","    1","    1","    0","    1","    0","    0","    1","    0","    0","    3","  480","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  102","    0","    3","    0","    0","   69","    0","    0","    0","    0","    0","    3","    6","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","   18","    0","    0","    0","    0","    0"
"30239",NA,NA,"  750","    0","    0","    0","    2","    0","    0","    0","   46","    0","    5","    1","    0","    0","    0","    1","    0","    3","    1","    0","    0","  300","    1","    1","    1","    0","    0","    0","    0","    1","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   41","    0","    0","    0","    0","   80","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    2","    0","    0","    0","    0","    0"
"31038",NA,NA,"  760","    0","    0","    1","    1","    2","    0","    0","   35","    0","    6","    3","    1","    0","    1","    0","    1","    4","    1","    0","    3","  220","    0","    2","    3","    1","    0","    0","    1","    2","    0","    0","    2","    4","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","   35","    0","    4","    0","    0","   83","    0","    0","    0","    4","    0","   11","    3","    0","    1","    1","    1","    0","    4","    0","    0","    0","    0","    1","    0","    4","    0","    0","    0","    0","    0"
"32664",NA,NA,"  780","    1","    0","    0","    8","    2","    0","    0","   46","    0","    2","    1","    6","    0","    0","    0","    0","    5","    0","    0","    3","  200","    1","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   52","    0","    1","    0","    0","   80","    0","    0","    0","    1","    0","    6","    6","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    5","    0","    1","    0","    0","    0"
"33483",NA,NA,"  790","    0","    0","    0","    8","    2","    0","    0","   48","    1","    5","    0","    1","    0","    0","    1","    0","    8","    2","    0","    2","  320","    2","    1","    1","    0","    0","    0","    1","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   67","    0","    0","    0","    1","   80","    0","    0","    0","    0","    0","    1","    3","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    4","    0","    0","    0"
"34303",NA,NA,"  800","    0","    0","    0","    2","    1","    0","    0","   22","    0","    3","    2","    1","    0","    1","    1","    0","    0","    3","    0","   45","   75","    1","    2","    6","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","   51","    0","    1","    0","    0","  120","    0","    0","    0","    0","    0","   13","    7","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
