"depth","Cal age BP","Acanthus","Acer","Aizoaceae t.","Alnus","Amaranthaceae undif.","Antidesma t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Balanites","Ballotus","Betula","Boraginaceae undif.","Brassicaceae","Cadaba","Calligonum","Caryophyllaceae undif.","Caylusea","Cedrus","Celosia type","Celtis","Centaurea","Chionanthus","Cichorieae","Cistaceae","Clematis-type","Cleome","Corylus","Cucurbitaceae undif.","Cupressaceae","Cyperaceae","Echinops","Echiochilon","Echium t.","Encephalartos","Ephedra","Erica t.","Erodium","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fagus","Fern","Galium t.","Gymnocarpus","Haloragaceae","Heliotropium","Hyphaene t.","Indeterminable","Juglans","Lamiaceae undif.","Lannea","Limoniastrum","Linum t.","Lythraceae undif.","Maerua","Mercurialis","Mollugo","Moltkia","Myrtus","Olea t.","Onagraceae","Ostrya","Petaloid monocot","Phaseolus","Phillyrea","Phyllanthus undif.","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Polygala","Polygonum t.","Proteaceae","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanum","Spergularia t.","Tamarix","Tilia","Tribulus","Trichodesma","Typha","Ulmus t.","Vitis","Warionia","Ziziphus/Paliurus"
"   322","135340","     0","     0","     0","     0","     7","     0","     0","     0","     7","     0","     5","     0","     0","     0","     0","     3","     0","     0","     0","     0","     0","     0","     0","     0","     0","     2","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     1","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     5","     0","     1","     0","     1","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0"
"328",NA,"  0","  0","  0","  0"," 28","  0","  0","  0"," 21","  0","  8","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 13","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 12","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  2","  1","  2","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"332",NA,"  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"340",NA,"  0","  0","  0","  0","  5","  0","  0","  0","  6","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"
"344",NA,"  0","  0","  0","  0"," 26","  0","  0","  0"," 36","  0","  8","  0","  0","  0","  0","  6","  0","  0","  0","  0","  3","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  4","  1","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 28","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"352",NA,"  0","  0","  0","  0"," 14","  0","  0","  0","  9","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  2","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"358",NA,"  0","  0","  0","  0"," 13","  0","  0","  0"," 12","  1","  3","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 12","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  2","  1","  0","  5","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"380",NA,"  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"   402","149340","     0","     1","     0","     0","    66","     0","     0","     0","    74","     0","     6","     0","     0","     0","     0","    11","     0","     0","     0","     0","     0","     0","     0","     0","     0","     6","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","    13","     0","     0","     0","     0","     4","     0","     0","     0","     0","     0","     0","     0","     3","     1","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","    16","     1","     0","     0","     4","     0","     0","     0","     1","     5","     0","     0","     0","     0","     1","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0"
"432",NA,"  0","  0","  0","  0"," 24","  0","  0","  0"," 39","  0","  6","  0","  0","  1","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  6","  0","  1","  0","  0","  0","  1","  2","  0","  0","  0","  0"," 12","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 20","  0","  2","  0","  5","  0","  1","  0","  3","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"456",NA,"  0","  0","  0","  0"," 66","  0","  1","  0"," 68","  0"," 16","  0","  0","  2","  1","  9","  0","  2","  0","  0","  0","  0","  0","  1","  0","  7","  1","  0","  0","  2","  0","  3","  2","  0","  0","  0","  0"," 15","  3","  0","  0","  0","  0","  1","  1","  1","  0","  0","  0","  0","  5","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  1"," 10","  7","  4","  0"," 15","  0","  0","  0","  7","  8","  0","  0","  0","  0","  3","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"467",NA,"  0","  0","  0","  0"," 70","  0","  0","  0"," 70","  0","  9","  0","  0","  1","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  2","  1","  0","  2","  0","  1","  3","  0","  0","  0","  0"," 23","  0","  0","  0","  1","  1","  0","  2","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 33","  1","  5","  0"," 12","  0","  0","  0","  3"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0"
"492",NA,"  0","  1","  0","  0"," 38","  0","  0","  0"," 55","  0","  7","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  1","  0","  4","  9","  0","  0","  0","  0"," 27","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  1","  1"," 17","  0","  2","  0","  1","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0"
"514",NA,"  0","  0","  0","  0"," 43","  0","  0","  0"," 41","  0","  5","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0"," 22","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 39","  0","  1","  0","  4","  0","  0","  0","  5","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"534",NA,"  0","  0","  0","  0","125","  0","  0","  0","110","  0","  9","  0","  0","  1","  0","  4","  0","  3","  0","  0","  0","  0","  0","  0","  0"," 23","  1","  0","  0","  0","  0","  4","  4","  1","  0","  0","  0"," 23","  8","  0","  0","  4","  0","  0","  6","  0","  0","  0","  1","  0","  7","  0","  0","  1","  9","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  6","  0","  0","  0"," 31","  4","  0","  1"," 18","  0","  1","  0","  2","  3","  0","  0","  0","  2","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"560",NA,"  0","  0","  0","  0"," 44","  0","  0","  0","135","  0","  3","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  4","  2","  0","  0","  0","  1","  0","  2","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  1","  3","  0"," 11","  0","  0","  0","  1","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0"
"582",NA,"  0","  0","  0","  0"," 38","  0","  0","  0"," 31","  0"," 23","  0","  0","  0","  0","  4","  2","  1","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  4","  0","  0","  1","  0","  0","  5","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  8","  3","  2","  1"," 14","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"597",NA,"  0","  0","  0","  0"," 44","  0","  1","  0"," 20","  0"," 12","  0","  0","  1","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  2","  0","  8","  0","  0","  0","  3","  0","  4","  2","  0","  0","  0","  0"," 26","  1","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 16","  1","  1","  0","  9","  0","  0","  0","  2","  3","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"627",NA,"  0","  0","  0","  0"," 33","  0","  1","  0"," 23","  0"," 29","  0","  0","  0","  0"," 11","  0","  1","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0"," 21","  1","  0","  0","  0","  0","  1"," 16","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 14","  9","  2","  0"," 15","  0","  1","  0","  3","  2","  0","  0","  1","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"642",NA,"  0","  0","  0","  0"," 31","  0","  1","  0","  6","  0","  7","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  4","  4","  0","  0","  1","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 23","  0","  0","  0"," 13","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"672",NA,"  0","  0","  0","  0"," 16","  0","  0","  0"," 29","  1","  5","  0","  0","  1","  0","  4","  0","  2","  0","  0","  0","  0","  0","  2","  0","  1","  2","  0","  0","  4","  0","  2","  1","  0","  0","  0","  0"," 32","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  1"," 24","  1","  2","  0"," 11","  0","  0","  0","  1","  2","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"698",NA,"  0","  0","  0","  0"," 57","  0","  2","  0"," 87","  3"," 18","  0","  0","  0","  1"," 11","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 27","  1","  0","  0","  3","  0","  2","  1","  0","  0","  1","  0"," 27","  4","  0","  0","  2","  0","  0"," 11","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  1","  0","  0","  0"," 30","  0","  5","  0"," 23","  0","  0","  0","  5","  4","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0"
"   738","241190","     0","     0","     0","     0","    37","     0","     0","     0","    52","     1","     1","     0","     0","     1","     0","     8","     0","     0","     0","     0","     0","     0","     0","     1","     0","     7","     0","     0","     0","     2","     0","     0","     0","     0","     0","     0","     0","    14","     0","     0","     0","     0","     1","     0","     1","     0","     0","     0","     0","     0","     2","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     1","     0","     0","     0","     0","     0","     0","    13","     3","     3","     0","     5","     0","     1","     0","     2","     3","     2","     0","     0","     0","     4","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0"
"772",NA,"  0","  0","  0","  0"," 45","  0","  0","  0"," 79","  0","  2","  0","  0","  1","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  6","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1","  2","  0","  0","  2","  1","  5","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"805.5",NA,"  0.0","  0.0","  0.0","  0.0"," 80.0","  0.0","  1.0","  0.0"," 46.0","  0.0"," 11.0","  0.0","  0.0","  4.0","  0.0","  5.0","  0.0","  2.0","  0.0","  0.0","  3.0","  0.0","  1.0","  2.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  4.0","  0.0","  2.0","  7.0","  0.0","  0.0","  1.0","  1.0"," 19.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 48.0","  0.0","  0.0","  1.0"," 32.0","  0.0","  1.0","  0.0","  3.0","  3.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0"
"832",NA,"  0","  0","  0","  0"," 74","  0","  0","  0"," 33","  0","  8","  0","  0","  0","  0","  9","  0","  1","  0","  0","  0","  0","  0","  2","  0"," 17","  1","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0"," 35","  0","  0","  0","  1","  0","  0","  5","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0"," 69","  0","  0","  0"," 11","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"
"862",NA,"  0","  0","  0","  0"," 43","  0","  0","  0"," 42","  0","  7","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0"," 57","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
