"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acacia t.","Acanthaceae undif.","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Aristolochiaceae","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caprifoliaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratonia","Cercis","Cichorieae","Cistaceae","Combretaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dacrydium","Dipsacaceae","Echinops","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Faidherbia albida","Fraxinus","Gentianaceae undif.","Geraniaceae undif.","Icacinaceae","Lamiaceae undif.","Loranthus","Malva undif.","Morella","Myrtus","Olea t.","Onagraceae","Ostrya","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Podocarpus","Polygonum t.","Populus","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Rutaceae undif.","Salix","Salvadora","Saxifragaceae","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Sium/Apium-type","Solanaceae undif.","Tamarix","Thymelaeaceae undif.","Tilia","Tsuga","Ulmus t.","Valerianaceae undif.","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif."
"28800",NA,NA,"  501","    0","    0","    0","    0","    1","   66","    0","    0","   51","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","   26","    0","    0","    1","   12","    0","    0","    4","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    4","    0","    0","    0","    4","    2","    0","   41","    0","    0","    1","    1","    1","    0","    0","    0","    1","    7","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0"
"30140",NA,NA,"  535","    1","    0","    0","    0","    0","   78","    1","    0","   53","    0","    3","    0","    0","    2","    0","    0","    0","    1","    0","    0","    1","    0","    0","    2","    1","    0","    0","    1","    0","   51","    0","    0","    0","   13","    0","    0","    1","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","   31","    0","    0","    1","    0","    0","    1","    0","    1","    1","    3","    2","    0","    2","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"31220",NA,NA,"  560","    0","    0","    0","    0","    0","   30","    0","    0","   32","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    2","    0","    0","   18","    0","    0","    0","    8","    0","    0","    4","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","   64","    0","    0","    0","    0","    4","    0","    0","    0","    6","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"32170",NA,NA,"  581","    2","    0","    0","    0","    0","   56","    0","    0","   28","    0","    6","    0","    0","    2","    0","    0","    0","    4","    0","    4","    2","    0","    0","    0","    0","    2","    0","    8","    0","   78","    0","    0","    0","   14","    0","    0","    2","    2","    0","    0","    0","    0","    4","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","   22","    0","    0","    0","    0","    2","    4","    0","    2","    0","    2","    4","    0","    0","    0","    0","    2","    2","    2","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4"
"33550",NA,NA,"  601","    1","    0","    0","    0","    3","   41","    1","    0","   48","    0","    5","    0","    0","    0","    0","    0","    0","    2","    0","    2","    0","    0","    0","    0","    1","    0","    0","    2","    1","  105","    0","    0","    0","   19","    1","    0","    5","    0","    0","    0","    0","    0","    7","    0","    0","    1","    0","    2","    0","    0","    0","    1","    0","    0","   31","    0","    2","    6","    1","    1","    3","    0","    1","    2","    6","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0"
"33940",NA,NA,"  621","    3","    0","    0","    0","    0","   62","    3","    0","   54","    0","    7","    0","    0","    0","    0","    0","    0","    2","    0","    4","    1","    0","    0","    0","    0","    1","    0","    0","    0","   43","    0","    0","    0","   18","    0","    0","    4","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    1","   30","    0","    0","    1","    0","    0","    1","    0","    4","    3","    1","    1","    1","    1","    1","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0"
"34460",NA,NA,"  641","    2","    0","    2","    0","    0","   52","    0","    0","   33","    0","    2","    0","    0","    0","    0","    0","    0","    4","    0","    2","    0","    0","    0","    0","    0","    2","    0","    4","    0","   54","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    2","    4","    0","    0","    0","    2","    2","    0","    0","    0","    0","    6","    0","   50","    0","    0","    1","    1","    4","    2","    0","    2","    4","    2","    1","    0","    2","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"34780",NA,NA,"  653","    0","    0","    2","    0","    0","   49","    2","    0","   46","    0","    1","    0","    0","    2","    0","    0","    0","    2","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","   41","    0","    1","    0","   22","    0","    0","    2","    0","    0","    0","    0","    2","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","   52","    0","    0","    3","    2","    3","    1","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0"
"35180",NA,NA,"  662","    1","    0","    0","    1","    1","   76","    1","    0","   53","    0","    5","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    1","    0","    0","    1","    1","    0","    1","    0","   24","    0","    0","    0","   30","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    6","    0","    0","    0","    0","    1","    2","    0","    2","    0","    1","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3"
"35900",NA,NA,"  685","    4","    0","    0","    0","    0","   38","    1","    0","   49","    0","    1","    0","    0","    0","    0","    0","    0","    4","    0","    8","    1","    0","    0","    1","    0","    1","    0","    0","    1","   58","    0","    0","    1","   18","    0","    1","    4","    0","    0","    0","    0","    4","    2","    0","    0","    0","    0","    2","    0","    0","    0","    3","    1","    1","   33","    0","    0","    3","    2","    3","    4","    0","    0","    1","    4","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1"
"37400",NA,NA,"  710","    0","    0","    0","    0","    0","   46","    0","    0","   67","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    6","    0","    0","    0","    0","    0","   80","    0","    0","    0","   24","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","   50","    0","    0","    0","    3","    0","    3","    0","    0","    2","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"39400",NA,NA,"  735","    1","    0","    1","    0","    0","   44","    2","    0","   54","    0","    4","    2","    0","    0","    0","    0","    0","    2","    0","    3","    1","    0","    0","    0","    0","    0","    0","    1","    0","   75","    0","    1","    0","   14","    1","    0","    1","    0","    1","    0","    0","    0","    6","    0","    0","    0","    1","    0","    0","    0","    0","    2","    2","    0","   33","    0","    0","    5","    1","    1","    2","    0","    0","    3","    9","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"41000",NA,NA,"  755","    0","    0","    0","    0","    0","   61","    2","    0","   44","    0","    7","    0","    0","    0","    0","    0","    0","    1","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","   41","    0","    0","    0","   11","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    1","    2","    1","    0","    0","    0","    0","    1","    1","   38","    0","    0","    1","    0","    2","    1","    0","    0","    2","    7","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0"
"43050",NA,NA,"  781","    4","    0","    0","    0","    0","   55","    2","    0","   57","    0","   12","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    2","    0","    0","    0","   71","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    2","    2","    0","   44","    0","    0","    0","    2","    6","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1"
"43820",NA,NA,"  801","    2","    0","    0","    0","    0","   52","    3","    0","   53","    0","   11","    0","    0","    1","    0","    0","    0","    2","    0","    1","    0","    0","    1","    0","    0","    1","    0","    0","    0","   71","    0","    0","    0","   21","    0","    0","    2","    0","    0","    0","    0","    0","    2","    0","    0","    1","    2","    0","    0","    1","    0","    1","    0","    1","   47","    0","    0","    3","    2","    1","    1","    0","    0","    1","    5","    1","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"44300",NA,NA,"  820","    4","    0","    0","    0","    0","   47","    2","    0","   48","    0","    6","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    2","    0","    1","    1","    0","    0","   44","    0","    0","    1","   13","    0","    0","    5","    0","    0","    0","    0","    1","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","   49","    0","    0","    0","    0","    1","    2","    0","    0","    2","    5","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0"
"44440",NA,NA,"  825","   13","    0","    0","    0","    0","   67","    0","    2","   17","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    4","    0","   20","    0","    0","    2","   20","    0","    0","    2","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    7","    0","    0","   22","    0","    0","    0","    0","    0","    0","    0","    1","    9","   16","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2"
"44720",NA,NA,"  835","    0","    0","    0","    0","    0","   58","    2","    0","   62","    0","    6","    0","    0","    0","    0","    0","    0","    4","    0","    2","    0","    0","    0","    0","    2","    0","    0","    0","    0","   48","    0","    0","    0","   20","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","   26","    0","    0","    2","    3","    2","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"45010",NA,NA,"  845","    5","    0","    0","    0","    0","   43","    3","    0","   88","    0","   11","    0","    0","    3","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    1","    0","    2","    0","   70","    0","    1","    0","    9","    0","    0","    3","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    1","   13","    1","    0","    0","    1","    0","    0","    1","    0","    1","    2","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"45150",NA,NA,"  851","    0","    0","    0","    0","    0","   52","    0","    0","   44","    0","    2","    0","    0","    0","    0","    0","    0","    2","    0","    6","    0","    0","    0","    0","    4","    0","    2","    0","    0","   24","    0","    3","    0","   14","    0","    0","    2","    0","    1","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","   30","    0","    0","    8","    4","    2","    4","    0","    0","    0","    6","    1","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"45430",NA,NA,"  861","    6","    0","    0","    0","    0","   50","    2","    0","   64","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","   94","    0","    0","    0","   22","    0","    0","    4","    0","    0","    0","    0","    0","    2","    0","    0","    0","    2","    0","    0","    0","    0","    2","    2","    0","   42","    0","    0","    4","    0","    4","    2","    0","    0","    2","    6","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"45720",NA,NA,"  871","    0","    0","    1","    0","    1","   40","    0","    0","   60","    0","    5","    1","    0","    0","    0","    0","    0","    1","    0","    6","    0","    0","    0","    0","    0","    1","    0","    0","    0","   51","    0","    0","    0","   14","    0","    0","    3","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","   48","    0","    0","    2","    1","    4","    1","    0","    0","    1","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0"
"45990",NA,NA,"  881","    0","    0","    0","    0","    0","   40","    0","    0","   28","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","   12","    0","    0","    0","    2","    0","    0","    2","    0","    0","   26","    0","    0","    0","   22","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   80","    0","    0","    4","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0"
"46140",NA,NA,"  885","   10","    0","    0","    0","    0","   28","    1","    0","   26","    0","    0","    0","    0","    1","    0","    1","    0","    0","    1","    6","    0","    0","    0","    0","    0","    1","    0","    0","    1","   42","    0","    0","    0","   20","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    1","   92","    0","    0","    0","    2","    0","    0","    1","    0","    6","   16","    0","    0","    2","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"46260",NA,NA,"  891","    0","    0","    0","    0","    0","   58","    0","    0","   62","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    2","    2","    0","    0","    0","    0","   34","    0","    0","    0","   24","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   32","    0","    0","    0","    0","    4","    2","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"46640",NA,NA,"  905","    0","    0","    0","    0","    0","   70","    6","    0","   64","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","   68","    0","    0","    0","   17","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   28","    0","    0","    2","    2","    6","    0","    0","    0","    2","    2","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"47190",NA,NA,"  925","    3","    0","    1","    0","    0","   54","    0","    0","   63","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    1","    0","    0","    0","   42","    0","    1","    0","   15","    0","    0","    6","    0","    0","    0","    0","    0","    6","    0","    1","    0","    0","    1","    0","    0","    0","    2","    1","    1","   20","    0","    0","    1","    4","    0","    1","    0","    0","    1","    3","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"47740",NA,NA,"  945","    8","    1","    0","    0","    0","   29","    0","    0","   36","    0","    7","    0","    0","    0","    0","    0","    0","    2","    0","   17","    0","    0","    0","    0","    0","    0","    0","    2","    0","   35","    0","    0","    0","   20","    0","    0","    2","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","   59","    0","    0","    3","    0","    0","    0","    0","    0","    2","   10","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"48430",NA,NA,"  970","    1","    0","    0","    0","    0","   41","    1","    0","   67","    0","    5","    0","    0","    0","    0","    0","    0","    1","    0","    6","    1","    0","    0","    1","    0","    0","    1","    0","    0","   32","    0","    0","    0","   19","    0","    0","    4","    0","    0","    0","    0","    0","    5","    0","    0","    1","    1","    1","    0","    0","    0","    0","    0","    1","   51","    0","    0","    4","    0","    1","    0","    0","    0","    2","    4","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"48850",NA,NA,"  985","    3","    0","    0","    0","    0","   48","    0","    0","   63","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","   23","    0","    0","    0","    0","    0","    3","    0","    2","    0","   54","    0","    1","    2","    8","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    1","    0","    1","    0","    1","   41","    0","    0","    4","    0","    0","    0","    0","    0","    1","    5","    0","    0","    2","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"49120",NA,NA," 1005","    0","    0","    0","    0","    0","   45","    2","    0","   64","    0","   11","    0","    0","    1","    0","    0","    0","    0","    0","    3","    0","    0","    0","    2","    0","    0","    0","    0","    0","   36","    0","    0","    0","   17","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   46","    0","    0","    1","    0","    1","    0","    0","    0","    2","    7","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"49620",NA,NA," 1025","   18","    0","    0","    0","    0","   39","    3","    0","   45","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   20","    0","    0","    0","    0","    0","    2","    0","    2","    0","   11","    0","    0","    0","   16","    0","    0","    3","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   33","    0","    0","    2","    0","    1","    3","    1","    0","    4","    9","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"50420",NA,NA," 1045","    0","    1","    0","    0","    1","   46","    6","    0","   66","    1","    6","    0","    0","    0","    0","    0","    0","    2","    0","    4","    0","    0","    0","    1","    1","    1","    0","    1","    1","   70","    0","    0","    1","    8","    0","    0","    2","    0","    0","    0","    0","    3","    2","    0","    1","    1","    0","    0","    0","    0","    0","    1","    0","    0","   30","    0","    0","    3","    0","    1","    0","    0","    1","    1","    3","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"51390",NA,NA," 1070","    3","    1","    0","    0","    0","   40","    2","    0","   40","    0","    6","    0","    0","    1","    0","    0","    1","    1","    0","    2","    0","    0","    0","    0","    0","    0","    2","    0","    0","   50","    1","    1","    0","   12","    0","    0","    2","    0","    2","    0","    1","    0","    3","    0","    0","    1","    0","    1","    0","    0","    0","    2","    1","    1","   60","    0","    0","    0","    1","    5","    1","    0","    0","    5","    6","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"51770",NA,NA," 1091","    3","    0","    0","    0","    0","   48","    4","    0","   50","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    2","    0","    2","    0","    2","    0","   34","    0","    0","    0","   10","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    2","    0","    0","    0","    0","    6","    1","   61","    0","    0","    0","    2","    0","    0","    0","    0","    6","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"51980",NA,NA," 1105","    5","    0","    0","    0","    2","   42","    1","    0","   59","    0","    3","    0","    0","    0","    0","    0","    0","    3","    0","   16","    0","    0","    0","    0","    1","    0","    1","    1","    1","   51","    0","    2","    0","    9","    1","    0","    0","    0","    0","    0","    0","    8","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   67","    0","    0","    2","    2","    1","    1","    0","    0","    1","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"52260",NA,NA," 1121","    0","    0","    0","    0","    0","   54","    1","    0","   75","    0","    7","    0","    0","    0","    0","    0","    0","    2","    0","    3","    0","    1","    0","    1","    0","    0","    0","    0","    0","   61","    0","    0","    1","   11","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   41","    0","    1","    3","    1","    1","    0","    0","    0","    2","    3","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    2","    0","    0","    0","    0","    0"
"52740",NA,NA," 1145","    4","    0","    0","    0","    0","   45","    8","    0","   75","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    6","    1","    0","    0","    0","    0","    3","    0","    0","    0","   66","    0","    0","    0","    8","    1","    0","    2","    0","    0","    0","    0","    2","    5","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   22","    1","    0","    2","    3","    1","    0","    0","    0","    2","    4","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"53220",NA,NA," 1165","    0","    0","    0","    0","    0","   37","    0","    0","   51","    0","    4","    0","    0","    3","    0","    0","    0","    3","    0","    2","    0","    0","    0","    2","    0","    0","    0","    2","    0","   16","    0","    0","    0","   17","    0","    0","    3","    0","    0","    0","    0","    1","    3","    0","    0","    0","    2","    1","    0","    0","    0","    0","    2","    0","   44","    0","    0","    0","    0","    0","    0","    1","    1","    3","    7","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"53540",NA,NA," 1175","    1","    0","    1","    0","    0","   44","    1","    0","   61","    0","    6","    0","    0","    0","    0","    0","    0","    1","    0","    9","    0","    0","    0","    0","    1","    0","    0","    1","    0","   74","    0","    0","    0","   22","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   54","    0","    0","    2","    1","    1","    2","    0","    0","    0","    6","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"54000",NA,NA," 1183","    2","    0","    0","    0","    2","   26","    0","    0","   77","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","   19","    0","    0","    0","   17","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    1","    0","    0","   54","    0","    1","    3","    0","    1","    1","    2","    0","    4","   10","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"54100",NA,NA," 1193","    0","    0","    0","    0","    0","   42","    0","    0","   42","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","   16","    0","    0","    0","    0","    0","    0","    0","    0","    0","   30","    0","    0","    0","   12","    0","    0","    2","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","   68","    0","    0","    6","    2","    0","    0","    0","    0","    0","    4","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"54330",NA,NA," 1203","    3","    0","    0","    0","    0","   34","    0","    0","   21","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    1","   20","    0","    0","    0","   20","    0","    0","    1","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   71","    0","    0","    1","    2","    2","    0","    0","    0","   19","   19","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"54620",NA,NA," 1213","    0","    0","    0","    0","    0","   35","    0","    0","   21","    0","    3","    0","    0","    2","    0","    0","    0","    0","    0","   14","    0","    0","    0","    1","    0","    0","    0","    0","    1","   39","    0","    0","    0","   24","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    2","    0","    0","    0","    0","    1","    0","   69","    0","    1","    5","    1","    0","    0","    0","    0","    2","   12","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"54900",NA,NA," 1223","    3","    0","    0","    0","    1","   29","    2","    0","   12","    0","    3","    0","    0","    0","    0","    0","    0","    3","    0","    2","    0","    0","    0","    0","    3","    1","    0","    2","    0","   12","    0","    0","    0","   27","    0","    0","    4","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   76","    0","    0","    0","    0","    0","    1","    0","    1","    1","    9","    1","    0","    2","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1"
"55400",NA,NA," 1243","    0","    0","    0","    0","    0","   44","    2","    0","   31","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    4","    2","    0","    0","    1","    0","    0","    2","    0","    0","   19","    0","    0","    0","   14","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","   74","    0","    0","    1","    0","    0","    0","    0","    0","    8","    9","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"56040",NA,NA," 1263","   18","    0","    0","    0","    0","   25","    1","    0","   69","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    5","    1","    0","    0","    0","    0","    0","    0","    1","    0","   54","    0","    1","    1","    7","    0","    0","    4","    0","    0","    0","    0","    4","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   37","    0","    0","    0","    0","    0","    0","    0","    0","    0","   22","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
