"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Calluna","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Celastraceae undif.","Centaurea","Centranthus t.","Cercis","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fontanesia","Frangula","Frankenia","Fraxinus","Galium t.","Gentiana t.","Geranium","Haplophyllum","Hedera","HippophaÃ«","Hypericum undif.","Juglans","Juncaceae","Lamiaceae undif.","Ligustrum","Lotus t.","Lysimachia","Lythrum","Malva","Matthiola","Menyanthes","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Olea t.","Onagraceae","Ononis t.","Orchidaceae","Papaver t.","Parnassia","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polystichum","Populus","Potamogeton","Potentilla t.","Primula","Prunus t.","Pterocarya","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rhododendron","Roemeria","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Thesium","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valeriana t.","Valerianella","Verbena t.","Viburnum","Viola","Vitis"
"8496","8863","8162"," 590","  30","   0","   0","   5","   3","   0","   0","  14","   0","   0","   3","   0","   0","  21","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","  20","   0","   0","   0","   2","   0","   0","   0","   0","   3","   0","   0","   0","  30","   0","   8","   0","   0","  28","   0","   0","   0","   0","   1","   1","   0","  15","   0"," 190","   1","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  54","   0","   2","   0","  54","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   1","  34","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   2","   0","   0","   0","   0","   0","   0","   0","   3"
"8784","9154","8447"," 610","  60","   0","   0","   3","   2","   0","   0","  11","   0","   0","   0","   0","   0","   9","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  27","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  22","   0","   5","   0","   0","  27","   0","   1","   0","   0","   0","   0","   0","  19","   0"," 631","   2","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  82","   0","   0","   0","  40","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   1","   0","   0","   5","   0","   0","   5","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   4","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"9000","9373","8660"," 625","  29","   1","   0","   7","   1","   0","   0","   4","   0","   0","   3","   0","   1","  25","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","  25","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  38","   0","   3","   0","   0","  17","   0","   0","   0","   2","   0","   1","   0","  18","   0"," 122","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  56","   0","   0","   1","  65","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   1","   2","   0","   0","   1","   0","   0","   7","   4","   0","   0","   0","   0","   0","   0","   0","   2"
"9360","9739","9017"," 650","  21","   1","   0","   2","   1","   0","   0","  19","   0","   0","   1","   0","   0","  10","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","  22","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","  21","   0","   9","   0","   1","  10","   0","   0","   0","   0","   0","   0","   0","  13","   0"," 280","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  57","   0","   0","   0","  71","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","  10","   0","   1","   0","   0","   0","   1","   0","   2","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   5","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"9504","9886","9160"," 660","  31","   0","   0","   8","   2","   0","   1","   9","   0","   0","   5","   0","   1","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","   0","   4","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","  10","   0"," 237","   4","   0","   1","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  48","   0","   1","   0","  62","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   2","   0","   0","   3","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  16","   4","   0","   0","   0","   0","   0","   0","   0","   1"
" 9793","10180"," 9445","  680","   38","    0","    0","    7","    3","    0","    0","    6","    0","    0","    3","    0","    0","    6","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","   41","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","   37","    0","    4","    0","    0","   20","    0","    0","    0","    0","    0","    0","    0","   24","    0","  126","    3","    0","    1","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   81","    0","    0","    1","   79","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","   16","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"10081","10476"," 9731","  700","   35","    0","    0","    2","    2","    0","    1","    3","    0","    0","    5","    0","    0","   23","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   28","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   36","    0","    9","    0","    0","   22","    0","    0","    0","    0","    0","    0","    0","   10","    0","  132","    1","    0","    2","    0","    0","    0","    1","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   72","    0","    0","    0","   72","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","   13","    0","    1","    0","    0","    0","    0","    1","   18","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    9","    4","    0","    0","    0","    0","    0","    0","    0","    2"
"10369","10772","10017","  720","   84","    0","    0","    5","    0","    0","    0","    3","    0","    0","    1","    0","    0","   17","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   20","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   25","    0","    9","    0","    0","   48","    0","    0","    0","    0","    0","    0","    0","   25","    0","  162","    1","    0","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   78","    0","    0","    0","   53","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","   18","    0","    0","    1","    0","    0","    0","    2","    8","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","    2","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"10657","11069","10302","  740","   32","    1","    0","    0","    0","    1","    0","    7","    0","    1","    3","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","   37","    0","    6","    0","    0","   17","    0","    0","    0","    0","    0","    0","    0","   10","    0","  134","    2","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   43","    0","    0","    0","   52","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   10","    0","    2","    0","    0","    0","    0","    0","   23","    0","    0","    1","    0","    0","    1","    0","    0","    0","    1","    1","    2","    0","    7","    0","    1","    0","    0","    0","    0","    3","    0","    5"
"10945","11367","10588","  760","   42","    1","    0","    3","    4","    1","    1","    2","    1","    0","    4","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   20","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","   72","    0","   11","    0","    0","   29","    0","    0","    0","    0","    0","    0","    0","   10","    0","  198","    1","    0","    1","    0","    0","    0","    2","    5","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   50","    0","    0","    0","   56","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","   11","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","    0","    1"
"11233","11664","10872","  780","   43","    0","    0","    2","    1","    0","    1","    6","    0","    0","    5","    0","    1","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   16","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","   75","    0","    8","    0","    0","   62","    0","    1","    0","    0","    0","    0","    0","    6","    0","  106","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   71","    0","    0","    1","   50","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","   12","    0","    0","    0","    0","    0","    0","    0","   24","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","   12","    4","    0","    0","    0","    0","    0","    0","    0","    2"
"11521","11963","11157","  800","   30","    1","    0","    5","   10","    0","    2","    4","    0","    0","    6","    0","    2","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","   38","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   94","    0","    5","    0","    0","   32","    0","    0","    0","    1","    0","    0","    0","    5","    0","  208","    4","    0","    4","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   50","    0","    0","    0","   97","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   15","    0","    0","    0","    0","    0","    0","    0","   21","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    7","    1","    0","    9","    8","    0","    0","    0","    0","    0","    0","    0","    1"
"11737","12187","11370","  815","   71","    0","    0","    2","    3","    0","    4","    6","    0","    0","    4","    0","    2","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   27","    0","    2","    0","    1","    0","    0","    0","    0","    3","    0","    0","    0","   56","    0","    9","    0","    0","   44","    0","    0","    0","    0","    0","    0","    0","    8","    0","  268","    2","    0","    2","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","   75","    0","    0","    0","   61","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   19","    0","    0","    0","    0","    0","    0","    0","   32","    0","    0","    2","    0","    1","    2","    0","    0","    0","    0","    7","    0","    1","    9","    2","    0","    0","    0","    0","    0","    2","    0","    1"
"11953","12411","11583","  830","   45","    1","    0","    2","    3","    0","    1","    7","    0","    0","    0","    0","    2","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   17","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   29","    0","    1","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","    6","    0","  208","   21","    0","    1","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   58","    0","    0","    0","   26","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","   18","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    3","    1","    1","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"12170","12636","11796","  845","   55","    0","    0","    4","    2","    0","    0","    4","    0","    0","    4","    0","    1","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   31","    0","    1","    0","    0","   14","    0","    0","    1","    0","    0","    0","    1","    5","    0","  288","    6","    0","    3","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   75","    0","    0","    0","   22","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   16","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    4","    0","    1","    6","    0","    0","    0","    0","    0","    0","    1","    0","    0"
"12386","12859","12007","  860","   43","    1","    0","    3","    5","    0","    0","    6","    0","    0","    4","    0","    1","    7","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    4","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   52","    0","    3","    0","    0","   20","    0","    0","    0","    0","    0","    0","    0","    7","    0","  276","    5","    0","    0","    0","    0","    0","    1","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   52","    0","    0","    0","   54","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","   16","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    5","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    1"
"12530","13009","12149","  870","  103","    1","    0","    3","    1","    0","    1","    1","    0","    0","    1","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   22","    0","    0","    0","    0","   20","    0","    0","    1","    0","    0","    0","    0","    5","    0","  173","   12","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","   44","    0","    1","    0","   24","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   27","    0","    0","    0","    0","    0","    0","    1","   14","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    6","    0","    1","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"12818","13308","12431","  890","   89","    1","    0","    3","    1","    0","    0","    8","    0","    0","    4","    0","    5","    4","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   22","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","   42","    0","    1","    0","    0","   22","    0","    0","    0","    0","    0","    0","    0","    1","    0","  898","   20","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   51","    0","    0","    0","   46","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","   35","    2","    0","    0","    0","    0","    0","    0","   21","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    5","    0","    0","   15","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"13106","13608","12713","  910","   86","    4","    0","    1","    5","    0","    1","    7","    0","    0","    4","    1","   10","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   25","    0","    0","    0","    3","    0","    0","    0","    0","    2","    0","    0","    0","   20","    0","    1","    0","    0","   43","    0","    0","    0","    0","    0","    0","    0","    3","    0","  447","   10","    0","    1","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","   48","    0","    0","    0","   91","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   23","    1","    0","    0","    0","    0","    0","    0","   37","    0","    0","    1","    0","    1","    1","    0","    0","    0","    0","    2","    0","    0","   28","    0","    0","    0","    0","    0","    0","    2","    0","    0"
"13394","13906","12993","  930","  133","    1","    0","    0","    7","    0","    0","    3","    2","    0","    9","    0","    1","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   11","    0","    0","    0","    1","    0","    0","    0","    2","    3","    0","    0","    0","   12","    0","    2","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    2","    0","  458","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   33","    0","    0","    0","   57","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","   27","    0","    0","    0","    0","    0","    0","    0","   19","    0","    0","    2","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"13538","14056","13133","  940","   46","   11","    0","    4","    4","    0","    1","   20","    0","    0","   10","    0","    1","   31","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   12","    0","    1","    0","    1","    0","    3","    0","    0","    3","    0","    0","    0","    4","    0","    3","    0","    0","   98","    0","    0","    0","    0","    0","    0","    0","    2","    0"," 1164","   20","    0","    3","    0","    0","    0","    1","    4","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   22","    0","    0","    0","   44","    1","    0","    0","    0","    0","    2","    0","    0","    0","    0","   41","    0","    0","    0","    0","    2","    1","    1","   19","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   33","    4","    0","    0","    0","    1","    0","    0","    0","    0"
"13682","14205","13273","  950","  103","   16","    0","    5","    9","    0","    4","    5","    0","    0","    9","    0","    0","   25","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    1","    0","    0","    0","    0","    0","    6","    0","    0","    0","    8","    0","    4","    0","    0","   73","    0","    0","    0","    1","    0","    0","    0","    1","    0","  803","   17","    0","    5","    0","    0","    0","    0","    5","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   35","    0","    2","    0","   25","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","   50","    1","    0","    1","    0","    1","    0","    0","   32","    0","    0","    5","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","   25","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"13754","14281","13344","  955","  108","    4","    0","    0","    4","    0","    0","    2","    1","    0","    5","    0","    1","    9","    1","    1","    1","    1","    0","    0","    0","    0","    1","    0","    8","    0","    1","    0","    1","    1","    0","    0","    0","    5","    0","    0","    0","   11","    0","    1","    0","    0","   37","    0","    1","    0","    0","    0","    0","    0","    2","    0","  509","    6","    0","    3","    0","    0","    0","    2","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   19","    0","    0","    0","   74","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","   24","    0","    0","    0","    1","    1","    0","    0","   42","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   20","    4","    0","    0","    0","    0","    0","    1","    0","    1"
"13826","14355","13413","  960","   32","   18","    0","    3","    7","    0","    1","   18","    0","    0","    8","    0","    2","   48","    2","    0","    1","    0","    0","    0","    0","    1","    0","    0","   13","    0","    2","    0","    0","    0","    3","    0","    0","    6","    0","    0","    0","    6","    0","    5","    0","    0","  117","    1","    0","    0","    0","    0","    0","    0","    2","    0","  524","    5","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","   27","    0","    0","    0","   26","    1","    0","    0","    0","    0","    2","    0","    0","    0","    0","   46","    1","    0","    0","    0","    0","    0","    1","   16","    0","    1","    4","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","   34","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"13898","14430","13483","  965","   11","   45","    0","    4","    8","    0","    1","   34","    0","    0","   25","    0","    2","   66","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    8","    0","    1","    0","    0","    0","    3","    0","    0","   13","    0","    1","    0","    8","    0","    7","    0","    0","   86","    0","    0","    0","    0","    0","    0","    0","    2","    0","   93","    4","    0","    3","    0","    0","    0","    1","    7","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","   14","    0","    0","    0","   34","    1","    1","    0","    0","    0","    3","    0","    1","    0","    0","   50","    1","    0","    0","    0","    1","    0","    2","   11","    0","    1","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   64","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"13970","14506","13554","  970","    8","   49","    0","    5","   12","    0","    2","   39","    0","    0","   28","    0","    1","  103","    4","    3","    0","    0","    0","    0","    0","    0","    1","    1","    8","    0","    3","    0","    1","    0","    1","    0","    0","    7","    0","    0","    0","    5","    0","    2","    0","    0","   43","    0","    0","    0","    0","    0","    1","    0","    6","    0","   17","    7","    0","    5","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","   11","    0","    0","    0","   45","    1","    0","    0","    0","    1","    4","    0","    0","    0","    0","   66","    0","    0","    0","    0","    1","    0","    2","    9","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","   63","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"14114","14656","13694","  980","   17","   21","    0","    2","   21","    0","    1","   17","    0","    0","   21","    0","    3","   58","    3","    2","    1","    0","    0","    0","    0","    0","    0","    0","    7","    0","    2","    0","    2","    0","    1","    0","    0","    5","    0","    0","    0","    3","    1","    2","    0","    0","   46","    0","    0","    0","    0","    0","    0","    0","    1","    0","    5","   18","    0","    6","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","   19","    2","    0","    1","    0","    0","    4","    0","    0","    0","    0","   42","    0","    0","    0","    0","    2","    0","    1","   47","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   32","    2","    1","    0","    0","    0","    0","    0","    0","    0"
"14259","14805","13833","  990","   18","    3","    0","    1","    3","    0","    0","    2","    0","    0","   11","    0","    0","   15","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    1","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    2","    0","    4","    0","    0","   18","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    2","    0","    0","    0","    0","    4","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   21","    0","    0","    0","   12","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","   11","    1","    0","    0","    0","    0","    0","    0","  236","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    4","    0","    0","    0","    0","    0","    0","    0","    0"
"14395","14948","13966"," 1000","   13","    5","    0","    2","   11","    0","    5","    5","    0","    0","   48","    0","    3","   43","    1","    0","    2","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    3","    0","    0","   89","    0","    0","    2","    0","    0","    0","    0","    1","    0","   46","    3","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   21","    0","    0","    0","   28","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","   42","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    3","    0","    0","    5","    0","    0","    0","    0","    0","    0","    3","    0","    0"
"14539","15098","14105"," 1010","   23","    0","    0","    0","   18","    0","    3","    7","    0","    0","   88","    0","    2","   48","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    3","    0","    0","    0","    0","   10","    0","    0","    0","    3","    0","    4","    0","    0","  116","    0","    0","    4","    0","    1","    0","    0","    1","    0","   11","    5","    0","    4","    1","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   61","    0","    1","    0","   22","    0","    2","    0","    0","    0","    8","    0","    0","    0","    0","   15","    0","    0","    0","    0","    0","    1","    0","   61","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    7","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    0"
