"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Anacardiaceae undiff.","Apiaceae undif.","Aristolochia","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Betula","Boraginaceae undif.","Brassicaceae","Calligonum","Campanulaceae","Cannabaceae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Eriocaulon","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Gentianaceae undif.","HippophaÃ« rhamnoides","Ilex","Juncaceae","Lamiaceae undif.","Lysimachia","Lythrum","Malva undif.","Mercurialis","Monoletes","Morella","Myriophyllum undif.","Myrtus","Olea t.","Papaver t.","Paronychieae","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruta","Salix","Sambucus","Sanguisorba t.","Sarcopoterium","Saxifragaceae","Scrophulariaceae undif.","Searsia","Sparganium","Tamarix","Thalictrum","Trifolium t.","Triletes","Typha","Unknown","Urtica t.","Valeriana t.","Valerianaceae undif.","Valerianella"
"10388",NA,NA,"  258","    0","    0","    0","   23","    0","    8","    0","    0","    0","   27","    0","    0","    0","   17","    0","    0","    0","    0","    0","    6","    0","    4","    1","    0","  115","    0","    0","    0","    0","    0","    0","   26","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   19","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","   84","    0","    0","    4","    0","    0","   12","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    4","    0","    0","    0","    0"
"10461",NA,NA,"  263","    0","    0","    0","    7","    0","    6","    0","    2","    0","    5","    0","    0","    0","   18","    0","    0","    0","    0","    0","    2","    4","    4","    0","    0","   90","    0","    0","    0","    0","    0","    0","   28","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   78","   19","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","  130","    0","    0","    7","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    6","    6","    0","    0","    0","    0"
"10534",NA,NA,"  268","    0","    0","    0","    7","    0","    3","    0","    1","    0","    8","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    2","    6","    0","    0","   28","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    4","  154","    1","    0","    0","    0","    0","   63","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0"
"10607",NA,NA,"  273","    0","    0","    0","   12","    0","    5","    0","    1","    0","    5","    0","    0","    0","   20","    0","    0","    0","    0","    0","    1","    0","    3","    0","    0","   13","    0","    0","    0","    0","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    5","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   87","    0","    0","    6","    0","    0","  147","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"10680",NA,NA,"  278","    0","    2","    0","   23","    0","   11","    0","    0","    0","   14","    0","    0","    0","    8","    0","    1","    0","    0","    0","    1","    1","    3","    1","    0","   35","    0","    0","    0","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    2","    0","    2","  136","    0","    1","    0","    0","    0","   48","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    4","    0","    0","    0","    0","    0"
"10753",NA,NA,"  283","    0","    0","    0","   31","    0","   31","    0","    2","    0","    4","    0","    0","    2","   14","    0","    0","    0","    1","    0","    3","    1","    2","    0","    0","    7","    0","    0","    0","    0","    0","    0","   12","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  178","    9","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  136","    0","    2","    5","    0","    0","   49","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    5","    2","    0","    0","    0","    0"
"10826",NA,NA,"  288","    0","    0","    0","   19","    0","    7","    0","    3","    0","    6","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    7","    0","    0","    0","    0","    0","    0","   35","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    5","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   37","    0","    0","    1","    0","    0","   40","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0"
"10898",NA,NA,"  293","    0","    0","    1","   33","    0","    7","    0","    1","    0","   13","    0","    0","    1","   31","    0","    0","    0","    0","    0","    1","    1","    4","    0","    0","   60","    0","    0","    0","    0","    0","    0","    7","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    5","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","  106","    2","    0","    0","    0","    0","   33","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0"
"10971",NA,NA,"  298","    0","    2","    0","   34","    0","    6","    0","    0","    0","   29","    0","    0","    0","    3","    0","    0","    0","    0","    0","    4","    0","    1","    1","    0","  173","    0","    0","    0","    0","    0","    0","    5","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   40","    0","    1","    2","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0"
"11044",NA,NA,"  303","    0","    0","    0","   36","    0","    4","    0","    0","    0","   14","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    1","    3","    0","    0","  128","    0","    0","    0","    0","    0","    0","    5","    1","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   30","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   81","    0","    1","    1","    0","    0","   20","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0"
"11117",NA,NA,"  308","    0","    0","    0","   18","    0","   29","    0","    3","    0","    7","    1","    0","    0","   16","    0","    0","    0","    0","    0","    2","    0","    3","    1","    0","   55","    0","    0","    0","    0","    0","    0","   36","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  104","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","  155","    0","    0","   38","    0","    0","   44","   12","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    1","    0","    3","    0","    1","    2","    0","    0"
"11190",NA,NA,"  313","    0","    0","    0","   38","    0","    6","    0","    1","    0","   39","    0","    0","    0","   18","    0","    0","    0","    0","    0","    1","    1","    6","    0","    0","  140","    0","    0","    0","    0","    2","    0","   43","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   39","    5","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   38","    0","    0","    8","    0","    0","   26","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0"
"11263",NA,NA,"  318","    0","    2","    0","   31","    0","   13","    0","    0","    0","   35","    0","    0","    0","    5","    0","    0","    0","    0","    0","    1","    0","    7","    1","    0","  150","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   54","    0","    1","    0","    0","    0","    6","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"11336",NA,NA,"  323","    0","    0","    0","   60","    0","   20","    0","    0","    0","   24","    0","    0","    0","    3","    0","    0","    0","    0","    0","    1","    0","    3","    0","    0","  102","    0","    0","    1","    0","    0","    0","    4","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   24","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   83","    0","    2","    2","    0","    0","   16","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0"
"11409",NA,NA,"  328","    0","    0","    0","   46","    0","   20","    0","    0","    0","   28","    0","    0","    0","    3","    0","    0","    0","    0","    0","    1","    0","    3","    1","    0","   85","    0","    0","    0","    0","    0","    0","   20","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   12","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   88","    0","    5","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0"
"11481",NA,NA,"  333","    0","    0","    0","   19","    0","   12","    0","    3","    0","   13","    0","    0","    1","    6","    0","    0","    0","    0","    0","    2","   12","    3","    3","    0","   46","    0","    0","    0","    0","    1","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","   11","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","  126","    0","    2","   12","    0","    0","   37","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"11554",NA,NA,"  338","    0","    1","    0","   23","    0","    9","    0","    4","    0","   11","    0","    0","    0","    4","    0","    0","    0","    1","    0","    1","    0","    6","    3","    0","    7","    0","    0","    0","    0","    0","    0","   58","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    6","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    2","  156","    0","   13","   15","    0","    0","   47","    2","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","   14","    4","    0","    0","    0","    0"
"11627",NA,NA,"  343","    0","    0","    0","   78","    0","   19","    0","    1","    0","   32","    0","    0","    0","    8","    0","    0","    0","    0","    0","    1","    0","    3","    2","    0","   66","    0","    0","    0","    0","    0","    0","   45","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","   57","    0","   13","    2","    0","    0","   14","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    4","    0","    0","    0","    0"
"11700",NA,NA,"  348","    0","    1","    0","   85","    0","   23","    0","    0","    0","   24","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    6","    0","    0","   34","    0","    0","    0","    0","    0","    0","  296","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","   64","    0","   31","    4","    0","    0","   22","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","   14","    0","    0","    0","    0"
"11833",NA,NA,"  353","    0","    0","    0","  104","    0","   23","    0","    0","    0","   38","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    5","    0","    0","   49","    0","    1","    0","    0","    0","    0","  114","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    4","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   60","    2","    3","    0","    0","    0","   22","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"11967",NA,NA,"  358","    0","    0","    0","  111","    0","   21","    0","    0","    0","   47","    0","    0","    0","    0","    0","    0","    0","    0","    0","   12","    0","    5","    1","    0","   70","    1","    0","    0","    0","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   32","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0"
"12100",NA,NA,"  363","    0","    0","    0","  104","    0","    9","    0","    1","    0","   46","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    6","    1","    0","   67","    0","    0","    0","    0","    0","    0","   64","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","   42","    0","   12","    2","    0","    0","   10","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0"
"12233",NA,NA,"  368","    0","    0","    0","  148","    0","   16","    0","    0","    0","   42","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   11","    0","    0","   46","    0","    0","    0","    0","    0","    0","   27","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   28","    0","   10","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0"
"12367",NA,NA,"  373","    0","    0","    3","  112","    0","   14","    0","    3","    0","   48","    0","    0","    0","    4","    0","    0","    0","    0","    0","   15","    0","    5","    3","    0","   50","    6","    1","    0","    0","    0","    0","   20","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   33","    8","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","   47","    0","    8","    8","    0","    0","    4","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   30","    0","    0","    0","    0"
"12500",NA,NA,"  378","    0","    0","    0","  118","    0","   19","    0","    1","    0","   49","    0","    0","    0","    3","    0","    0","    0","    0","    0","    2","    0","   12","    2","    0","   65","    0","    0","    0","    0","    0","    0","   30","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    7","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","   62","    0","   14","    0","    0","    0","   20","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    4","    0","    1","    0","    0"
"12633",NA,NA,"  383","    0","    0","    0","  101","    0","    7","    0","    1","    0","   19","    0","    0","    0","    6","    0","    0","    0","    0","    0","    1","    0","    6","    1","    0","   54","    0","    0","    0","    0","    0","    0","   21","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   39","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","   15","    0","    2","    0","    1","    0","    0","   54","    0","    5","   19","    0","    0","   27","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0"
"12767",NA,NA,"  388","    0","    0","    1","  101","    0","   22","    0","    0","    0","   26","    0","    0","    0","    4","    0","    0","    0","    0","    0","    1","    1","    3","    0","    0","   69","    0","    0","    0","    0","    0","    0","   23","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","   35","    0","    4","    3","    0","    0","   26","    2","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    4","    0","    5","    0","    0"
"12900",NA,NA,"  393","    0","    0","    1","   66","    0","   36","    0","    0","    0","   19","    0","    0","    3","    9","    0","    0","    0","    0","    0","    3","    0","    2","    0","    0","   74","    2","    0","    0","    0","    0","    0","    3","    2","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   19","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   57","    0","    2","    4","    0","    0","   15","    4","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","    0","    0","    0"
"12939",NA,NA,"  398","    0","    0","    0","  102","    0","   22","    0","    0","    0","   34","    0","    0","    0","    1","    0","    0","    0","    0","    0","    2","    1","    5","    0","    0","   93","    0","    0","    0","    0","    0","    0","   10","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   29","    0","    1","    2","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0"
"12979",NA,NA,"  403","    0","    0","    0","   64","    0","   44","    0","    0","    0","   11","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    2","    1","    0","   85","    0","    1","    0","    1","    0","    0","    1","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   73","    0","    0","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0"
"13018",NA,NA,"  408","    0","    0","    0","   82","    0","   35","    0","    3","    0","   22","    0","    0","    0","    6","    0","    0","    0","    0","    1","    1","    0","    5","    1","    0","   89","    0","    0","    0","    0","    0","    0","    2","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","   34","    0","    0","    0","    0","    0","   27","    1","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    4","    0","    0"
"13057",NA,NA,"  413","    0","    0","    0","   77","    0","   32","    0","   10","    0","   42","    0","    0","    0","    4","    0","    0","    0","    0","    0","   13","    0","    3","    0","    0","   79","    1","    0","    0","    0","    1","    0","    1","    2","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    3","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","   74","    2","    2","    2","    0","    0","   46","    2","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    6","    0","    0","    0","    0"
"13096",NA,NA,"  418","    0","    4","    0","   67","    0","   16","    0","    0","    0","   28","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","   90","    0","    0","    0","    0","    0","    0","    3","   11","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    6","    0","    0","   36","    0","    3","    0","    0","    0","   30","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0"
"13136",NA,NA,"  423","    0","    0","    0","   66","    0","   31","    0","    3","    0","   29","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    1","    4","    1","    0","   80","    0","    0","    0","    0","    0","    0","    9","    2","    2","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    3","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0","   68","    0","    0","    3","    0","    0","   18","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0"
"13175",NA,NA,"  428","    0","    0","    0","   85","    0","   30","    0","    2","    0","   25","    0","    0","    0","    0","    1","    0","    0","    0","    0","    3","    0","    4","    0","    0","   82","    1","    0","    0","    0","    0","    0","    4","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   57","    0","    1","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"13214",NA,NA,"  433","    0","    0","    0","   87","    0","   29","    0","    2","    0","   23","    0","    0","    0","    2","    0","    0","    0","    1","    0","    2","    0","    1","    0","    0","   46","    1","    0","    0","    0","    0","    0","   11","    3","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   10","    3","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","   74","    0","    5","    7","    0","    0","    9","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0"
"13254",NA,NA,"  438","    0","    1","    0","   51","    0","   16","    0","   13","    0","    5","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    9","    0","    0","    0","    0","    0","    0","   20","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   15","    0","    2","   11","    0","    0","   20","    0","    0","    1","    0","    2","    0","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0"
"13293",NA,NA,"  443","    0","    1","    0","   82","    0","   32","    0","   19","    0","   15","    0","    0","    0","    4","    0","    0","    0","    0","    0","    7","    1","    4","    0","    0","    8","    0","    0","    0","    0","    0","    0","   25","    2","    1","    0","    0","    0","    0","    1","    1","    0","    1","    0","    0","    0","    1","    0","   29","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   77","    0","    2","    0","    0","    1","   32","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","   19","    2","    0","    0","    0","    0"
"13332",NA,NA,"  448","    0","    1","    0","   68","    0","   31","    0","   43","    0","   18","    2","    0","    0","    3","    1","    0","    0","    0","    0","    5","    0","    3","    0","    1","   10","    1","    0","    0","    0","    0","    0","   32","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    2","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","   60","    0","    4","    9","    0","    0","   32","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    4","    1","    7","    0","    0"
"13371",NA,NA,"  453","    0","    0","    2","   59","    0","   41","    0","   28","    1","   28","    0","    0","    0","    8","    0","    0","    0","    0","    0","   11","    0","    3","    0","    0","   10","    0","    1","    0","    0","    0","    0","   75","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","   29","    8","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","   54","    0","    2","   17","    0","    0","   32","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","   16","    2","    0","    0","    0","    0"
"13411",NA,NA,"  458","    0","    0","    0","   66","    0","   54","    0","   26","    0","   19","    0","    0","    0","    6","    0","    0","    0","    0","    0","    7","    0","    7","    1","    0","   16","    0","    0","    0","    0","    0","    0","   66","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    1","    0","    6","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","   47","    0","    6","    5","    0","    0","   48","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    8","    0","    1","    0","    0"
"13450",NA,NA,"  463","    0","    0","    0","   37","    0","   14","    0","    9","    0","   10","    0","    1","    0","    5","    0","    0","    0","    1","    0","    1","    1","    5","    0","    0","   17","    0","    0","    0","    0","    0","    0","   24","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   22","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","   41","    0","   10","    3","    0","    0","   47","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0"
"13489",NA,NA,"  468","    0","    0","    0","   34","    0","   10","    0","    0","    0","   16","    0","    0","    0","    2","    0","    0","    0","    0","    0","    2","    0","   18","    0","    0","  117","    0","    0","    0","    0","    0","    0","    7","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    3","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   74","    0","    0","    0","    0","    0","   12","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   13","    0","    0"
