"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Aesculus","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Andrachne","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Arceuthobium","Aristolochia","Artemisia","Asphodelus t.","Asteroideae undif.","Berberidaceae","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cannabaceae undif.","Capparis","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Centranthus t.","Cercis","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cotinus coggygria","Cupressaceae","Cuscuta","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Elaeagnus","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagopyrum","Fagus","Fallopia","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fontanesia","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Hibiscus","Hippuris","Hottonia","Hydrocharitaceae","Hypericum undif.","Ilex","Impatiens","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Leontice","Linum t.","Liquidambar","Lotus t.","Lysimachia","Lythrum","Malva","Malva undif.","Matthiola","Menyanthes","Mercurialis","Moltkia","Morella","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primula","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rheum","Roemeria","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Sparganium","Spergularia t.","Styrax","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Tribulus","Trifolium t.","Triletes","Typha","Ulmus t.","Urtica t.","Valeriana t.","Valerianella","Verbena t.","Viola","Vitis","Ziziphus/Paliurus"
"2873",NA,NA," 170","   0","   0","   0","   0","   0","   1","  16","   0","   0","   0","  30","   0","  10","   1","   1","   0","  49","   0","  12","   0","   0","   2","   3","   9","   0","   0","   1","   0","   3","   0","   0","  10","   0","  10","   0","  13","   0","   5","  75","   0","   0","   0","   0","   0","  51","   0"," 381","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","  88","  37","   0","   0","   0","  45","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   1","   2","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0"," 138","   1","  27","   0","  68","   7","  12","   0","   0","   0","   0","   0","   5","  18","   3","   0","   0","   0","   1","   1","   1","   5","   0","   2","   0","   0"," 255","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   1","   0","   0","   0","   0","   0","   1","   0"
"2915",NA,NA," 172","   1","   0","   0","   0","   0","   2","  19","   1","   0","   0","  31","   0","  11","   1","   0","   0","  46","   0","  12","   0","   1","   2","   3","   7","   0","   1","   1","   0","  10","   0","   0","  11","   0","  12","   0","  21","   0","   1","  49","   0","   0","   0","   0","   0","  35","   0"," 216","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","  66","  31","   0","   0","   0","  25","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   5","   0","   3","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","  92","   1","  26","   0","  41","   3","  12","   0","   0","   0","   0","   0","   5","  24","   5","   0","   0","   0","   3","   0","   0","   5","   0","   6","   0","   0"," 173","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   0","   0","   0","   0","   0","   0","   1","   0"
"2977",NA,NA," 175","   2","   0","   0","   0","   0","   0","  16","   0","   0","   0","  21","   0","   5","   6","   0","   0","  27","   0","   5","   0","   0","   2","   1","   9","   1","   0","   0","   0","   9","   0","   1","   6","   0","  19","   0","  10","   0","   3","  65","   0","   0","   1","   0","   0","  48","   0"," 213","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","  47","  15","   0","   0","   0","  26","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   9","   0","   0","   1","   0","   1","   0"," 157","   1","  11","   1","  52","   7","  14","   0","   0","   0","   0","   0","   9","  15","   0","   0","   0","   0","   1","   0","   0","   4","   0","   6","   0","   0"," 147","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  16","   1","   0","   0","   0","   0","   0","   1","   0"
"3017",NA,NA," 177","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","  27","   0","   9","   1","   0","   0","  35","   0","   4","   0","   0","   0","   3","  15","   0","   0","   0","   0","   1","   0","   0","   9","   1","  10","   0","  14","   0","   1","  47","   0","   0","   0","   4","   0","  51","   0"," 482","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","  44","  28","   0","   0","   0","  17","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   3","   3","   5","   0","   0","   0","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   8","   0","   0","   0","   0","   1","   0","  80","   0","  22","   0","  56","   8","  13","   0","   0","   1","   0","   0","   6","  28","   2","   0","   0","   0","   0","   1","   1","   1","   0","   7","   0","   0"," 215","   0","   0","   0","   1","   0","   0","   1","   0","   3","   0","   9","   1","   0","   0","   0","   0","   0","   0","   0"
"3079",NA,NA," 180","   3","   0","   0","   0","   0","   1","  10","   0","   0","   0","  19","   0","  10","   1","   0","   0","  23","   0","  10","   0","   1","   0","   6","  11","   0","   0","   1","   0","   1","   0","   0","   6","   0","  13","   0","  14","   0","   0","  46","   0","   0","   0","   1","   0","  59","   0"," 222","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  36","  21","   0","   0","   0","  19","  14","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","   1","   2","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   5","   0","   0","   0","   0","   1","   0"," 145","   0","  16","   0","  56","  13","  13","   0","   0","   0","   0","   0","   6","  19","   7","   0","   0","   0","   0","   0","   1","   4","   0","   4","   0","   0"," 123","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0"
"3120",NA,NA," 182","   3","   0","   0","   0","   0","   1","   9","   0","   0","   0","  15","   0","   7","   0","   0","   0","  28","   0","   6","   0","   0","   3","   2","  12","   0","   0","   0","   0","   6","   0","   0","   5","   4","  10","   0","  11","   0","   1","  56","   0","   0","   0","   2","   0","  65","   0"," 170","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  32","  19","   0","   0","   0","  28","  15","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0"," 104","   1","  24","   0","  76","  14","   8","   0","   1","   0","   0","   0","   6","  22","   6","   0","   0","   0","   3","   1","   0","   6","   0","   1","   1","   0"," 116","   0","   0","   0","   1","   0","   1","   0","   0","   1","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0"
"3182",NA,NA," 185","   2","   0","   0","   0","   0","   2","  17","   0","   0","   0","  21","   0","  12","   1","   0","   0","  21","   0","   5","   0","   0","   2","   3","  15","   2","   0","   0","   0","   2","   0","   0","   4","   3","   9","   0","  13","   0","   1","  38","   0","   0","   0","   1","   0"," 128","   0"," 156","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  27","   5","   1","   0","   0","  18","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   3","   1","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   5","   0","   1","   0","   0","   3","   0","  89","   0","  20","   0","  76","  18","   5","   0","   0","   1","   0","   2","   5","  30","   6","   0","   0","   0","   0","   0","   2","   6","   0","   4","   0","   0","  67","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","   2","   0"
"3223",NA,NA," 187","   0","   0","   0","   0","   0","   1","  13","   0","   0","   0","  16","   0","   5","   2","   3","   0","  31","   0","   6","   0","   1","   1","   2","  15","   2","   0","   0","   1","   3","   0","   0","  14","   1","  15","   0","  11","   0","   2","  37","   0","   0","   1","   1","   0","  65","   0"," 170","   0","   0","   0","   0","   0","   3","   0","   3","   1","   0","   0","   0","   0","  24","   5","   0","   1","   0","  28","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   1","   3","   5","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","  15","   0","   0","   1","   0","   1","   0","  70","   0","  15","   1","  63","  15","  14","   0","   0","   1","   0","   2","   1","  27","   5","   0","   0","   0","   0","   1","   4","   4","   0","   6","   0","   0"," 162","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   7","   1","   0","   0","   1","   0","   0","   0","   0"
"3286",NA,NA," 190","   1","   0","   0","   0","   0","   1","   6","   0","   0","   0","  33","   1","  18","   2","   0","   0","  55","   0","   7","   0","   1","   1","   0","  11","   0","   0","   0","   0","   4","   0","   0","   8","   0","  18","   0","  18","   0","   1","  37","   0","   0","   1","   0","   0","  16","   0"," 141","   0","   1","   0","   0","   0","   1","   0","   1","   2","   0","   0","   0","   0","  39","   5","   0","   0","   0","  14","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   1","   0","   0","   0","   0"," 116","   0","  18","   0","  47","  11","  12","   0","   0","   0","   0","   1","   8","  32","   1","   1","   0","   0","   0","   0","   0","   2","   0","   2","   0","   0"," 187","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0"
"3326",NA,NA," 192","   1","   0","   0","   0","   0","   1","  12","   0","   0","   0","  20","   0","   6","   6","   0","   0","  34","   0","   8","   0","   0","   1","   3","  10","   0","   0","   0","   0","   4","   0","   0","  10","   0","  18","   0","  12","   0","   2","  47","   0","   0","   1","   0","   0","  47","   0"," 301","   0","   0","   0","   0","   0","   2","   0","   2","   1","   0","   0","   0","   1","  20","  10","   0","   1","   0","  42","  26","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","   0","   1","   0","  99","   0","  15","   0","  76","  15","   9","   0","   0","   0","   0","   0","   7","  28","   4","   0","   0","   0","   0","   0","   0","   9","   0","   5","   1","   0"," 227","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","  14","   0","   0","   0","   1","   0","   0","   1","   0"
"3389",NA,NA," 195","   1","   0","   0","   0","   0","   1","  18","   2","   0","   0","  28","   0","  17","   7","   0","   0","  41","   0","   7","   0","   1","   1","   2","  11","   2","   0","   0","   0","   5","   0","   0","  17","   0","  15","   0","   8","   0","   4","  43","   0","   0","   0","   1","   0","  47","   0"," 457","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  42","   4","   0","   0","   0","  20","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   2","   0","  95","   1","  21","   1","  78","   9","  14","   0","   1","   0","   0","   0","  11","  31","   5","   0","   0","   0","   0","   1","   1","   6","   0","   5","   0","   0"," 375","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","  46","   1","   1","   0","   0","   0","   0","   0","   0"
"3431",NA,NA," 197","   3","   0","   0","   0","   0","   1","  23","   0","   0","   0","   9","   0","  21","  11","   0","   0","  30","   0","   1","   0","   0","   0","   5","  14","   4","   0","   0","   0","   3","   0","   0","   3","   4","  22","   0","   4","   0","   2","  22","   0","   0","   0","   0","   0","  56","   0"," 721","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","  30","   9","   0","   0","   1","  19","  13","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   5","   0","   2","   1","   0","   1","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  29","   0","   0","   0","   1","   0","   0"," 125","   0","  21","   3"," 109","   6","   5","   0","   1","   0","   0","   0","  14","  25","  10","   0","   0","   0","   1","   1","   2","  10","   0","   7","   0","   0"," 272","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","  42","   1","   0","   0","   0","   0","   0","   0","   0"
"3495",NA,NA," 200","   3","   0","   0","   0","   0","   1","  14","   0","   0","   0","  10","   0","  14","   7","   1","   0","  18","   0","   6","   0","   0","   7","   1","   6","   2","   0","   0","   0","   4","   0","   0","   2","   1","  21","   0","   6","   0","   2","  47","   0","   0","   0","   0","   0","  41","   0","1143","   0","   0","   0","   0","   0","   1","   1","   2","   0","   0","   0","   0","   0","  15","  10","   0","   0","   1","  12","  13","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   1","   1","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","  24","   0","   0","   0","   1","   0","   0"," 114","   0","  12","   2","  98","   5","   1","   0","   1","   0","   0","   0","   5","  30","   9","   0","   0","   0","   0","   2","   2","  16","   0","   0","   2","   0"," 356","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","  30","   1","   1","   0","   0","   0","   0","   0","   0"
"3531",NA,NA," 202","   2","   0","   0","   0","   0","   1","  22","   0","   0","   0","   5","   0","  25","   4","   0","   0","  22","   1","   4","   0","   0","   3","   5","  10","   0","   0","   1","   0","   2","   0","   0","   1","   3","  17","   0","  13","   0","   2","  34","   0","   2","   0","   0","   0","  33","   0","1657","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  21","   4","   0","   1","   0","   9","  13","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   4","   0","   7","   3","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   1","  22","   1","   0","   0","   0","   3","   0"," 154","   1","  15","   1"," 140","  10","   7","   0","   0","   0","   0","   0","  12","  46","  15","   0","   0","   0","   0","   0","   2","  21","   0","   3","   1","   0"," 270","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  16","   1","   0","   0","   0","   0","   1","   1","   0"
"3583",NA,NA," 205","   4","   0","   0","   0","   0","   0","  17","   0","   0","   0","  13","   0","   9","   7","   0","   0","  27","   0","   6","   0","   0","   0","   7","  19","   0","   0","   0","   0","   4","   0","   0","   4","   1","  24","   0","   8","   0","   1","  38","   0","   0","   0","   0","   0","  21","   0"," 977","   0","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","  11","   4","   0","   0","   0","   2","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   4","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","  17","   0","   0","   0","   0","   0","   0"," 165","   0","  18","   0","  65","   6","   5","   0","   1","   0","   0","   0","   5","  30","  13","   0","   0","   0","   1","   0","   1","   6","   0","   1","   0","   0"," 125","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  10","   0","   0","   0","   0","   0","   0","   2","   0"
"3618",NA,NA," 207","   1","   0","   0","   0","   0","   0","  16","   0","   0","   0","   6","   0","   6","   6","   0","   0","  14","   0","   4","   0","   0","   1","   4","   9","   1","   1","   0","   0","   2","   0","   0","   5","   0","  46","   0","  12","   0","   5","  59","   0","   0","   0","   0","   0","  30","   0","1396","   0","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","  26","   8","   0","   1","   0","   2","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  10","   0","   0","   0","   1","   0","   0"," 274","   0","  13","   1","  91","   5","  10","   0","   0","   0","   0","   1","   6","  30","   9","   0","   0","   0","   0","   0","   2","   5","   0","   3","   1","   0","  73","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   7","   0","   0","   0","   0","   0","   0","   1","   0"
"3670",NA,NA," 210","   3","   0","   0","   0","   0","   1","   7","   0","   0","   0","  16","   0","  15","   4","   1","   0","  16","   0","   1","   1","   0","   0","   3","   4","   0","   0","   0","   0","   8","   0","   0","   0","   4","  42","   0","  13","   0","   4","  28","   0","   0","   0","   0","   0","  14","   0"," 752","   0","   0","   0","   0","   0","   0","   0","   3","   2","   0","   0","   0","   0","  35","   1","   0","   0","   0","   9","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   1","   0","  10","   0","   0","   0","   0","   0","   0"," 216","   0","   3","   0","  43","  15","  26","   0","   0","   0","   0","   0","   4","  21","   9","   0","   0","   0","   0","   0","   1","   2","   0","   1","   0","   0","  90","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0"
"3704",NA,NA," 212","   1","   0","   0","   0","   0","   0","  11","   0","   0","   0","  10","   0","  10","   2","   0","   0","  17","   0","   4","   0","   0","   4","   1","   8","   0","   0","   0","   0","   2","   0","   0","   5","   0","  53","   0","  14","   0","   7","  67","   0","   0","   1","   0","   0","  17","   0","1206","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","  26","   7","   0","   0","   0","   2","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  12","   0","   0","   1","   1","   0","   0"," 219","   1","   4","   2","  64","   8","   9","   0","   0","   0","   0","   0","   9","  20","   7","   0","   0","   0","   0","   3","   0","   6","   0","   4","   0","   0","  64","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   5","   0","   0","   0","   0","   0","   0","   0","   0"
"3756",NA,NA," 215","   4","   0","   0","   0","   0","   0","   4","   0","   0","   0","  10","   0","   6","   3","   0","   0","  14","   0","   1","   0","   0","   0","   1","   2","   2","   0","   0","   0","   2","   0","   0","   4","   0","  57","   0","  12","   0","   2","  77","   0","   0","   1","   0","   0","   8","   0"," 953","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  29","   5","   0","   0","   0","   4","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0"," 326","   0","   5","   2","  41","   8","  10","   0","   0","   0","   0","   0","   2","  10","   6","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","  49","   0","   0","   0","   0","   0","   1","   0","   0","   2","   3","   3","   0","   0","   0","   0","   0","   0","   0","   0"
"3791",NA,NA," 217","   2","   0","   0","   0","   0","   0","   5","   0","   0","   0","  10","   0","   5","   3","   0","   0","  11","   0","   4","   0","   0","   1","   3","   2","   1","   0","   0","   0","   1","   0","   0","   1","   0","  45","   0","  12","   0","   2","  23","   0","   0","   0","   0","   0","   5","   0"," 537","   0","   0","   0","   0","   0","   1","   0","   3","   1","   0","   0","   0","   0","  25","   1","   1","   1","   0","   2","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0"," 259","   0","   4","   0","  21","   3","  11","   0","   0","   0","   0","   0","   1","  11","   3","   0","   0","   0","   0","   0","   0","   5","   0","   1","   0","   0","  23","   0","   0","   0","   0","   0","   0","   0","   0","   3","   4","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"3843",NA,NA," 220","   2","   0","   0","   0","   0","   0","   5","   0","   0","   0","   7","   0","  10","   1","   0","   0","  10","   0","   4","   0","   1","   1","   1","   3","   0","   0","   0","   0","   6","   0","   0","   5","   1","  49","   0","   8","   0","   6","  41","   0","   0","   0","   0","   0","   8","   0"," 660","   0","   0","   0","   0","   1","   0","   1","   1","   3","   0","   0","   0","   0","  39","   5","   1","   0","   0","   3","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   4","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0"," 277","   0","   0","   0","  26","   0","   8","   0","   0","   0","   0","   0","   0","   9","   6","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","  35","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   2","   0"
"3878",NA,NA," 222","   0","   0","   0","   0","   0","   1","   5","   0","   0","   0","   7","   0","   7","   2","   0","   0","  20","   0","   2","   0","   0","   0","   0","   6","   1","   0","   0","   0","   7","   0","   1","   5","   0","  36","   0","  18","   0","   3","  29","   0","   0","   0","   0","   0","   5","   0"," 694","   0","   1","   0","   0","   0","   2","   0","   2","   1","   0","   0","   0","   0","  58","   6","   0","   0","   0","   5","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0"," 127","   0","   2","   1","  35","   5","   9","   0","   0","   0","   0","   1","   3","  19","   4","   0","   0","   0","   1","   0","   0","  14","   0","   1","   1","   0","  49","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"3928",NA,NA," 225","   3","   0","   0","   0","   0","   1","   5","   0","   0","   0","   9","   0","  14","   6","   1","   0","  10","   0","   3","   0","   1","   0","   2","   7","   1","   0","   0","   0","   2","   1","   0","   3","   0","  31","   0","  10","   0","   0","  20","   0","   0","   0","   0","   0","  18","   0"," 608","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","  30","  14","   0","   0","   0","   3","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0"," 203","   0","   5","   0","  55","   6","  18","   0","   0","   0","   0","   0","   3","  10","   3","   0","   0","   0","   0","   0","   0","  29","   0","   1","   0","   0","  59","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0"
"3963",NA,NA," 227","   4","   0","   0","   0","   0","   1","   9","   0","   0","   1","  21","   0","  17","   7","   0","   0","  18","   0","   6","   0","   0","   1","   0","   7","   2","   0","   0","   0","   1","   0","   0","  14","   0","  50","   0","  15","   0","   0","  26","   0","   0","   0","   0","   0","  10","   0"," 639","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","  47","  10","   0","   0","   0","   3","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0"," 233","   0","   4","   0","  32","   5","  12","   0","   0","   0","   0","   0","   3","  19","   7","   0","   0","   1","   0","   0","   0","  26","   0","   5","   0","   0","  50","   0","   0","   1","   0","   0","   0","   0","   0","   2","   1","   4","   1","   0","   0","   0","   0","   0","   1","   0"
"4016",NA,NA," 230","   1","   0","   0","   0","   0","   2","  16","   0","   0","   1","  45","   1","  34","   7","   1","   0","  29","   0","   6","   0","   0","   0","   2","  16","   3","   0","   0","   0","  12","   0","   0","   8","   1","  16","   1","  43","   0","   0","  35","   0","   0","   0","   0","   0","  10","   0"," 577","   0","   0","   0","   0","   0","   4","   0","   3","   2","   0","   1","   0","   0","  69","   3","   0","   0","   0","   8","  26","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   4","   0","   2","   4","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   5","   0","   1","   1","   3","   0","   1","   0","   0","   0","   0"," 105","   0","   6","   0","  30","  10","  27","   0","   1","   0","   0","   0","   6","  26","   8","   0","   0","   0","   2","   0","   1","  73","   0","   1","   0","   0","  67","   0","   0","   0","   2","   0","   0","   0","   0","   3","   0","   6","   0","   1","   0","   1","   0","   0","   0","   0"
"4053",NA,NA," 232","   2","   0","   0","   0","   0","   1","   8","   0","   0","   0","  14","   0","  40","   8","   0","   0","  14","   0","  11","   0","   0","   0","   1","   8","   3","   0","   0","   0","   6","   0","   1","   6","   0","  34","   0","   9","   0","   0","  35","   0","   0","   1","   1","   0","   9","   0"," 791","   0","   1","   0","   0","   0","   1","   1","   2","   0","   0","   0","   0","   0","  30","  11","   0","   0","   0","   2","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   4","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0"," 197","   0","   6","   0","  73","   6","  14","   0","   0","   1","   0","   0","   6","  21","  13","   0","   0","   0","   0","   0","   0","  81","   0","   1","   0","   0","  49","   0","   0","   0","   2","   0","   0","   0","   0","   6","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0"
