"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Alismataceae","Alnus","Amaranthaceae undif.","Anagallis t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Campanulaceae","Caryophyllaceae undif.","Casuarina","Cedrus","Centaurea","Centranthus t.","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Cytinus","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Fraxinus","Gentiana t.","Geranium","Hedera","Heliotropium","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lonicera","Lotus t.","Lythrum","Malva","Matthiola","Mercurialis","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtaceae undif.","Myrtus","Nymphaea","Olea t.","Onagraceae","Ononis t.","Paronychieae","Petaloid monocot","Phillyrea","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Scrophulariaceae undif.","Smilax","Solanum","Spergularia t.","Tamarix","Thalictrum","Theligonum","Thelypteris palustris-type","Thymelaeaceae undif.","Trapa natans","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianella","Vitis","Ziziphus/Paliurus"
"1902",NA,NA," 385","   0","   0","   1","  14","   1","   0","   3","   0","   6","   0","   3","   0","   2","   0","   0","   1","   0","   1","   1","   0","   0","   1","   4","   0","   0","   0","   0","  16","   1","   0","   0","   0","   0","  57","   0","   0","   0","  46","   0","   0","   1","   0","   0","   1","   0","   0","   9","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","  24","   0","  17","   0","   9","   0","   0","   1","   0","   1","   1","   0","   8","   5","  69","   0","   0","   0","   0","   4","  25","   9","   1","   0","   0","   1","   0","   4","   4","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   0","   1","   0"
"1945",NA,NA," 395","   0","   0","   1","   7","   1","   0","   8","   0","   0","   1","  11","   0","   1","   0","   0","   1","   0","   0","   1","   0","   0","   1","   3","   0","   0","   0","   2","  13","   0","   0","   0","   0","   0"," 125","   0","   1","   0","   2","   2","   0","   0","   0","   0","   1","   0","   0"," 260","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   2","  54","   0","   0","   0","   2","   2","   2","  12","   5","   0","   0","   2","   0","   2","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"1988",NA,NA," 405","   0","   0","   0","  70","   1","   0","   3","   0","   2","   0","   3","   0","   4","   0","   0","   1","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","  95","   0","   0","   0","  44","   5","   0","   1","   0","   0","   0","   0","   0","  25","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   5","   0","   1","   1","   0","   1","   1","   2","   0","   1","  11","   0","   0","   0","   0","   4","   8","   8","   0","   0","   0","   0","   1","   4","  26","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0"
"2031",NA,NA," 415","   0","   0","   1","  60","   1","   0","   1","   0","   1","   0","   7","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   1","   6","   0","   0","   0","   0","   4","   2","   0","   0","   1","   0"," 101","   0","   0","   0","  33","   1","   0","   0","   0","   0","   2","   0","   1","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   0","   5","   0","   0","   3","   1","   4","   1","   1","   1","   3","  16","   1","   1","   0","   0","  10","  12","  13","   1","   0","   0","   0","   2","   8","  62","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0"
"2074",NA,NA," 425","   0","   0","   0","  18","   0","   0","   1","   0","   1","   1","   1","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   1","   4","   0","   0","   1","   0","   6","   0","   0","   0","   0","   0","  98","   0","   0","   0","  37","   5","   0","   0","   0","   0","   1","   0","   0","  31","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   5","   0","   0","   1","   0","   2","   2","   3","   0","   0","  13","   0","   0","   0","   0","  12","   9","  10","   1","   0","   0","   0","   1","   3","  12","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   1","   0"
"2116",NA,NA," 435","   0","   0","   0","  43","   0","   0","   2","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   1","   6","   6","   1","   0","   0","   1","  76","   0","   0","   0","  21","   1","   0","   1","   0","   0","   1","   0","   0","  16","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   4","   2","   0","   1","   0","   1","   1","   1","   1","   3","  21","   0","   0","   0","   0","   6","  15","   9","   3","   1","   0","   0","   0","   3","  26","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","   0"
"2159",NA,NA," 445","   0","   0","   1","  23","   1","   0","   0","   0","   1","   1","   3","   0","   1","   0","   0","   1","   0","   1","   1","   0","   0","   2","   3","   1","   0","   0","   0","  10","   0","   0","   0","   0","   0"," 150","   0","   0","   0","   4","   1","   0","   1","   0","   0","   1","   0","   0","  26","   0","   1","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","  19","   0","   9","   0","   0","   3","   1","   1","   2","   4","   0","   4","  31","   1","   0","   0","   0","  12","  24","  25","   2","   0","   0","   0","   0","   7","  16","   0","   0","   1","   1","   3","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0"
"2202",NA,NA," 455","   0","   0","   2","  46","   2","   0","   3","   0","   3","   2","  13","   0","   1","   0","   0","   2","   0","   1","   3","   0","   0","   4","  10","   0","   0","   0","   0","  16","   0","   1","   0","   1","   0"," 172","   0","   0","   0","   8","   3","   0","   1","   0","   0","   4","   0","   0","  48","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   0","   0","   0","  18","   0","  12","   1","   2","   2","   0","   5","   5","   0","   1","   5","  36","   1","   0","   0","   3","  18","  34","  20","   3","   2","   0","   0","   4","  13","  77","   0","   0","   1","   2","  12","   0","   0","   0","   1","   0","   3","   3","   1","   0","   0","   0","   3","   0"
"2245",NA,NA," 465","   0","   0","   0","  19","   0","   0","   3","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","  46","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   1","  17","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   7","   0","   2","   0","   0","   0","   0","   1","   1","   0","   3","   3","  12","   0","   0","   0","   0","   5","   5","   7","   0","   0","   0","   0","   0","   4","  15","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"
"2288",NA,NA," 475","   0","   0","   1","  36","   2","   0","   3","   0","   2","   1","   6","   0","   3","   0","   0","   2","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   5","   1","   0","   0","   1","   1","  72","   0","   0","   0","   4","   1","   0","   0","   0","   0","   1","   0","   0","  25","   0","   2","   0","   0","   0","   1","   4","   0","   0","   0","   0","   0","   0","   4","   0","   2","   0","   1","   2","   0","   2","   3","   1","   2","   7","  10","   1","   1","   0","   5","   6","  16","  14","   0","   0","   0","   0","   1","  10","  19","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   1","   2","   0","   0","   0","   0","   5","   0"
"2331",NA,NA," 485","   0","   0","   0","  31","   2","   0","   3","   0","   3","   1","   2","   0","   0","   0","   1","   0","   0","   1","   1","   0","   0","   1","   5","   0","   0","   1","   0","   3","   4","   0","   0","   1","   0","  75","   0","   0","   0","   4","   2","   0","   0","   0","   0","   1","   0","   0","  15","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","  19","   0","   4","   1","   1","   1","   1","   1","   1","   5","   0","   2","  16","   0","   0","   0","   1","   5","  22","  11","   0","   0","   0","   1","   0","   7","  36","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0"
"2374",NA,NA," 495","   1","   0","   1","  36","   2","   0","   3","   0","   3","   1","   6","   0","   1","   0","   0","   2","   0","   1","   1","   1","   0","   0","   6","   1","   0","   0","   0","   8","   1","   0","   0","   1","   1","  70","   0","   0","   0","   7","   3","   0","   0","   0","   0","   1","   0","   0","  20","   0","   1","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","  12","   0","   3","   0","   1","   1","   0","   0","   1","   4","   0","   4","  14","   1","   0","   0","   0","   3","   9","  13","   3","   0","   1","   0","   1","   4","  44","   1","   0","   1","   1","   5","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   3","   0"
"2417",NA,NA," 505","   0","   0","   0","   8","   2","   0","   2","   0","   0","   6","   8","   0","   1","   0","   0","   4","   0","   1","   0","   1","   0","   2","   3","   0","   0","   0","   0","  40","   0","   0","   0","   0","   0"," 120","   0","   0","   0","   6","   2","   0","   0","   0","   0","   0","   0","   0"," 480","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   1","   1","   1","   2","   0","   1","  44","   0","   0","   0","   1","   2","   7","   5","   2","   0","   0","   1","   1","   4","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2459",NA,NA," 515","   0","   0","   1","  71","   0","   0","   5","   0","   1","   2","   4","   0","   1","   0","   0","   1","   0","   1","   1","   0","   0","   0","   6","   0","   0","   0","   0","  13","   0","   0","   0","   1","   0","  96","   1","   0","   0","  16","   2","   0","   1","   0","   1","   1","   0","   0","  48","   0","   1","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   2","   0","   3","   1","   1","   0","   2","   2","   1","   1","   0","   2","  72","   4","   1","   0","  17","   7","   6","  13","   2","   1","   0","   1","   1","   6","   3","   5","   0","   1","   0","   0","   0","   0","   0","   2","   0","   1","  17","   0","   0","   0","   0","   3","   0"
"2502",NA,NA," 525","   0","   0","   3","  37","   0","   0","   7","   0","   0","   5","   7","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","  14","   0","   0","   0","   3","   2","  72","   0","   0","   0","   6","   0","   0","   1","   0","   0","   1","   0","  11","  52","   0","   0","   0","   0","   0","   4","   5","   0","   0","   0","   1","   0","   0","  15","   0","  11","   0","   1","   0","   4","   1","   0","   3","   0","   3","  39","  10","   0","   0","  32","   8","  15","   6","   0","   0","   0","   1","   0","   3","   6","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   9","   0","   5","   0","   0","   3","   0"
"2545",NA,NA," 535","   0","   0","   1","  31","   0","   0","   4","   0","   1","   8","  15","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  24","   0","   0","   0","   1","   0"," 166","   0","   0","   0","   9","   1","   0","   2","   0","   0","   0","   0","   7"," 110","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   7","   0","   0","  17","   0","  15","   0","   6","   0","   4","   1","   0","   5","   0","   6","  52","  15","   0","   0","  45","   8","  21","   8","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  21","   0","   2","   0","   0","   0","   0"
"2588",NA,NA," 545","   0","   0","   2","  50","   0","   0","   3","   0","   2","   6","   3","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  16","   0","   0","   0","   0","   4"," 180","   0","   0","   0","   8","   3","   0","   9","   0","   0","   0","   0","   0"," 180","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   2","   0","  15","   0","   0","   0","   5","   2","   0","   5","   0","   4","  73","   3","   0","   0","   2","   3","  15","  12","   0","   0","   0","   0","   0","   3","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   4","   8","   0","   0","   3","   0"
"2631",NA,NA," 555","   0","   0","   2","  19","   0","   0","   5","   1","   2","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   4","   0","   0","   0","   0","  14","   0","   0","   0","   2","   0","  68","   0","   0","   0","   4","   1","   0","   3","   0","   0","   0","   0","   1","  67","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   3","   0","   0","  17","   0","   9","   0","   2","   0","   5","   2","   0","   2","   0","   4","  39","   2","   0","   0","  42","   9","  23","  11","   0","   0","   0","   0","   0","   2","   7","   8","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","  21","   0","   1","   0","   0","   2","   0"
"2674",NA,NA," 565","   0","   0","   0","  14","   0","   0","   9","   0","   1","   3","  10","   1","   3","   0","   0","   3","   0","   1","   1","   0","   0","   0","   3","   0","   0","   0","   0","  13","   0","   1","   0","   0","   0"," 180","   0","   0","   0","   6","   1","   0","   0","   1","   0","   1","   1","   1"," 180","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   1","   2","   0","   4","   0","   3","   4","  45","   1","   1","   0","   0","   1","  13","  13","   3","   1","   0","   0","   1","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0","   0","   0"
"2717",NA,NA," 575","   0","   0","   1","  55","   1","   4","   2","   1","   1","   1","   5","   0","   2","   0","   0","   3","   0","   0","   0","   0","   0","   4","   4","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","  90","   0","   0","   0","   9","   1","   0","   0","   0","   0","   4","   0","   0","  40","   0","   1","   0","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   9","   0","   6","   0","   0","   1","   0","   1","   2","   4","   1","  10"," 124","   1","   1","   0","  25","   6","  14","  14","   1","   0","   0","   1","   2","  13","  10","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","  10","   0","   0","   0","   0","   1","   0"
"2759",NA,NA," 585","   0","   0","   0","  16","   0","   0","   3","   0","   2","   1","   4","   0","   3","   0","   0","   6","   0","   1","   2","   0","   0","   6","   4","   0","   0","   0","   0","  21","   0","   1","   0","   0","   0","  67","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0"," 200","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   1","   1","   0","   2","  23","   0","   0","   0","   1","   0","   5","   5","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"2802",NA,NA," 595","   0","   0","   1","  12","   1","   0","   2","   0","   1","   1","   9","   0","   2","   0","   0","   1","   0","   0","   2","   0","   0","   2","   1","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","  71","   1","   0","   1","   3","   1","   0","   0","   0","   0","   0","   0","   0"," 160","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   1","   1","   0","   1","  14","   0","   0","   0","   0","   3","   3","   4","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   1","   0"
"2845",NA,NA," 605","   0","   0","   1","  19","   4","   0","  13","   0","   1","   0","  15","   0","   2","   0","   0","   0","   0","   1","   1","   0","   0","   2","   1","   1","   1","   1","   0","  12","   0","   0","   0","   0","   2","  52","   0","   0","   0","   4","   1","   0","   0","   0","   0","   1","   0","   1","   9","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","  10","   0","  19","   0","   3","   0","   0","   1","   0","   3","   2","   1","   5","   3","  36","   0","   0","   0","   0","   4","  21","   9","   0","   0","   0","   0","   1","   1","   8","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   1","   3","   0","   0","   0","   0","   1","   0"
"2888",NA,NA," 615","   0","   0","   0","  33","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","  95","   0","   0","   0","   0","   2","  53","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0"," 800","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   6","   8","   0","   0","   6","   0","   0","   0","   1","   0","   0","   1","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2931",NA,NA," 625","   0","   0","   0","  42","   1","   0","   9","   0","   1","   2","  14","   0","   2","   0","   0","   3","   0","   3","   3","   0","   0","   1","   9","   0","   0","   0","   0","  16","   0","   0","   1","   0","   0"," 240","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0"," 170","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   3","   3","   0","   0","  27","   0","   0","   0","   3","   0","   1","   4","   2","   0","   0","   0","   1","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"2974",NA,NA," 635","   0","   0","   0","  17","   0","   0","   4","   0","   1","   1","  23","   0","   2","   0","   0","   1","   0","   1","   1","   0","   0","   0","   2","   0","   0","   0","   0","  22","   0","   0","   0","   0","   1"," 195","   0","   0","   0","   5","   1","   0","   0","   0","   0","   0","   0","   0"," 450","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   1","   0","   3","  42","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0"
"3014",NA,NA," 645","   0","   0","   1","  19","   0","   0","   0","   0","   0","   1","   8","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   4","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0"," 100","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0"," 150","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   3","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"3057",NA,NA," 655","   0","   0","   2","   8","   0","   0","   5","   1","   0","   1","   8","   0","   1","   0","   0","   3","   0","   1","   1","   0","   0","   0","   3","   1","   0","   0","   0","  15","   0","   0","   0","   0","   0"," 195","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0"," 140","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","  22","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0"
