"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Actaea","Aesculus","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Araceae","Arceuthobium","Aristolochia","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Casuarina","Cedrus","Celtis","Centaurea","Cichorieae","Cistaceae","Colutea","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Frankenia","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Heliotropium","HippophaÃ«","Hydrocharitaceae","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Larix","Lauraceae","Lemnaceae","Ligustrum","Linum t.","Lotus t.","Lysimachia","Lythrum","Menyanthes","Mercurialis","Morus","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Paronychieae","Periploca","Persicaria t.","Petaloid monocot","Phaseolus","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prosopis t.","Prunus t.","Psoralea","Pterocarya","Punica granatum","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rheum","Ricinus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianella","Verbena t.","Viburnum","Vitis","Zea"
"7329","7685","7011"," 375","   1","   0","   0","   0","   0","   2","  12","   0","   0","   6","   9","   0","   0","   0","   0","  21","   2","   2","   3","   0","   2","   0","   0","   0","   0","   1","   0","  21","   4","  10","   0","   6","   0","   2","  19","   1","   0","   1","   0","  33","   1","  31","   0","   0","  84","   1","   0","   0","   1","   0","   1","   0","   0","  53","   0","  48","   4","   5","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","  36","   0","   0","   0","   1","   0","   0","   3","   0","   0","   1","   0","   0","   2","   0"," 161","   1","  25","   0"," 235","  30","   3","   0","  61","   0","   0","   1","   0","   0","   0","   1","  67","   8","   0","   0","   0","   0","   0","   3","   7","   2","   8","   1","   0","   2","  13","   0","   0","   1","   0","   0","   0","   4","   0","   4","   2","   0","   0","   0","   0","   0","   1","   0"
"7622","7976","7305"," 390","   1","   0","   0","   0","   0","   3","   3","   0","   0","   1","   3","   0","   0","   1","   0","  15","   1","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0","   1","   0","   1","   0","   0","   6","   0","   0","   0","   0","  34","   0","   3","   0","   0","  50","   1","   0","   0","   0","   0","   0","   1","   0","  72","   0","  23","   2","   0","   0","   0","   1","   0","   0","   1","   0","   3","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  36","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 336","   1","   4","   0","  59","  10","   2","   0","  30","   0","   0","   0","   0","   0","   0","   1"," 113","   3","   0","   0","   0","   0","   0","   1","   1","   2","   2","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   1","   2","   8","   1","   0","   0","   0","   2","   0","   0"
"7817","8219","7500"," 400","   3","   0","   0","   0","   0","   9","   4","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   4","   0","   3","   0","   0","   0","   0","   0","   1","  17","   2","   1","   0","   1","   0","   0","   1","   0","   0","   0","   0","  31","   0","  14","   0","   0","  34","   0","   0","   0","   0","   0","   0","   0","   2","  34","   0","  75","   1","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 182","   0","   4","   0"," 142","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  31","   1","   0","   0","   0","   0","   0","   1","   5","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"
"8208","8635","7895"," 420","   2","   0","   0","   0","   0","   2","   7","   0","   0","   1","   0","   0","   0","   0","   0","   6","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   6","   0","   3","   0","   0","   0","   0","   1","   0","   0","   1","   0","   4","   0","   9","   0","   0"," 258","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0"," 401","   4","   0","   0","   1","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 235","   0","   0","   0","  70","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   6","   0","   0","   0","   1","   0","   0","   0","  10","   4","   0","   0","   0","   0","   0","   0","   0","   0"
"8501","8942","8190"," 435","   1","   0","   0","   0","   0","   3","   1","   0","   1","   0","   2","   1","   0","   0","   0","   4","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   7","   2","   2","   0","   1","   0","   0","   6","   0","   0","   0","   0","   1","   0","  14","   0","   0"," 363","   0","   0","   0","   0","   0","   1","   0","   0","  39","   0"," 600","  13","   1","   0","   0","   6","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0"," 331","   1","   0","   0"," 100","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  51","   1","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   1","  31","   0","   0","   0","   0","   0","   0","   0","   3","   4","   0","   0","   0","   0","   0","   0","   0","   0"
"8696","9149","8388"," 445","   1","   0","   0","   0","   4","   4","   4","   0","   0","   0","   2","   1","   0","   0","   0","   7","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  12","   3","   2","   0","   0","   0","   0","   5","   0","   0","   0","   0","   6","   0","  19","   0","   0"," 251","   0","   0","   0","   0","   0","   0","   1","   0","   9","   0"," 253","   0","   1","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   4","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0"," 243","   0","   1","   0","  58","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","  26","   8","   0","   0","   0","   0","   0","   1","   5","   0","   0","   0","   0","   2","  71","   1","   0","   0","   0","   0","   1","   0","   1","   2","   2","   1","   0","   0","   0","   0","   0","   0"
"9087","9562","8782"," 465","   1","   0","   0","   0","   0","   0","   1","   0","   0","   3","   1","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   1","   2","   0","   4","   0","   0","   3","   0","   0","   1","   0","   5","   0","  21","   0","   0"," 303","   0","   0","   0","   0","   0","   0","   1","   0","  35","   0","1814","   0","   1","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 311","   0","   0","   0","  30","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  33","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"9379","9866","9076"," 480","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   1","   0","   0","   0","   0","   4","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","  11","   0","   0","   1","   0","   0","  23","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 875","   0","   0","   0","   0","   0","   0","   2","   0","   3","   0","  28","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 221","   0","   0","   0","  12","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0","   0","   0","   0","   0","   0","   0"
" 9672","10164"," 9370","  495","    0","    0","    0","    0","    0","    3","    9","    0","    0","    7","    1","    0","    0","    0","    0","   16","    7","    2","    0","    0","    0","    0","    0","    0","    0","    0","    5","    4","   12","    0","    0","    0","    0","    1","   16","    0","    0","    0","    0","   13","    0","   10","    0","    0","  488","    0","    0","    1","    0","    0","    0","    0","    0","   13","    0","   97","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    3","    0","    0","    1","  152","    0","    0","    0","   24","    4","   17","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","  412","    0","    0","    0","    0","    0","    1","    0","    1","    1","    1","    0","    0","    0","    0","    0","    1","    0"
" 9868","10252"," 9567","  505","    1","    2","    0","    0","    1","    3","   11","    0","    0","    7","    7","    0","    0","    0","    0","   25","   41","    0","    0","    0","    1","    1","    0","    0","    0","    0","    4","   12","   47","    0","    0","    2","    0","    1","   28","    0","    0","    0","    0","   38","    0","   18","    0","    0","  292","    0","    0","    2","    0","    0","    0","    0","    0","   53","    0","  269","    0","    7","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","  113","    0","    0","    0","  125","    3","   17","    1","    0","    0","    0","    0","    0","    0","    0","    0","   23","   10","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","  329","    0","    0","    0","    0","    0","    3","    0","    6","    0","    0","    0","    0","    0","    0","    2","    0","    0"
"10161","10550"," 9863","  520","    1","    0","    0","    0","    1","    2","   13","    0","    0","    6","    5","    0","    0","    0","    0","   35","   19","    1","    0","    0","    0","    0","    0","    0","    0","    0","    6","   30","   16","    0","    0","    0","    0","    0","   17","    0","    0","    2","    0","   30","    0","   11","    0","    0","  302","    2","    0","    0","    0","    0","    0","    0","    0","   70","    0","  183","    2","    8","    0","    0","   25","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   74","    0","    4","    0","   68","    6","   15","    4","    0","    0","    0","    0","    0","    0","    0","    0","   25","    6","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","  208","    0","    0","    0","    0","    0","    3","    1","   11","    3","    0","    0","    0","    0","    0","    0","    0","    0"
"10258","10650"," 9962","  525","    1","    0","    0","    0","    0","    3","   15","    0","    0","   14","   17","    1","    0","    0","    0","   84","   13","    2","    0","    0","    0","    0","    0","    0","    0","    1","    6","   57","   15","    1","    0","    0","    0","    1","   25","    0","    0","    1","    0","  125","    0","   14","    0","    0","  226","    4","    0","    3","    0","    0","    0","    1","    0","  149","    0","  187","    8","    4","    0","    0","   24","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","   65","    0","    2","    0","  160","    7","   30","    1","    0","    1","    0","    0","    0","    0","    0","    0","   24","   17","    0","    0","    0","    0","    0","    0","    3","    0","    3","    0","    0","    0","  174","    0","    0","    3","    0","    0","    1","    1","    1","    1","    0","    0","    0","    0","    0","    1","    1","    0"
"10356","10750","10061","  530","    1","    0","    0","    0","    3","   11","   14","    0","    0","    7","   11","    0","    0","    0","    0","   53","    3","    1","    0","    0","    0","    0","    0","    0","    0","    0","    4","   39","   35","    0","    0","    2","    0","    1","   12","    0","    0","    0","    0","  109","    0","    6","    0","    0","  116","    1","    0","    2","    0","    0","    0","    0","    0","   92","    0","   62","    2","    6","    0","    0","   12","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    2","    0","    0","    0","   23","    0","    1","    0","   92","    6","   21","    0","    0","    0","    0","    0","    0","    0","    0","    0","   17","    6","    0","    1","    0","    0","    0","    0","    1","    0","    1","    1","    0","    0","  114","    0","    0","    0","    0","    0","    2","    1","    3","    0","    0","    0","    0","    0","    1","    1","    0","    0"
"10454","10851","10160","  535","    2","    0","    0","    0","   18","    2","   14","    0","    0","   11","   14","    1","    0","    0","    0","   65","    6","    1","    0","    0","    0","    1","    1","    0","    1","    0","    4","   36","   54","    2","    0","    0","    0","    1","   40","    0","    0","    0","    0","   78","    0","   16","    0","    0","  634","    0","    0","    1","    0","    0","    0","    1","    1","   55","    0","  132","    1","    2","    0","    0","   13","    0","    0","    0","    0","    1","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","   26","    0","    2","    0","  217","    9","   26","    4","    0","    0","    0","    1","    0","    0","    0","    1","   34","   15","    0","    0","    0","    0","    0","    0","    4","    1","    5","    0","    0","    0","  365","    0","    0","    0","    0","    0","    4","    3","    1","    1","    0","    0","    0","    0","    0","    2","    1","    0"
"10551","10950","10258","  540","    2","    0","    0","    0","    3","    1","    6","    0","    0","   12","   38","    0","    0","    0","    0","   93","   25","    3","    0","    0","    3","    0","    0","    0","    0","    0","    3","   41","   23","    0","    0","    1","    0","    0","   26","    0","    0","    0","    0","   74","    0","    8","    0","    0","  247","    3","    0","    0","    0","    0","    0","    0","    0","   81","    0","  132","    0","    4","    0","    1","   17","    0","    1","    0","    0","    1","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   31","    0","    2","    0","  160","   19","   51","    0","    0","    0","    0","    1","    0","    0","    0","    0","   24","   16","    0","    0","    0","    0","    0","    0","    1","    1","    2","    1","    0","    0","  528","    0","    0","    4","    0","    1","    8","    0","    2","    0","    4","    0","    0","    0","    0","    0","    1","    0"
"10844","11250","10553","  555","    1","    0","    0","    0","    2","    1","    9","    0","    0","    6","   10","    0","    0","    0","    0","   50","    4","    2","    0","    0","    3","    0","    0","    0","    0","    0","    1","   67","   12","    0","    0","    0","    0","    0","   16","    0","    0","    0","    0","   40","    0","   10","    0","    0","  134","    1","    0","    2","    0","    0","    0","    0","    0","  361","    0","  128","    0","    3","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    4","    0","    0","    0","   32","    0","    1","    0","  110","   19","   12","    0","    0","    0","    0","    0","    0","    1","    0","    2","   57","    5","    0","    0","    0","    0","    0","    0","    2","    3","    2","    1","    0","    0","    7","    0","    0","    0","    1","    0","    4","    1","   13","    0","    0","    0","    0","    0","    0","    2","    0","    0"
"12309","12757","12018","  630","    0","    1","    0","    0","    0","    0","   13","    0","    0","    2","    7","    0","    0","    0","    0","   48","    3","    7","    1","    0","    0","    0","    0","    0","    0","    0","    2","    2","    1","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    1","    0","    3","    0","    0","  247","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    7","    0","    1","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   13","    0","    1","    0","  119","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","   41","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    1","    3","    0","    0","    1","    0","    1","    3","   32","    0","    0","    0","    0","    0","    0","    0"
"12895","13360","12598","  660","    1","    0","    0","    0","    0","    0","   17","    0","    0","    4","    2","    0","    0","    0","    0","   25","    2","    6","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    3","    0","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    6","    0","    0","  188","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    7","    0","    1","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    6","    0","    0","    0","   54","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    8","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    1","    0","   20","    0","    0","    0","    0","    0","    0","    0"
"13286","13764","12984","  680","    1","    1","    0","    0","    0","    0","   17","    0","    0","    0","    3","    0","    0","    0","    0","   24","    3","    7","    0","    0","    1","    0","    0","    0","    0","    0","    1","    1","    1","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    1","    0","    4","    0","    0","  251","    0","    0","    1","    0","    0","    1","    2","    0","    0","    0","   15","    0","    8","    0","    0","   20","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    7","    0","    0","    0","   65","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","   27","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    2","    0","    1","    3","    0","    0","    2","    0","    0","    0","    0","   11","    2","   22","    0","    1","    0","    0","    0","    0","    0"
"13872","14369","13558","  710","    0","    2","    0","    0","    0","    0","   20","    0","    0","    5","    2","    0","    0","    0","    0","   38","    2","   38","    0","    0","    1","    0","    0","    0","    0","    0","    0","    4","    1","    0","    0","    0","    0","    1","    3","    1","    0","    0","    0","    0","    0","    0","    0","    0","   79","    0","    0","    1","    0","    0","    0","    2","    0","    1","    0","   22","    0","    1","    0","    0","   14","    0","    0","    0","    0","    1","    1","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","  166","    3","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","   61","    3","    0","    0","    0","    0","    1","    0","    4","    0","    1","    0","    0","    0","   40","    0","    0","    4","    0","    0","    0","    0","    2","    1","    4","    1","    0","    0","    0","    0","    0","    0"
"14448","14967","14121","  740","    1","    0","    0","    0","    0","    1","   36","    0","    0","    5","   14","    0","    0","    0","    0","   86","    3","  137","    0","    0","    3","    0","    1","    0","    0","    0","    4","    0","    8","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    5","    0","    0","   54","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","   65","    0","   18","    0","    1","   26","    0","    0","    0","    0","    2","    0","    0","    0","    0","   13","    0","    0","    2","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    9","    0","    0","    0","  316","    5","    2","    1","   45","    0","    0","    2","    0","    0","    0","    1","   55","    2","    0","    0","    0","    0","    1","    5","    8","    0","    0","    2","    0","    0","  160","    2","    0","    2","    0","    0","    0","    1","    4","    2","    2","    1","    0","    0","    0","    0","    0","    0"
"14643","15172","14311","  750","    1","    1","    0","    0","    0","    0","   51","    0","    0","    7","   20","    0","    0","    0","    0","  163","    8","  155","    1","    0","    4","    0","    0","    0","    1","    0","    9","    1","    1","    0","    0","    0","    0","    1","   10","    2","    0","    0","    0","    0","    0","    6","    0","    0","   62","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","   25","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    4","    4","    1","    0","    0","    0","    2","    0","    0","    0","    9","    0","    0","    0","  379","   19","    0","    1","   20","    2","    0","    0","    0","    0","    0","    3","   13","    5","    0","    0","    0","    0","    0","    2","   24","    5","    4","    2","    0","    0","   20","    0","    2","    6","    0","    0","    1","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0"
"15034","15580","14690","  770","    1","    1","    0","    0","    0","    0","   17","    0","    0","    8","    1","    1","    0","    0","    8","   51","    4","    5","    0","    0","    3","    0","    1","    0","    0","    0","    2","    1","    1","    0","    0","    2","    0","    2","   60","    0","    0","    0","    0","    0","    0","    7","    0","    0","  195","    0","    0","    4","    0","    0","    1","    0","    0","    2","    0","   71","    6","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   22","    0","    1","    0","   96","    7","    0","    0","    5","    1","    0","    0","    0","    0","    0","    0","   23","    3","    0","    0","    0","    0","    0","    1","    1","    0","    6","    0","    0","    0","    4","    0","    0","    1","    0","    0","    1","    2","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"15327","15886","14973","  785","    1","    0","    0","    0","    0","    0","   15","    0","    0","   18","    2","    0","    0","    0","    0","   95","   13","    1","    0","    0","    4","    0","    0","    0","    0","    0","    1","    1","    4","    0","    0","    1","    0","    2","  269","    0","    0","    0","    0","    0","    0","    1","    0","    0","  922","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    7","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    4","    0","   30","    3","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"15620","16191","15256","  800","    0","    0","    0","    0","    0","    0","   23","    0","    0","   11","    2","    0","    0","    0","    0","   64","   24","    1","    1","    0","   12","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    1","    0","    2","  108","    0","    0","    0","    0","    0","    0","    2","    0","    0","   27","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    4","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   15","    0","    1","    0","   39","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    4","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","   28","    0","    0","    0","    0","    0","    0","    0"
"15815","16395","15445","  810","    1","    0","    0","    0","    0","    0","   78","    0","    0","   23","    3","    0","    0","    0","    0","  343","   27","    0","    0","    0","   15","    2","    0","    0","    0","    0","    8","    1","   19","    0","    0","    0","    0","    4","  280","    0","    0","    0","    0","    2","    0","    1","    0","    0","  243","    0","    0","    6","    0","    2","    0","    0","    0","    1","    0","   28","    0","    0","    0","    0","   21","    1","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   39","    0","    2","    0","   56","    4","    5","    7","    0","    0","    0","    0","    0","    0","    0","    0","    4","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0"
"16010","16599","15635","  820","    0","    0","    0","    0","    0","    0","   30","    2","    0","   13","    1","    0","    0","    0","    0","   54","   11","    4","    0","    0","    5","    0","    0","    0","    0","    0","    3","    0","    5","    0","    0","    1","    0","    6","  264","    0","    0","    1","    0","    0","    0","    0","    0","    0","   51","    0","    0","    4","    0","    0","    0","    1","    0","    0","    0","    4","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   24","    0","    0","    0","   15","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    1","    0","    0","    0","    1","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0"
